[0],"(ROOT (INTJ (UH Yes) (, ,)))"
[79],"(ROOT (S (S (INTJ (UH Well)) (NP (PRP it)) (VP (VBZ sounds) (SBAR (IN as) (IN though) (S (NP (PRP you)) (VP (VBP are) (PP (IN in) (NP (NP (NN favor)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NN status)) (NP (FW quo))))))))))) (. .)))"
[81],"(ROOT (S (CC And) (S (NP (PRP I)) (VP (VBP think))) (, ,) (S (INTJ (UH uh)) (, ,) (S (VP (VBG having) (VP (VBN listened) (PP (IN to) (NP (PRP you))) (PP (ADVP (JJ relative)) (IN to) (NP (DT the) (NN economy) (NN thing)))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (S (NP (PRP I)) (VP (VBD were) (VP (VBG being) (VP (VBN forced) (S (VP (TO to) (VP (VB make) (NP (NP (DT a) (NN decision)) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VP (VB plead) (NP (NN ignorance))) (CC and) (VP (VB wait) (S (VP (TO to) (VP (VB do) (NP (JJR more) (NN research)) (PP (IN before) (S (VP (VBG picking) (NP (NP (CD one)) (PP (IN of) (NP (DT these)))))))))))))))))))))))))) (. .)))"
[80],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP believe) (SBAR (S (NP (PRP I)) (VP (MD would) (ADVP (RB probably)) (VP (VB tend) (PP (IN towards) (NP (DT that)))))))) (. .)))"
[83],(ROOT (S (S (INTJ (UH Well)) (NP (DT that)) (VP (BES 's) (ADJP (JJ interesting)))) (. .)))
[85],(ROOT (INTJ (UH Right) (. .)))
"[82, 84]","(ROOT (S (S (RB So) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB ul-)))) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADVP (ADVP (RB ultimately)) (PP (IN in) (NP (NP (NN favor)) (PP (IN of) (NP (NN status)))))) (NP (FW quo)) (PP (ADVP (RB also)) (IN at) (NP (DT this) (NN point))) (, ,) (VP (VBG leaning) (PP (IN towards) (NP (DT the) (NN statehood)))))))) (. .)))"
[87],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB be) (ADJP (JJ troubled))))))) (, ,)))"
[88],"(ROOT (S (NP (PRP I)) (VP (VBP suspect) (PRN (, ,) (S (NP (PRP I)) (VP (VBP believe) (ADVP (IN that) (DT any)) (PP (IN of) (NP (PRP$ our) (NNS states))))) (, ,)))))"
[89],"(ROOT (FRAG (PP (CC and) (NP (PRP I))) (, ,)))"
[90],"(ROOT (S (ADVP (RB constitutionally)) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (S (NP (EX there)) (VP (VBP are) (NP (DT any) (NNS prescriptions)) (ADVP (XX abo-)) (, ,) (PP (IN against) (NP (DT that) (NN decision))))) (SBAR (RB even) (IN if) (S (NP (NNP Louisiana)) (VP (VBD chose) (S (VP (TO to) (VP (VB go) (PP (IN with) (NP (NP (NNP Creole)) (CC or) (NP (NN something)))))))))))) (. .)))"
[91],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (EX there)) (VP (VBZ is) (NP (DT any) (NNS prohibitions))))))) (. .)))"
[92],(ROOT (S (NP (PRP I)) (VP (MD would) (VP (VB be) (ADJP (JJ bothered) (PP (IN by) (NP (DT that)))))) (. .)))
[93],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ bothered) (PP (IN by) (NP (DT any) (NN tendency) (S (VP (TO to) (VP (VB resist) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBD was) (NP (NP (CD one)) (PP (IN of) (NP (NP (NNP America) (POS 's)) (NNS strengths))))))))))))))))))))))"
[86],"(ROOT (FRAG (WHNP (WHNP (WP What)) (PP (IN about))) (SBAR (IN if) (, ,) (PP (IN if)) (, ,) (S (INTJ (UH um)) (, ,) (NP (PRP they)) (VP (VBD demanded) (S (VP (TO to) (VP (VB have) (NP (NP (JJ Spanish)) (PP (IN as) (NP (DT the) (JJ official) (NN language)))) (PP (IN as) (NP (NP (DT a) (NN condition)) (PP (IN for) (NP (NN statehood)))))))))) (. .))))"
[94],"(ROOT (FRAG (CC and) (NP (NP (DT that) (BES 's) (DT the)) (, ,) (NP (NP (DT the)) (, ,) (NP (DT the) (VBG melting) (NN pot)))) (. .)))"
[96],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (, ,) (ADVP (PRP I)) (VP (VBP am) (ADVP (RB particularly)) (S (VP (VB fond) (PP (IN of) (NP (NP (DT a) (NN number)) (PP (IN of) (NP (JJ ethnic) (NNS cuisines)))))))) (, ,)))"
[97],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ troubled) (PP (IN by) (NP (NP (ADJP (RB too) (JJ close)) (DT a)) (VP (VBG clinging) (PP (IN to)) (, ,) (PP (IN to) (NP (DT the) (NN past))))))))))"
[95],(ROOT (INTJ (UH Uh-huh) (. .)))
[98],"(ROOT (SINV (S (CC and) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB also)) (VP (VBG realizing) (SBAR (IN that) (S (PRN (, ,) (SBAR (IN that) (FRAG (NP (DT a) (JJ common) (NN language)))) (, ,)) (NP (PRP I)) (VP (VBP think))))))) (, ,) (VP (VBZ is)) (NP (NP (DT the) (JJ ultimate) (NN bond)) (PP (IN of) (NP (DT a) (NN country)))) (. .)))"
[100],"(ROOT (S (CC And) (NP (NNP Canada)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP guess))) (, ,)) (VP (VBZ comes) (PP (IN to) (NP (PRP$ my) (NN mind))) (SBAR (SBAR (IN as) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (PP (IN through) (NP (NP (DT the) (NNS throes)) (ADVP (IN up) (ADVP (RB there) (JJ relative)) (PP (IN to) (NP (NNP French) (NNP Quebec)))))))))) (CC and) (SBAR (WHADVP (WDT whatever))))) (. .)))"
[101],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (IN that)) (NP (PRP I)) (, ,) (NP (NP (PRP I)) (VP (VBP think) (NP (DT that)))) (VP (MD would) (VP (VB be) (NP (DT a) (JJ negative) (NN step) (S (VP (TO to) (VP (VB make)))))))))"
[102],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (SBAR (WHNP (DT that)) (S (NP (PRP they)) (VP (MD would) (VP (VB need) (S (VP (TO to) (VP (VB reassess) (NP (DT that))))))))))) (. .)))
[99],(ROOT (INTJ (UH Uh-huh) (. .)))
[104],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[105],(ROOT (INTJ (UH uh-huh) (. .)))
[106],"(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ interesting)) (SBAR (IN because) (S (SBAR (IN although) (S (NP (PRP I)) (VP (VBP tend) (S (VP (TO to) (VP (VB be) (ADJP (JJ bilingual)))))))) (, ,) (NP (NP (JJ Spanish)) (SBAR (S (VP (VBN based) (PP (IN on) (NP (NN experience))) (PRN (, ,) (INTJ (UH um)) (, ,)))))) (NP (PRP I)) (VP (VBD was) (PP (IN in) (NP (NP (JJ bilingual) (NN education)) (PP (IN in) (NP (NNP California)))))))))))"
[107],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB have) (NP (NP (DT any) (NN problem)) (PP (IN with) (NP (PRP$ my) (NNS students)))))))))
[108],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBD noticed) (SBAR (S (NP (PRP$ my)) (, ,) (NP (NP (PRP$ my) (NN brother)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBD was) (NP (NP (RB quite) (DT a) (NN bit)) (JJR younger))))) (, ,)) (VP (VBD was) (VP (VBG learning) (NP (NP (NNP Spanish)) (PP (IN in) (NP (JJ elementary) (NN school)))))))))))"
[103],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ troubled)) (PP (ADVP (RB even)) (IN in) (IN by) (NP (NN bilingualism))) (, ,) (S (INTJ (UH uh)) (, ,) (SBAR (GW in) (S (NP (GW so)) (VP (^IN far) (SBAR (IN that) (S (NP (PRP it)) (VP (XX intr-))))))) (, ,) (NP (PRP it)) (VP (VBZ gets) (PP (IN in) (NP (NP (DT the) (NN way)) (PP (IN of) (, ,) (ADVP (IN of)) (, ,) (PP (IN of) (NP (DT the) (VBG melting) (NN pot) (NN aspect))))))))) (. .)))"
[109],(ROOT (S (CC and) (NP (PRP he)) (VP (MD ca) (RB n't) (VP (VB speak) (NP (DT a) (NN word)))) (. .)))
[110],(ROOT (INTJ (UH Um) (. .)))
[112],"(ROOT (INTJ (UH Yeah) (, ,)))"
[111],"(ROOT (S (CC And) (ADVP (RB so)) (, ,) (ADVP (RB obviously)) (NP (PRP it)) (VP (VBD did) (RB n't) (VP (VB work) (PP (IN in) (NP (NNP California))))) (. .)))"
[113],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP 'm) (PP (RB rather) (IN in) (NP (NP (NN favor)) (PP (IN of) (NP (NP (NNS people)) (VP (VBG being) (ADJP (JJ bilingual))))) (, ,))))))"
[114],(ROOT (INTJ (UH Right) (. .)))
[115],(ROOT (S (CC and) (NP (PRP I)) (VP (MD 'd) (VP (VB be) (ADJP (RB quite) (JJ happy) (S (VP (TO to) (VP (VB see) (NP (NP (DT a) (JJ national) (NN law)) (SBAR (WHPP (IN in) (WHNP (WDT which))) (S (NP (DT every) (NN student)) (VP (VBD was) (VP (VBN required) (S (VP (TO to) (VP (VB learn) (NP (NP (NNP English)) (CC and) (NP (DT a) (JJ second) (NN language))))))))))))))))) (. .)))
[116],(ROOT (INTJ (UH Right) (. .)))
[117],"(ROOT (S (S (CC But) (NP (PRP I)) (VP (VBP 'm))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ disturbed) (PP (IN by) (NP (NP (DT a) (NN country)) (SBAR (WHNP (WDT that)) (S (VP (VBZ attempts) (S (VP (TO to) (VP (VB be) (ADJP (RB functionally) (JJ bilingual) (PP (IN at) (NP (DT the) (JJ official) (NN level)))))))))))))) (. .)))"
[118],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP see)) (. .)))"
[120],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[119],"(ROOT (S (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP 'm))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ concerned) (IN about)) (SBAR (IN whether) (CC or) (RB not) (S (NP (DT that)) (VP (VBZ causes) (NP (NP (NN fractiousness)) (SBAR (S (NP (PRP I)) (VP (VBP guess))))))))) (. .)))"
[122],(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (ADVP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP have) (VP (VBN gone) (PP (IN to)))))))) (NP (NN time))))
[121],(ROOT (INTJ (UH uh-huh) (. .)))
[124],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[123],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP appreciate) (S (NP (PRP$ your)) (VP (VBG having) (VP (VBN called))))) (. .)))
[125],(ROOT (S (INTJ (UH well)) (VP (VB thank) (NP (PRP you)) (ADVP (RB very) (RB much))) (. .)))
[127],"(ROOT (FRAG (PP (UH Bye)) (, ,)))"
