[1],"(ROOT (FRAG (S (ADJP (ADJP (RB All) (JJ right)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[107],"(ROOT (S (S (NP (PRP You)) (VP (VP (VBP know)) (, ,) (CC and) (VP (NP (PRP they)) (ADVP (RB just))))) (, ,) (NP (PRP they)) (ADVP (RB just)) (VP (VBD wrote) (NP (PRP it)) (ADVP (RB right) (RP off))) (. .)))"
[108],"(ROOT (S (NP (PRP I)) (VP (VBP think) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN lost) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN money))))))))))))))"
[109],"(ROOT (S (ADVP (CC and)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (UH like)) (ADVP (PRP we)) (S (VP (ADVP (DT every) (RB never)) (VBG going) (S (VP (TO to) (VP (VB get) (NP (PRP it)) (PRT (RP back))))))))))"
[106],(ROOT (INTJ (UH Uh-huh) (. .)))
[110],(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ impossible) (S (VP (TO to) (VP (VB get) (NP (PRP it)) (ADVP (RB back))))))) (. .)))
[112],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[113],"(ROOT (FRAG (PP (UH uh-huh)) (, ,)))"
[114],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[111],(ROOT (S (CC And) (ADVP (RB so)) (NP (PRP you)) (VP (VBP think) (SBAR (WHNP (DT that)) (S (NP (PRP it)) (VP (BES 's) (ADJP (RB just) (JJ gone)))))) (. .)))
[115],"(ROOT (S (S (PP (IN cause) (NP (XX we-))) (PRN (, ,) (S (NP (PRP we)) (VP (VBP 're))) (, ,)) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP we)) (VP (VBP 're) (VP (VBG talking) (PP (IN about) (NP (NP (DT some) (NNS peens)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (PP (RB just) (NP (UH like))) (ADVP (RB even)) (VBD gave) (PRT (RP up)))))))) (PP (IN on) (NP (UH like))) (S (VP (VP (VBG getting) (NP (PRP it)) (PRT (RP back))) (CC and) (VP (VBG trying) (ADVP (DT any) (JJR more))))))) (. .)))"
[116],(ROOT (INTJ (UH Okay) (. .)))
[118],(ROOT (SINV (VP (VBP Do) (S (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ necessary) (S (VP (TO to) (VP (VB have))))))))))) (NP (DT the) (JJ federal) (NN guaranty) (NN program))))
[119],(ROOT (SINV (S (INTJ (UH like)) (NP (PRP my)) (ADVP (^NN since)) (VP (VBZ is) (NP (PRP it)))) (VP (VBD was) (ADVP (RB there) (S (VP (TO to) (VP (VB try) (S (VP (TO to) (VP (VB protect))))))))) (NP (JJ small) (NNS investors))))
[117],(ROOT (S (NP (PRP They)) (ADVP (RB just) (RB totally)) (VP (VBD wrote) (NP (PRP it)) (PP (RP off) (NP (PRP$ their) (NN book)))) (. .)))
"[120, 122]","(ROOT (S (CC but) (NP (PRP it)) (VP (VBD ended) (PRT (RP up)) (S (VP (VBG protecting) (S (SBAR (X (ADVP (JJ big)) (NP (NNS investors)) (. .)) (S (SBAR (WHNP (WDT Which)) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (NP (WP what)))))) (NP (PRP it)) (VP (VBD was) (VP (VBN meant) (S (VP (TO to) (VP (VB do))))))))))) (, ,))))"
[121],(ROOT (INTJ (UH Oh) (. .)))
[124],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[125],"(ROOT (S (VP (UH um) (PRN (, ,) (INTJ (UH yeah)) (, ,)))))"
[126],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (S (VP (NP (NP (PRP it)) (ADJP (JJ necessary) (S (VP (TO to) (VP (VP (VB have)) (, ,) (FRAG (INTJ (UH um)) (, ,) (NP (DT the) (NN backing)))))))) (PRN (, ,) (INTJ (UH um)) (, ,))))))))))"
[127],"(ROOT (S (NP (PRP it)) (, ,) (PP (NP (PRP it)) (BES 's)) (, ,) (NP (PRP it)) (VP (BES 's) (SBAR (ADVP (RB just)) (IN for) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (JJ safe) (NNS purposes)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN in) (NP (NP (NN case) (NN something)) (SBAR (S (VP (MD would) (VP (VB happen)))))))) (. .))) (NP (UH Um)))) (, ,))))))"
[128],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[129],"(ROOT (S (NP (PRP I)) (VP (VP (VBP do) (RB n't)) (PRN (, ,) (S (NP (PRP I)) (VP (XX ne-))) (, ,)))))"
[130],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[123],"(ROOT (S (SBAR (RB so) (S (NP (PRP I)) (VP (VBP guess) (NP (PRP I))))) (, ,) (NP (PRP I)) (VP (VBP feel) (SBAR (IN like) (S (SBAR (RB as) (RB long) (IN as) (S (NP (PRP we)) (VP (VBP have) (NP (DT the) (NN possibility)) (PP (IN for) (NP (NP (DT this) (JJ large) (NNS numbers)) (PP (IN of) (NP (NNS people))))) (S (VP (TO to) (VP (VB be) (VP (VBN protected)))))))) (NP (DT the) (NN possibility)) (VP (VBZ exist) (PP (IN for) (NP (NP (DT these) (NNS sorts)) (PP (IN of) (NP (NNS problems))))))))) (. .)))"
[131],(ROOT (S (ADVP (RB as) (RB long) (SBAR (IN as) (S (NP (EX there)) (VP (BES 's) (NP (JJ enough) (JJ little) (NNS companies)))))) (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB have) (NP (NN something)))))))))) (. .)))
[133],(ROOT (INTJ (UH Uh-huh) (. .)))
"[132, 134]","(ROOT (S (INTJ (UH Um)) (, ,) (NP (RB so) (PRP$ your) (^NN since)) (VP (VBZ is) (ADVP (IN that) (DT the)) (, ,) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NP (DT the) (NN loan) (NNS guaranties)) (SBAR (WHNP (WDT which)) (S (ADVP (RB really)) (VP (VBD were) (NP (NP (NNS accounts) (NNS guaranties) (, ,) (ADJP (RB so) (DT the)) (, ,) (ADJP (IN so) (PP (IN that) (NP (DT the) (NN account)))) (NNS holders)) (SBAR (IN that) (FRAG (IN if) (NP (NN something))))))))) (VP (VBD went) (ADJP (JJ wrong) (SBAR (S (NP (PRP they)) (VP (MD would) (VP (VB have) (NP (PRP$ their) (NN money))))))))))) (. .)))"
[135],(ROOT (INTJ (UH Right) (. .)))
[136],"(ROOT (S (CC And) (PP (VBN given) (SBAR (IN that) (S (NP (NP (DT the) (NNP S)) (CC and) (NP (NNPS Ls))) (VP (VBP have) (VP (VBN had) (NP (NNS disasters)) (ADVP (RB then))))))) (NP (DT those) (NN account) (NNS holders)) (VP (VP (VBP are)) (, ,) (VP (VBP are)) (, ,) (S (NP (PRP$ their) (NN money)) (VP (VBZ is) (ADVP (RB still)) (VP (VBG being) (VP (VBN protected)))))) (. .)))"
[137],(ROOT (INTJ (UH Uh-huh) (. .)))
"[138, 140]","(ROOT (S (CC And) (NP (DT that)) (VP (VBZ is) (NP (PRP it)) (PP (BES 's) (NP (NP (CD million)) (PP (IN of) (NP (NP (NNS people)) (PP (IN with) (NP (RB anywhere))))))) (PP (IN from) (NP (NP (NNS thousands)) (PP (IN to) (NP (QP (NNS tens) (IN of) (NNS thousands))))))) (PRN (S (NP (PRP I)) (VP (VBP guess) (PP (IN of)))) (, ,)) (PP (IN Of) (NP (NP (NNS dollars)) (VP (VBG being) (VP (VBN protected))))) (. .)))"
[141],"(ROOT (NP (S (NP (PRP It)) (, ,) (NP (PRP it)) (VP (VBZ seems) (SBAR (IN like) (, ,) (S (INTJ (UH um)) (, ,) (NP (EX there)) (VP (VBD was) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NN money)) (VP (VBG being) (VP (VBN protected) (PP (IN in) (NP (JJ multiple) (NNS accounts))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))))))"
[142],"(ROOT (S (NP (PRP it)) (VP (BES 's)) (, ,)))"
[143],"(ROOT (SBAR (IN if) (, ,) (S (SBAR (IN if) (S (NP (PRP you)) (VP (VP (VBP take) (NP (QP (CD ten) (CD million)) (NNS people))) (CC and) (VP (VBP protect) (NP (QP (CD ten) (CD thousand)) (NNS dollars)))))) (VP (^PRP^VBZ it) (ADVP (RB still)) (ADVP (RB only) (NP (QP (DT a) (CD hundred) (CD bi-)))) (, ,) (NP (QP (CD billion) (NNS dollars)))))))"
[144],(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP 're) (VP (^VBG taking) (PP (IN about) (NP (NNS monies))) (ADVP (RB way) (PP (IN in) (NP (NP (^NN access)) (PP (IN of) (NP (DT that)))) (ADVP (RB now)))))))))
[139],(ROOT (INTJ (UH Uh-huh) (. .)))
[145],(ROOT (S (RB so) (NP (PRP it)) (VP (BES 's) (ADJP (JJ obvious)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN protected) (NP (JJ large) (NNS accounts))))))) (. .)))
[147],(ROOT (FRAG (CC And) (PP (NP (RB perhaps) (JJ multiple) (NNS people)) (PP (IN in) (NP (NP (JJ multiple) (NNP S)) (CC and) (NP (NNPS Ls)))))))
[146],(ROOT (INTJ (UH Uh-huh) (. .)))
[148],"(ROOT (S (CC and) (PRN (, ,) (S (CC and) (NP (PRP it)) (VP (VBZ seems) (PP (IN like) (ADVP (RB maybe)))))) (NP (DT that)) (VP (VBZ needs) (S (VP (TO to) (VP (VB be) (VP (VP (VBN thought) (PP (IN about))) (, ,) (VP (VBN rethought))))))) (. .)))"
[150],"(ROOT (S (NP (PRP You)) (VP (VBP know) (ADVP (IN that) (DT the)) (, ,) (PP (IN for))) (, ,)))"
[151],"(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (VP (VBP content) (PP (IN with) (NP (DT the) (NN need) (S (VP (TO to) (VP (VB have) (NP (NN protection)) (PP (IN on)) (, ,) (PP (IN on) (NP (NNS accounts)))))))))))))))"
[152],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP feel) (SBAR (IN likes) (S (NP (PRP it)) (VP (BES 's) (PP (IN on) (NP (DT an) (JJ individual) (NN basis))))))) (. .)))
[153],(ROOT (S (NP (NN Someone)) (VP (^WP^BES whose) (VP (VBN got) (NP (NP (NP (NNS accounts)) (PP (IN in) (NP (ADJP (NP (CD thirty-five)) (JJ different)) (NNP S)))) (CC and) (NP (NP (NNPS Ls)) (CC or) (NP (CD thirty) (CC or) (CD forty) (CD thousand) (NNS dollars))))))))
[154],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP 're) (ADVP (DT all)) (VP (VBN protected) (PP (IN by) (NP (DT the) (NN government))))) (. .)))
[149],(ROOT (INTJ (UH Yeah) (. .)))
[156],X
"[155, 157]","(ROOT (S (VP (VBZ Seems) (PP (IN to) (NP (PRP me))) (SBAR (IN like) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN gotten) (PP (IN around) (SBAR (WHNP (WP what)) (S (VP (VP (VBD was)) (, ,) (VP (VBN intended)) (S (VP (TO to) (VP (VB be) (NP (NP (DT the) (NN issue)) (FRAG (INTJ (UH there)))))))))))))))) (. .)))"
[159],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[158],X
"[160, 162]","(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT a) (JJ personal) (^NN since)) (PP (IN of) (NP (NP (^NN V)) (PP (IN on) (NP (PRP it)))))) (SBAR (IN since) (S (NP (PRP I)) (, ,) (VP (VBD was) (RB not) (NP (NP (DT a) (JJ heavy) (NN user)) (PP (IN of) (NP (DT any) (NNP S) (CC and) (NNPS Ls))))))))))))))"
[161],(ROOT (INTJ (UH Uh-huh) (. .)))
[163],"(ROOT (S (CC and) (, ,) (NP (CC and)) (VP (VB let) (NP (NP (RB alone) (DT any)) (PP (IN of) (NP (PRP them))) (SBAR (WHNP (WDT that)) (S (VP (VBD went) (ADJP (JJ bankrupt))))))) (. .)))"
[164],X
[165],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (DT that)) (VP (VBZ means) (SBAR (IN that) (S (PP (IN from) (NP (PRP$ my) (NN perspective))) (NP (PRP it)) (VP (MD could) (VP (VB happen) (ADVP (RB again))))))) (, ,))))))"
[166],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD could) (VP (VB happen)))))) (, ,)))"
"[167, 169]","(ROOT (S (SBAR (IN because) (S (NP (DT that)) (VP (VBZ means)))) (, ,) (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (ADJP (JJ worried) (RB enough)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[170],(ROOT (S (NP (PRP it)) (VP (BES 's) (NP (NP (NN kind)) (PP (IN of) (NP (NN thing)))) (SBAR (WHADVP (WRB where)) (S (ADVP (RB maybe)) (NP (PRP we)) (VP (MD 'll) (VP (VB survive))))))))
[168],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[172],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD 'll) (VP (VB happen) (ADVP (RB again)))))))))
[173],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD will) (VP (VB be) (NP (NP (DT a) (JJ long) (NN time)) (PP (IN in) (NP (DT the) (NN future)))) (SBAR (IN before) (S (NP (PRP it)) (VP (VBZ does) (VP (VB happen) (ADVP (RB again))))))))))) (. .)))
[174],(ROOT (S (SBAR (IN Because) (S (NP (PRP I)) (VP (VBP think) (NP (UH like))))) (NP (NP (DT the) (NN bank) (NNS people)) (PP (IN in) (NP (NP (DT any) (NN kind)) (PP (IN of) (NP (NP (NNS people)) (PP (IN like) (NP (DT that)))))))) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ worry) (RB enough)) (S (RB not) (VP (TO to) (VP (VB let) (S (NP (PRP it)) (VP (VB happen) (ADVP (RB again)) (PP (IN in) (NP (DT the) (JJ near) (NN future))))))))))))) (. .)))
[175],(ROOT (S (CC But) (NP (PRP I)) (VP (VBP think) (S (ADVP (RB later)) (ADVP (RP on)) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VP (VB start) (CC and) (VB forget) (PP (IN about))) (CC and) (VP (VB start) (S (VP (VBG making) (NP (DT the) (JJR riskier) (NNS loans))))))))))))))
[176],"(ROOT (S (SBAR (IN because) (S (NP (PRP I)) (VP (VBP mean)))) (, ,) (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB take) (NP (DT some) (NN risk))))))))))))"
[177],"(ROOT (FRAG (CC and) (ADVP (ADVP (RB as) (RB long)) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP 're) (VP (VBN backed) (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB still)) (VP (VBG going))))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (VP (VB start) (S (VP (VBG taking) (PRT (RP on)) (NP (JJR riskier) (NNS loans)))))) (, ,))))))))))))"
[171],"(ROOT (S (CC and) (ADVP (RB then)) (NP (PRP I)) (, ,) (RB then) (NP (PRP it)) (VP (MD will) (VP (VB happen) (ADVP (RB again)) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB pay) (NP (NN attention)) (PP (IN to) (NP (NP (DT those) (NNS kinds)) (PP (IN of) (NP (NNS things))))))))))) (. .)))"
[179],(ROOT (INTJ (UH Uh-huh) (. .)))
[178],"(ROOT (S (S (CC and) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (NN chance)) (PP (IN of) (SBAR (S (NP (PRP it)) (ADVP (RB possibly)) (VP (VBP happen) (ADVP (RB again) (CC but) (RB not)) (SBAR (IN until) (, ,) (S (NP (PRP you)) (VP (VBP know))))))))))))))) (, ,) (ADVP (RB late)) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN in) (NP (DT the) (NN future)))) (. .)))"
"[180, 182]","(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (RB perhaps)) (SBAR (IN if) (S (NP (EX there)) (VP (VBP are) (ADJP (JJ regulatory)) (, ,) (NP (UH uh))))) (, ,) (NP (NP (NP (NNS constraints)) (VP (VBN put) (PP (ADVP (RB back)) (IN in) (NP (NN place))) (. .))) (NP (PRP It))) (VP (MD will) (VP (VB protect) (NP (DT that))))))"
