[0],"(ROOT (S (INTJ (UH Okay)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP we)) (VP (VBP 're) (PP (RB on)))))) (. .)))"
[92],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (, ,) (NP (PRP it)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[93],"(ROOT (NP (NP (IN with)) (, ,) (PP (IN with) (NP (NP (JJ other) (NNS things)) (VP (VBG going) (PP (IN on))) (PRN (, ,) (S (NP (PRP it)) (, ,) (NP (PRP it)) (VP (VBZ seems) (S (VP (TO to) (VP (VB have) (VP (VBN lessened))))))) (, ,))))))"
[89],(ROOT (INTJ (UH Right) (. .)))
[95],"(ROOT (S (NP (NP (DT The) (RB only)) (, ,) (NP (NP (DT the) (JJ only) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBP see) (PP (IN about) (NP (NNP Cuba))) (ADVP (RB though)))))) (, ,)) (VP (VBZ is) (, ,) (S (INTJ (UH uh)) (, ,) (SBAR (IN after) (S (NP (NNP Fidel) (NNP Castro)) (VP (VBZ dies)))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP they)) (VP (MD 'll) (VP (VB be) (NP (DT a) (JJ communist) (NN power)) (ADVP (RB anymore)))))))))) (. .)))"
[94],"(ROOT (S (CC but) (S (NP (PRP you)) (VP (VBP 've) (ADVP (RB still)) (VP (VBN got)))) (, ,) (S (INTJ (UH uh)) (, ,) (S (NP (NP (NNP Cuba)) (SBAR (WHNP (WDT that)) (S (VP (VBZ accepts)))))) (, ,) (VP (VBZ exerts) (NP (DT some) (NN influence)))) (. .)))"
[97],"(ROOT (S (S (INTJ (INTJ (UH Well)) (, ,) (INTJ (WRB when))) (NP (PRP you)) (VP (VBP take) (NP (DT a)))) (, ,) (NP (NP (DT a) (NN situation)) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (VBP think) (PP (IN in) (NP (NP (JJ particular)) (PP (IN in) (NP (NNP Salvador))))) (SBAR (WHADVP (WRB where)) (S (NP (EX there)) (VP (VBZ is) (NP (DT a) (JJ significant))))))))) (ADVP (GW under)) (VP (^NN class) (, ,) (S (VP (VB excuse) (NP (PRP me))))) (, ,)))"
[98],"(ROOT (VP (CC and) (ADJP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,))))"
[96],"(ROOT (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB see) (NP (NN communism)) (PP (IN in) (S (NP (DT that) (NN country)) (VP (VBG carrying) (PP (IN on) (NP (JJ past))) (NP (PRP him))))))) (. .)))"
[99],"(ROOT (S (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG having) (NP (NP (DT a)) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN difficulty))))))))) (, ,) (S (INTJ (UH uh)) (, ,) (S (VP (VBG surviving) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (NP (DT the) (NN question)) (VP (VBZ is) (SBAR (S (VP (MD would)) (NP (PRP they)))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (SINV (MD would) (NP (PRP they)) (VP (VB be) (ADJP (JJR better) (RP off)) (PP (IN under) (NP (NN communism)))))))) (. .)))"
[101],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (MD would) (RB n't) (, ,) (S (VP (VB do) (RB n't) (VP (VB know) (SBAR (IN that) (S (NP (PRP I)) (VP (MD would) (VP (VB advocate) (NP (NN communism)))))))))))))"
[102],"(ROOT (PRN (CC but) (S (S (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (DT the) (NN question)) (VP (VBZ is)))) (VP (MD can))) (, ,) (S (INTJ (UH uh)) (, ,) (PRN (S (VP (MD can) (S (VP (NP (NP (PRP you)) (, ,) (SBAR (S (VP (MD can))))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))) (VP (MD can) (ADVP (DT a) (NN democracy)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB afford) (NP (DT the))))) (, ,))))"
[100],(ROOT (INTJ (UH Yeah) (. .)))
"[103, 105]","(ROOT (SINV (S (NP (PRP it)) (VP (BES 's) (PP (IN like) (NP (NP (DT the) (NN street) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG starting) (S (VP (TO to) (VP (VB show) (PRT (RP up)) (NP (NP (DT all) (JJ other)) (NP (DT the) (NNP U) (NNP S)))))))))))))) (, ,) (VP (VBZ is)) (NP (NP (DT that)) (, ,) (NP (NP (DT that)) (BES 's) (NP (RB essentially) (DT an) (NNS underclass))))))"
[104],(ROOT (INTJ (UH Right) (. .)))
[107],"(ROOT (FRAG (PP (UH Ye-)) (, ,)))"
[108],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (RB maybe) (NN communism)) (VP (VBZ is) (NP (NP (DT the) (JJ right)) (, ,) (NP (NP (DT the) (JJ right) (NN word)) (PP (IN for) (NP (PRP it))))))))))))"
[109],"(ROOT (PRN (CC but) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (MD would)) (, ,)))))"
[110],"(ROOT (S (NP (EX there)) (VP (MD would) (VP (VB have) (S (VP (TO to) (VP (VB be) (NP (NP (DT some) (NN kind)) (PP (IN of)))))))) (, ,)))"
[106],"(ROOT (S (CC and) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP get) (NP (NP (RB enough)) (PP (IN of) (NP (PRP them))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (NN communism)) (VP (MD would) (VP (VB feed) (S (NP (PRP them)) (NP (DT all)))))))) (. .)))"
[112],"(ROOT (FRAG (PP (NP (UH Well)) (PP (IN that))) (, ,)))"
[113],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[114],"(ROOT (SBAR (IN if) (S (NP (DT the) (NNS guys)) (VP (VBD got) (NP (DT some) (NN incentive))) (, ,))))"
[115],"(ROOT (SBAR (IN if) (S (NP (PRP he)) (VP (HVS 's) (VP (VBN got) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[116],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN if) (NP (PRP he))) (, ,) (SBAR (IN if) (S (NP (PRP he)) (VP (MD can) (VP (VB raise) (NP (RB enough)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NN coffee)) (CC and) (NP (NNS bananas))) (PP (IN to) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (WHADVP (WRB where)) (S (NP (PRP he)) (VP (HVS 's) (VP (VBN got) (NP (NN something)) (S (VP (TO to) (VP (VB protect))))))))))))) (, ,)))"
[111],"(ROOT (S (NP (EX there)) (, ,) (NP (EX there)) (VP (MD may) (VP (VB be) (NP (NP (DT a) (NN point)) (SBAR (WHPP (IN at) (WHNP (WDT which))) (S (PRN (, ,) (PP (IN at) (WHNP (WDT which))) (, ,)) (S (NP (PRP you)) (VP (VBP 've))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (MD might) (VP (VB want) (S (VP (TO to) (VP (VB consider) (NP (NP (DT some) (NN kind)) (PP (IN of) (NP (JJ socialistic)))))))))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (NN organization)) (CC or) (NP (JJ socialistic) (GW set))) (VP (^NN up) (PP (TO to)) (, ,) (S (VP (TO to) (VP (VP (VB deal) (PP (IN with) (NP (DT the) (NN problem)))) (CC and) (ADVP (RB then)) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (ADVP (RB gradually)) (VB transform) (ADVP (RB back)) (PP (IN to) (NP (DT a) (NN democracy)))))))))))))))))) (. .)))"
[118],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[117],"(ROOT (PRN (S (NP (JJ other)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)))"
[119],(ROOT (INTJ (UH right) (. .)))
[121],"(ROOT (S (CC But) (NP (NN cocoa) (NNS leaves)) (VP (VBP sell) (ADVP (ADVP (ADVP (RB real) (RB well)) (RB right) (RB now)) (PRN (, ,) (S (NP (PRP it)) (VP (VBZ seems))) (, ,))))))"
[120],"(ROOT (FRAG (SBAR (IN whether) (S (NP (PRP he)) (VP (MD can) (VP (VP (VB export)) (CC or) (VP (ADVP (ADVP (IN at) (JJS least)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VB set) (PRT (RP up)) (NP (NP (NN trade)) (CC and) (NP (NP (DT all) (JJ then) (NN democracy)) (PP (IN of) (NP (DT a) (JJ considerable) (NN interest)))))))))) (. .)))"
[123],"(ROOT (INTJ (UH Yeah) (, ,)))"
[122],(ROOT (INTJ (UH yeah) (. .)))
[125],(ROOT (INTJ (UH Absolutely) (. .)))
[126],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't)) (, ,)))"
[127],"(ROOT (S (NP (PRP it)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ hard) (PP (TO to))) (PRN (, ,) (INTJ (UH um)) (, ,)))))))))"
[128],"(ROOT (S (NP (PRP we)) (VP (, ,))))"
[129],"(ROOT (FRAG (SBAR (IN if) (FRAG (NP (NP (PRP you)) (, ,) (NP (PRP you)) (, ,))))))"
[124],(ROOT (S (ADVP (ADVP (RB as) (RB well)) (PP (IN as) (NP (DT some) (JJ other) (JJ various) (NNS things)))) (NP (WDT that)) (VP (VBP are) (VP (VBG growing) (PP (IN in) (NP (JJ tropical) (NNS environments))))) (. .)))
[131],"(ROOT (INTJ (UH Yes) (, ,)))"
[130],"(ROOT (S (NP (DT that)) (, ,) (ADVP (DT that) (BES 's) (SBAR (WHADVP (WRB where)) (S (NP (NP (PRP$ your)) (ADJP (RB absolutely) (JJ right))) (VP (VBZ is) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (S (VP (VP (TO to) (VP (VB do) (NP (NN something)) (PP (IN in) (NP (DT that) (NN region) (S (VP (TO to) (VP (VB encourage)))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (CC or) (VP (TO to) (VP (VB make))) (, ,) (VP (TO to) (VP (VB make) (S (NP (PRP him)) (VP (VBG growing) (S (NP (NNS bananas)) (ADJP (JJ profitable)) (ADVP (RB again))))))))))))))))) (, ,) (NP (PRP I)) (VP (VBP mean)) (. .)))"
[132],"(ROOT (S (CC but) (S (X (DT the)) (, ,) (CC but) (NP (DT the) (NN question)) (VP (VBZ is) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know)))))) (, ,) (S (SBAR (IN if) (S (NP (NN somebody)) (VP (VBD offered) (NP (PRP you))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (DT a) (CD thousand) (NNS dollars)) (NP (NP (DT a) (NN day)) (PP (TO to))) (, ,) (S (VP (TO to) (VP (VB grow) (NP (NN something)) (PP (IN in) (NP (PRP$ your) (NN backyard))))))))) (, ,) (SBAR (SINV (MD would) (NP (PRP you)) (VP (VB do) (NP (PRP it))))) (. .)))"
[134],"(ROOT (PRN (UH Well) (SBAR (RB not) (IN that) (S (NP (PRP we)) (VP (MD could) (VP (VB be) (VP (VBN bought)))))) (, ,)))"
[133],(ROOT (INTJ (UH Right) (. .)))
[136],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBD got) (S (VP (TO to) (VP (VB watch) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP say) (ADVP (RB here)))))))))) (, ,)))"
[135],"(ROOT (S (VP (CC but) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[138],"(ROOT (FRAG (PP (NP (INTJ (UH Well))) (IN of) (NP (NN course))) (, ,) (NP (NP (NN everything)) (SBAR (S (NP (PRP we)) (VP (VBP 're) (VP (VBG saying) (VP (VBZ is) (VP (VBG being) (VP (VBN recorded)))))))))))"
[137],"(ROOT (S (NP (PRP I)) (ADVP (RB never)) (VP (VBP know) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NNP D) (NNP I) (NNP A)) (VP (MD may) (VP (VB be) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG listening) (PP (IN on) (NP (PRP$ my) (NN phone)))))))))) (. .)))"
[139],(ROOT (NP (CC and) (: ...)))
[141],"(ROOT (FRAG (PP (IN Of) (NP (NN course))) (, ,)))"
[140],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[143],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[144],"(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ tempting))) (, ,)))"
[142],(ROOT (FRAG (PP (IN of) (NP (NN course))) (. .)))
[145],"(ROOT (S (NP (PRP it)) (VP (HVS 's) (VP (VBN got) (S (VP (TO to) (VP (VB be) (PRN (, ,) (S (NP (PRP it)) (VP (HVS 's) (VP (VBN got) (S (VP (TO to) (VP (VB be) (ADJP (RB horribly) (JJ tempting) (PP (IN for) (NP (DT those)))))))))) (, ,)) (NP (DT those) (NNS peasants))))))) (. .)))"
[147],"(ROOT (INTJ (UH Yeah) (, ,)))"
[148],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[149],"(ROOT (S (NP (PRP you)) (VP (, ,))))"
[150],"(ROOT (S (S (NP (PRP it)) (VP (BES 's))) (RB not) (, ,) (S (NP (PRP it)) (VP (BES 's) (RB not) (NP (NP (RB just) (DT a) (NN matter)) (PP (IN of))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN of) (S (VP (VBG having) (NP (DT an) (JJ extra) (NN car))))))) (CC or) (S (S (VP (VBG having) (NP (DT a) (JJR better) (NN car)))) (, ,) (NP (DT this)) (VP (VBZ is) (NP (NP (DT a) (NN matter)) (PP (IN for) (NP (PRP them))) (PP (IN of)) (, ,) (PP (IN of) (S (VP (VBG feeding) (NP (PRP themselves)) (NP (NP (PRP$ their) (NN wife)) (CC and) (NP (PRP$ their) (NN family)))))))))))"
[151],"(ROOT (NP (NP (CC and)) (PRN (, ,) (CC and) (NP (PRP you)) (, ,))))"
[152],(ROOT (S (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (JJ certain) (NN degree)) (PP (IN of) (NP (NN honor)))) (PP (IN in) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB feed) (NP (PRP$ your) (NN family))))))))))))
[153],(ROOT (PRN (CC and) (S (NP (EX there)) (VP (BES 's) (NP (NN dishonor)) (PP (IN in) (S (RB not) (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB do) (NP (PRP it)))))))))))))
[146],"(ROOT (FRAG (ADJP (RB Particularly)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ hungry))))) (. .)))"
[155],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (NP (VBG starving)) (PP (IN to) (NP (NN death)))) (VP (VBZ is) (NP (RB not) (DT a)))) (, ,) (RB not) (SBARQ (WHNP (NP (DT a) (JJ whole)) (PP (NP (NN lot)) (PP (IN of) (NP (NN fun))))) (ADVP (DT either)))))"
[154],(ROOT (NP (CC and) (: ...)))
[158],"(ROOT (INTJ (UH No) (, ,)))"
[159],(ROOT (INTJ (UH no) (. .)))
[156],"(ROOT (NP (NP (CC and)) (PRN (, ,) (ADVP (IN that)) (, ,))))"
[162],"(ROOT (S (PP (IN In) (NP (NN reality))) (, ,) (NP (PRP I)) (VP (VBP think) (PRN (, ,) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBD were) (VP (VBG doing) (VP (VBZ is) (ADVP (RB basically)) (VP (VP (VBG going) (PP (IN in))) (CC and) (VP (VBG trying) (S (VP (TO to) (VP (VP (VB feed) (NP (DT some) (NNS people))) (CC and) (VP (VB help) (S (NP (PRP them)) (VP (VB protect) (NP (PRP themselves))))))))))))))) (, ,)))))"
[163],"(ROOT (FRAG (PP (RB not) (IN that) (NP (PRP they))) (, ,)))"
[164],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure) (SBAR (S (NP (DT the) (NNP Catholic) (NN church)) (VP (VP (VBZ is)) (, ,) (VP (VBZ is)) (, ,) (VP (VBZ is) (ADJP (RB particularly) (JJ political)))))))))))))"
[161],(ROOT (INTJ (UH Uh-huh) (. .)))
