[0],"(ROOT (S (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD pressed) (NP (PRP$ my)))) (, ,) (FRAG (INTJ (UH uh))) (. .)))"
[120],"(ROOT (S (FRAG (INTJ (UH Boy)) (, ,) (NP (PRP I))) (, ,) (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP live) (PP (IN in) (NP (NNP Arlington)))) (. .)))"
[119],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NNP Dallas) (NN city) (NN limit)))) (. .)))
[122],(ROOT (INTJ (UH Yeah) (. .)))
"[121, 123]",(ROOT (S (NP (PRP I)) (VP (VBP am) (ADVP (RB so)) (ADJP (JJ happy) (S (RB not) (VP (TO to) (VP (VB be) (NP (NP (NN part)) (PP (IN of) (NP (NNP Dallas)))))))) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP see) (NP (DT those) (NNS folks)) (ADVP (RB there)))))) (. .)))
[125],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP like) (NP (DT the) (NN mayor)))))))) (, ,)))))"
[126],"(ROOT (S (CC but) (ADVP (PRP I)) (VP (VBP think) (NP (PRP$ your) (NN mayor))) (, ,)))"
[127],"(ROOT (FRAG (NP (NP (DT the)) (NP (NP (NN city)) (NP (NN council)) (, ,)))))"
[128],"(ROOT (X (DT the) (, ,)))"
[124],(ROOT (S (NP (PRP It)) (VP (BES 's) (NP (DT an) (JJ ugly) (NN mess))) (. .)))
[129],"(ROOT (SBARQ (WHNP (WP what)) (SQ (VBZ is) (NP (NP (NP (NP (DT the) (NN woman) (POS 's)) (NN name)) (NP (WP$ whose))) (, ,) (NP (NP (PRP us)) (PRN (, ,) (RB not) (NP (NP (DT the) (NN mayor)) (CC but) (NP (DT the))))) (, ,)))))"
[131],"(ROOT (INTJ (UH Yeah) (, ,)))"
[132],(ROOT (NP (NP (DT the) (NN city)) (NP (NN manager)) (. .)))
[133],(ROOT (S (NP (NP (DT All)) (PP (IN of) (NP (PRP them)))) (VP (VBP need) (S (VP (TO to) (VP (VB be) (VP (VBN thrown) (ADVP (RB out))))))) (. .)))
[130],(ROOT (NP (DT The) (NN manager) (. .)))
[134],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP they)) (VP (VBP 're) (ADVP (RB just)) (ADJP (JJ awful) (, ,) (RB just) (JJ awful))) (. .)))"
[136],(ROOT (INTJ (UH Uh-huh)))
[135],"(ROOT (S (S (INTJ (UH Well)) (, ,) (SBAR (WHNP (WP what)) (S (ADJP (GW get)))) (^VBP 's) (NP (PRP me)) (VP (VBZ is) (NP (DT this) (NN thing)))) (, ,) (NP (PRP it)) (VP (VBD went) (ADVP (IN down) (PP (IN to) (NP (NN defeat)) (NP (JJ last) (NNP December)))) (PP (IN by) (WHNP (WHADJP (WRB how) (JJ many)) (NNS votes))) (, ,) (PP (IN by) (NP (QP (RB just) (DT a) (JJ few) (CD hundred)) (NNS votes)))) (. .)))"
[138],"(ROOT (FRAG (CC And) (PP (IN if) (NP (NP (PRP it)) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD had) (VP (VBN passed))))) (, ,)))))"
[139],"(ROOT (S (SBAR (IN if) (S (NP (DT these) (NNS people)) (VP (VBD had) (VP (VBN gotten) (PRT (RB out)) (PP (IN the) (NP (NN vote))))))) (, ,) (NP (PRP it)) (VP (MD would) (VP (VB have) (VP (VBN passed))))))"
[140],(ROOT (S (CC and) (NP (EX there)) (VP (MD 'd) (VP (VB be) (NP (DT no) (JJR more) (NN argument)))) (. .)))
[137],(ROOT (NP (. .)))
[142],(ROOT (S (NP (PRP I)) (VP (VBP know)) (. .)))
[144],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (RB so) (JJ awful) (SBAR (IN that) (S (NP (NNS politicians)) (ADVP (RB always)) (VP (VBD spent) (NP (NN consulting) (NN money)))) (. .))) (SBAR (IN That) (S (S (NP (PRP we)) (VP (VBD put) (NP (PRP them)) (PP (IN in) (NP (NN office))))) (CC and) (S (ADVP (RB then)) (NP (PRP they)) (VP (VP (VBP go) (ADVP (RB out))) (CC and) (VP (VBP spend) (NP (NP (DT a) (NN couple) (NNS hundreds)) (PP (IN of) (NP (NP (NNS thousands)) (PP (IN of) (NP (NNS dollars)))))) (S (VP (TO to) (VP (VB buy) (NP (NNS consultants))))))))))) (, ,)))"
"[141, 143]",(ROOT (S (CC But) (NP (PRP they)) (VP (VBP 're) (ADVP (RB still)) (VP (VBG fighting) (PP (IN about) (NP (PRP it))) (SBAR (IN because) (S (PP (IN of) (NP (DT the) (NN way))) (NP (DT the) (NN election)) (VP (VBD went) (NP (JJ last) (NNP December))))))) (. .)))
[146],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[145],"(ROOT (S (S (CC and) (S (ADVP (RB then)) (NP (PRP they)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB do) (NP (DT that) (NN recommendation)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[147],(ROOT (INTJ (UH yeah) (. .)))
[149],"(ROOT (PRN (S (S (CC But) (, ,) (CC but) (NP (DT this)) (VP (VBZ is) (PP (IN for)))) (, ,) (ADVP (RB supposedly)) (S (VP (TO to) (VP (VB benefit) (NP (DT the) (NNS minorities)))))) (, ,)))"
[148],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ amazing)) (SBAR (NP (DT the) (NN money)) (IN that) (S (NP (PRP they)) (VP (VBP spend) (SBAR (RB once) (S (NP (PRP they)) (VP (VBP get) (ADVP (RB in))))))))) (. .)))"
[150],(ROOT (FRAG (CC and) (NP (NP (PDT all) (DT the) (NNS minorities)) (SBAR (S (VP (VBD had) (S (VP (TO to) (VP (VP (VB do) (SBAR (S (VP (VBD was) (S (VP (VB go) (ADVP (RB out)))))))) (CC and) (VP (VB get) (ADVP (NP (DT a) (NN couple)) (JJR more)) (NP (CD hundred) (NNS people)))))) (S (VP (TO to) (VP (VB vote))))))))))
[151],(ROOT (S (S (INTJ (UH Well)) (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right)) (ADVP (RB there)))) (. .)))
[153],(ROOT (S (NP (PRP You)) (VP (VBP 're) (ADJP (JJ right)) (ADVP (RB there))) (. .)))
[154],"(ROOT (S (INTJ (UH Uh) (, ,) (UH uh)) (, ,) (NP (NNS people)) (VP (VBP are)) (, ,)))"
[155],"(ROOT (FRAG (SBAR (WHNP (NP (UH uh)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (FRAG (WHNP (WHNP (NNS politics)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[152],(ROOT (S (CC and) (NP (PRP they)) (VP (MD would) (VP (VB have) (VP (VBN had) (NP (PRP$ their) (NN way))))) (. .)))
[157],"(ROOT (INTJ (UH Yeah) (, ,)))"
[156],(ROOT (S (NP (DT the) (NN voting)) (VP (VBZ is) (ADVP (RB still)) (RB not) (ADJP (RB as) (JJ much)) (SBAR (IN as) (S (NP (PRP you)) (VP (VBP think) (PP (IN in) (NP (NP (DT all) (NNS kinds)) (PP (IN of) (NP (NP (NNS issues)) (FRAG (INTJ (UH really))))))))))) (. .)))
[159],"(ROOT (INTJ (UH Yeah) (, ,)))"
[160],(ROOT (S (NP (PRP it)) (VP (VBZ is)) (. .)))
[158],(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (RB pretty) (JJ sad))) (. .)))
[161],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB hopefully)) (NP (NNS people)) (VP (MD will) (VP (VB get) (ADJP (RBR more) (JJ involved)))) (. .)))"
[163],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (, ,))))"
[164],"(ROOT (S (CC but) (NP (DT those)) (VP (VBP are) (NP (NP (NP (DT the) (NNS ones)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBG complaining)))))) (PRN (, ,) (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think))) (, ,)) (NP (DT a) (NN lot)))) (. .)))"
[165],(ROOT (S (NP (PRP I)) (VP (VBP see) (NP (PRP it)) (PP (ADVP (RB here)) (IN at) (NP (NNP T) (NNP I)))) (. .)))
[162],"(ROOT (S (NP (PRP$ My)) (PRN (, ,) (S (NP (PRP$ my) (NN position)) (VP (VBZ is) (NP (NP (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP do) (RB n't) (VP (VB vote))))))))) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT any) (NN right) (S (VP (TO to) (VP (VB complain) (PP (IN about) (NP (DT the) (NN way))) (NP (NP (DT the) (NN government)) (PP (BES 's) (S (VP (VBG going))))))))))) (. .)))"
[166],"(ROOT (FRAG (FRAG (NP (DT The) (NNS guys)) (SBAR (WHNP (WDT that)) (S (VP (VBP do) (RB n't) (VP (VB take) (NP (DT any) (NN interest)) (PP (IN in))))))) (, ,) (CC and) (FRAG (, ,) (CC and) (ADVP (RB constantly)) (PP (IN on) (NP (NP (DT the) (NN negative)) (PP (IN of) (NP (NN everything)))))) (. .)))"
[167],(ROOT (INTJ (UH Uh-huh) (. .)))
[169],"(ROOT (S (CC And) (, ,) (ADVP (CC and)) (VP (ADVP (PRP you)) (VBP ask) (NP (PRP them)) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB vote)))))) (, ,)))"
[170],"(ROOT (S (NP (PRP they)) (VP (VBP say) (SBAR (S (INTJ (UH well)) (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB want) (NP (PRP$ their) (NN name)) (PP (IN on) (NP (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN jury)) (NP (NN duty) (NN list))))))))) (. .)))"
"[168, 171]","(ROOT (S (CC And) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VBZ Is) (NP (NP (DT that)) (FRAG (INTJ (JJ right) (. ?))))) (UH Ooh)) (. .)))"
[173],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[174],"(ROOT (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right))) (, ,)))"
[175],(ROOT (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right))) (. .)))
[172],"(ROOT (S (NP (NP (DT That)) (, ,) (SBAR (WHNP (DT that)) (S (VP (BES 's) (SBAR (WHADVP (WRB where)) (S (NP (PRP they)) (VP (VBP get) (NP (DT the) (NN jury) (NN duty) (NN list)))))))) (, ,)) (VP (VBZ is) (PP (IN from) (NP (DT the) (NN voter) (NN registration)))) (. .)))"
[176],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD could) (VP (VB do) (NP (NP (JJR more)) (PP (IN about) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN voting))))))))) (. .)))"
[178],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (DT the) (NNS issues))) (. ?)))
[179],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NNP Democrat)))) (, ,)))"
[180],(ROOT (S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (ADVP (RB just)) (VB say) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB so) (JJ sad) (SBAR (IN that) (S (NP (EX there)) (VP (VBZ is) (RB n't) (NP (DT a) (JJ strong) (NNP Democrat))))))))))))) (. .)))
[181],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB know))) (, ,)))"
[177],(ROOT (S (XX MUMBLEx) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD could))))) (. .)))
[182],(ROOT (S (NP (PRP I)) (VP (MD could) (VP (VP (VB go) (ADVP (RB out))) (CC and) (VP (VB debate) (S (NP (NNP George) (NNP Bush)) (ADJP (JJR better) (SBAR (IN than) (S (NP (PRP I)) (VP (VBP see) (S (NP (DT any) (NNP Democrat)) (VP (VBG doing) (NP (PRP it)))))))))))) (. .)))
[184],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (ADVP (IN at) (JJS least)) (S (NP (PRP I)) (VP (MD 'd) (VP (VB like) (S (VP (TO to) (VP (VB see) (NP (NN compe-)))))))) (, ,)))))"
[183],(ROOT (INTJ (UH Uh-huh) (. .)))
[185],"(ROOT (S (SBAR (IN because) (S (NP (PRP I)) (VP (VBP like) (NP (NN competition))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[187],"(ROOT (S (NP (PRP I)) (VP (VBP think) (S (S (VP (VBG rolling) (ADVP (RB over)))) (CC and) (S (VP (VP (VB put) (NP (PRP$ your) (NN belly)) (PRT (RP up))) (CC and) (VP (VB play) (ADJP (JJ dead))))))) (, ,)))"
[188],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB so) (JJ disgusted) (PP (IN with) (NP (DT the) (JJ Democratic) (NN party))))) (, ,)))"
[186],(ROOT (INTJ (UH Yeah) (. .)))
[190],"(ROOT (PP (IN In) (NP (NP (JJ Presidential) (NNS races)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (ADVP (RB about)) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN done))))) (, ,)))))))"
[189],"(ROOT (S (S (NP (PRP I)) (VP (MD can) (RB not) (VP (VB believe) (NP (PRP it))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[192],(ROOT (INTJ (UH Yeah) (. .)))
[194],"(ROOT (INTJ (UH Yeah) (, ,)))"
[195],"(ROOT (S (CC but) (NP (PRP I)) (ADVP (RB still)) (VP (VBP think) (PP (IN in) (NP (DT the) (JJ last) (CD ten) (NNS years)))) (, ,)))"
[196],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN of) (NP (NP (NN course)) (SBAR (WHNP (DT that)) (S (VP (BES 's) (RB not) (NP (DT a) (JJ recent) (NN event)))))))) (, ,)))"
[197],"(ROOT (S (NP (DT that)) (VP (BES 's) (ADVP (RB only)) (NP (PRP$ my) (NN opinion))) (, ,)))"
[198],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (ADVP (RB really)) (VP (MD should) (RB n't) (VP (VB talk) (PP (IN about) (NP (DT that)))))))) (. .)))
[199],"(ROOT (S (CC But) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN whether) (S (NP (PRP they)) (VP (VBP 're) (NP (JJ recent) (NNS events))))))) (. .)))"
"[191, 193]",(ROOT (S (CC but) (NP (PRP they)) (VP (VBP 've) (VP (VBN got) (NP (NP (NP (DT a) (ADJP (RB pretty) (JJ good)) (NN lock)) (PP (IN on) (NP (NNP Congress)))) (CC and) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ local) (NNS things))))))) (. .)))
[200],"(ROOT (S (S (NP (PRP I)) (VP (VBP guess) (S (NP (PRP they)) (VP (XX we-) (, ,) (PP (IN on) (NP (DT this))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NN speech) (NN thing))))))) (, ,) (NP (PRP they)) (VP (VBP want) (S (NP (PRP us)) (VP (TO to) (VP (VB use) (NP (NP (DT a) (NN variety)) (PP (IN of) (NP (NNS words)))))))) (. .)))"
[201],(ROOT (INTJ (UH Right) (. .)))
[203],"(ROOT (S (INTJ (UH Actually)) (, ,) (ADVP (PRP I)) (VP (VBP have) (RB n't) (VP (VBN made) (NP (DT any) (NNS calls)))) (, ,)))"
[202],"(ROOT (SBARQ (WHNP (WHADJP (WRB How) (JJ many)) (NNS times)) (SQ (VBP have) (NP (PRP you)) (VP (VBN called) (, ,) (PP (IN by) (NP (DT the) (NN way))))) (. ?)))"
[204],(ROOT (S (CC but) (NP (PRP I)) (VP (VBD received) (PP (IN about) (NP (DT a) (NN dozen)))) (. .)))
[206],"(ROOT (S (NP (PRP I)) (VP (VBP think) (, ,) (S (INTJ (UH yeah)) (, ,) (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB make) (NP (DT these)))))))) (, ,)))"
[207],"(ROOT (S (CC but) (NP (PRP I)) (VP (VP (VBP get) (ADJP (JJ distracted))) (CC and) (VP (VBP get) (S (VP (TO to) (VP (VB do) (NP (NP (NP (NN something)) (ADJP (RB else))) (, ,)))))))))"
[208],"(ROOT (S (CC and) (ADVP (DT all) (PP (IN of) (NP (NP (DT a) (JJ sudden)) (NP (PRP$ my) (NN phone))))) (VP (VBP rings)) (, ,)))"
[205],"(ROOT (FRAG (INTJ (UH Oh) (, ,) (UH really)) (, ,) (NP (NP (PRP I)) (, ,) (NP (PRP I))) (, ,) (NP (PRP I)) (, ,)))"
[210],"(ROOT (INTJ (UH Yeah) (, ,)))"
[211],(ROOT (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB already)) (VP (VBN got) (NP (CD twelve) (NNS cards)))) (. .)))
[209],"(ROOT (S (CC and) (S (VP (VB go))) (, ,) (S (INTJ (UH Well)) (, ,) (SBAR (WHNP (WP what)) (FRAG (NP (DT the) (NN heck)))) (, ,) (NP (PRP we)) (VP (MD 'll) (VP (VB talk) (PP (IN for) (NP (DT a) (NN while)))))) (. .)))"
[213],"(ROOT (INTJ (UH Yeah) (, ,)))"
[214],(ROOT (S (NP (PRP we)) (VP (VBD got) (NP (DT a) (JJ whole) (NN bunch))) (. .)))
[212],(ROOT (S (NP (PRP You)) (VP (VBP get) (NP (NP (DT any) (NNS cards)) (PP (IN in) (NP (DT the) (NN mail))))) (. ?)))
[216],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[217],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ amazed) (PP (IN by)))) (, ,)))"
[218],"(ROOT (PP (IN of) (NP (NP (NN course)) (PRN (, ,) (S (NP (PRP we)) (VP (VBP 're) (RB not) (VP (VBG talking) (PP (IN about) (NP (NNS politics)))))) (, ,)))))"
[219],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP am) (ADJP (JJ amazed)) (PRN (PP (IN by)) (, ,)))))"
[220],(ROOT (S (NP (NNS people)) (VP (VBP say) (SBAR (S (NP (PRP they)) (VP (VBD got) (NP (CD thirty)))))) (. .)))
[221],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP wonder) (SBAR (WHADVP (WRB why)) (S (NP (PRP you)) (VP (VBP need) (NP (NP (CD thirty) (NNS renditions)) (PP (IN of) (NP (DT the) (NNS persons) (NN voice)))))))) (, ,)))"
[215],(ROOT (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB remember) (FRAG (WHADJP (WRB how) (JJ many))))) (. .)))
[222],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP 'm) (RB not) (PP (IN in) (NP (NN voice) (NN synthesis)))) (. .)))
[224],(ROOT (S (CC But) (NP (PRP I)) (VP (MD 'd) (ADVP (RB sure)) (VP (VB like) (S (VP (TO to) (VP (VB see) (NP (NP (DT a) (NN summary)) (PP (IN of) (NP (PRP it))))))))) (. .)))
[223],X
[225],"(ROOT (S (S (NP (PRP We)) (VP (MD 'll) (VP (VB get) (PP (IN to) (NP (NNS politics)))))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sorry))) (. .)))"
[227],"(ROOT (INTJ (UH Yeah) (, ,)))"
[226],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN used) (PRT (RP up)) (PP (IN as) (NP (JJ much) (NN time))) (SBAR (IN as) (S (NP (PRP we)) (VP (VBP 're) (VP (VBN supposed) (PP (TO to) (ADVP (RB anyway)))))))))))) (. .)))"
[229],"(ROOT (S (NP (PRP We)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VB do) (NP (CD five) (NNS minutes))))))) (, ,)))"
[228],(ROOT (INTJ (JJ right) (. .)))
[230],(ROOT (S (CC and) (NP (DT that)) (VP (VBD was) (ADVP (NP (CD three) (NNS minutes)) (RB ago))) (. .)))
[231],(ROOT (INTJ (UH Yeah) (. .)))
[233],"(ROOT (INTJ (UH Yeah) (, ,)))"
[232],"(ROOT (FRAG (PP (NP (INTJ (INTJ (UH Hey)) (, ,) (INTJ (UH well) (UH thanks)))) (IN for) (NP (DT the) (NN call))) (. .)))"
[235],"(ROOT (INTJ (UH Yeah) (, ,)))"
