[0],"(ROOT (INTJ (UH Yeah) (, ,)))"
[183],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB then)) (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB draw) (ADVP (ADVP (NP (DT a) (NN line)) (PP (IN between) (FRAG (SBAR (WHNP (NP (JJ public) (NN property)) (PP (CC and) (NP (UH uh)))) (FRAG (INTJ (UH uh) (UH uh))))))) (SBAR (WHNP (WHNP (WP what)) (NP (DT a) (JJ public))) (FRAG (INTJ (UH uh))))) (NP (NN symbol)))) (. .)))"
[184],(ROOT (INTJ (UH No)))
[186],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))))
[187],(ROOT (S (NP (PRP I)) (VP (VBP guess) (NP (DT the) (NN symbolism)))))
[185],X
[188],(ROOT (S (S (INTJ (UH oh)) (NP (PRP I)) (VP (VBP think) (NP (WP what)))) (NP (NNP America)) (VP (VBZ stands) (SBAR (IN for) (S (VP (VBZ is) (NP (DT the) (NN right) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB disagree) (PP (IN with) (NP (DT the) (NN government))))))))))))))) (. .)))
[189],(ROOT (INTJ (UH Uh) (UH yeah)))
"[191, 193, 195, 197, 199]",(ROOT (SINV (PP (CC but) (NP (UH here))) (VP (ADVP (RB again)) (ADVP (PRP I)) (VBP go) (ADVP (RB back) (PP (IN to)))) (NP (DT the) (JJ second) (NN amendment))))
"[190, 192, 194, 196, 198]",(ROOT (S (S (INTJ (UH Uh)) (NP (PRP I)) (VP (VBP think) (NP (DT that)))) (BES 's) (S (NP (WP what)) (VP (BES 's) (VP (VBN made) (NP (NN democracy)))))))
[201],(ROOT (INTJ (UH Yeah) (. .)))
[203],(ROOT (INTJ (UH Uh-huh) (. .)))
[205],(ROOT (INTJ (UH Yeah) (. .)))
"[200, 202, 204, 206]","(ROOT (S (NP (PRP You)) (VP (MD can) (VP (VB disagree) (PP (IN by) (NP (NP (XX s-) (XX b-) (NN freedom)) (PP (IN of) (NP (NN speech))) (SBAR (WHNP (WDT which)) (, ,) (S (VP (VBZ has) (NP (NN nothing) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (NN action)))))))))))))) (. .)))"
"[207, 209, 211]",(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (ADVP (DT that)) (BES 's) (NP (DT that))) (NP (BES 's) (JJ true))))
[213],(ROOT (INTJ (UH Yeah)))
"[215, 217, 219]",(ROOT (S (CC But) (NP (PRP I)) (VP (VBP think) (S (NP (PRP I)) (NP (PRP I)))) (XX g-)))
[221],(ROOT (INTJ (UH Yeah)))
"[208, 210, 212, 214, 216, 218, 220]",(ROOT (S (S (INTJ (UH Now)) (NP (PRP I)) (VP (VBP am))) (NP (PRP I)) (VP (VBP am) (ADVP (RB adamantly)) (PP (IN against) (NP (DT that)))) (. .)))
"[222, 224]",(ROOT (S (NP (PRP I)) (NP (PRP I)) (VP (XX d-) (SBAR (S (NP (PRP I)) (VP (VBP guess) (NP (NP (DT the) (NN idea)) (SBAR (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP they)) (ADVP (RB always)) (VP (VBP keep) (S (VP (VBG saying) (PP (IN like) (NP (DT the) (NNS framers)))))))))))))))) (. .)))
[225],(ROOT (SINV (FRAG (INTJ (UH Um) (. .))) (VP (PP (PP (NP (NP (EX there)) (FRAG (INTJ (UH uh)))) (PP (NP (CD one)) (IN of) (NP (NP (DT the) (NNP Republican)) (NP (DT the) (NNS appointees))))) (PP (IN for) (NP (DT the)))) (XX jud-) (NP (DT the) (JJ judicial))) (NP (NN bench))))
[223],X
[227],X
[229],X
"[226, 228, 230]",(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB always)) (VP (VBP talk) (PP (IN about) (SBAR (WHADVP (XX MUMBLEx)) (S (NP (PRP they)) (VP (VBP feel) (SBAR (IN that) (S (NP (DT this) (NN person)) (VP (VBZ believes) (PP (IN in) (NP (NP (DT the) (NN framing)) (PP (IN of) (NP (NP (DT the) (NN constitution)) (SBAR (WHNP (WP what)) (S (NP (NP (NP (DT the) (JJ original) (NNS framers)) (NP (DT the) (NNS ideals))) (NP (DT the) (JJ original) (NNS framers))) (VP (VBD set) (PRT (RP down))))))))))))))))) (. .)))
[231],(ROOT (INTJ (UH Uh-huh) (. .)))
[233],(ROOT (INTJ (UH huh) (. .)))
"[232, 234]",(ROOT (SINV (CC And) (UH Um) (NP (PRP I)) (VP (VBP believe) (SBAR (IN that) (S (NP (NP (DT the) (NN idea)) (PP (IN of) (S (VP (VBG burning) (SBAR (S (NP (DT the) (NN flag)) (VP (VBZ is)))))))) (VP (VBZ is) (PP (IN in))))))))
[236],(ROOT (S (NP (NP (PRP$ my) (NN understanding)) (PP (IN of) (SBAR (WHADVP (WRB how)) (S (NP (PRP it)) (VP (VBD was) (VP (VBN framed))))))) (VP (VBZ is) (SBAR (IN that) (S (NP (NP (PRP you)) (NP (DT this) (NN coun-)) (NP (NP (DT the) (NN thing)) (PP (IN about) (NP (DT this) (NN country))))) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP you)) (VP (MD can) (VP (VB disagree) (PP (IN with) (NP (PRP$ its) (NN government)))))))))))))
[235],X
[238],(ROOT (INTJ (UH Yeah) (. .)))
"[237, 239]",(ROOT (S (CC and) (NP (PRP you)) (VP (MD can) (VP (VB display) (NP (DT that)))) (. .)))
[241],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (UH Yeah)) (, ,)))"
[242],(ROOT (S (NP (PRP I)) (VP (XX g-))))
[240],(ROOT (INTJ (UH Uh-huh) (. .)))
"[243, 245]",(ROOT (SQ (CC and) (FRAG (CC and) (ADVP (ADVP (IN so)) (SBAR (IN that) (SBAR (UCP (PP (IN as) (NP (NP (DT a) (NN freedom)) (PP (IN of) (NP (NN expression) (CC and) (NN speech))))) (CC and) (SBAR (WHNP (WP whatever)) (FRAG (NP (PRP I))))) (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (DT that)) (VP (BES 's) (ADJP (JJ viable))))))))))) (. .)))
[246],(ROOT (S (S (INTJ (UH Um) (PP (ADVP (RB as) (RB long)) (IN as) (NP (NP (PRP it)) (SBAR (S (S (VP (BES 's) (NP (PRP$ your) (NN flag)))) (CC and) (S (CC and) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN made) (S (NP (PRP$ your)) (NP (PRP$ your) (NN point))))))))))) (. .)) (NP (PRP I)) (VP (VBP think))) (. .)))
[247],(ROOT (INTJ (UH Yeah)))
[244],X
[248],"(ROOT (S (PP (IN Because) (S (VP (PRN (, ,) (ADVP (RB realistically)) (, ,)) (PP (NP (UH like)) (IN for) (NP (NP (PRP you)) (PP (IN for) (NP (PRP you)))))))) (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB think) (S (NP (PRP it)) (ADJP (BES 's) (JJ right)))))))"
[250],(ROOT (S (CC And) (NP (PRP I)) (VP (MD would) (ADVP (RB never)) (VP (VB do) (NP (PRP it)))) (. .)))
[251],"(ROOT (S (NP (PRP I)) (ADVP (PRP I)) (VP (VBP love) (NP (DT this) (NN country)) (ADVP (RB too) (RB much))) (, ,)))"
[249],(ROOT (INTJ (UH No) (. .)))
[252],(ROOT (S (CC and) (NP (DT that) (NN symbol)) (VP (VBZ means) (NP (NP (DT a) (NN lot)) (PP (IN to) (NP (PRP me))))) (. .)))
[253],(ROOT (INTJ (UH Uh-huh) (. .)))
[255],X
[257],(ROOT (VP (VP (UH Well) (NP (UH here)) (ADVP (RB again)) (NP (PRP we))) (NP (UH uh))))
"[254, 256]",(ROOT (S (INTJ (UH Um)) (. .) (NP (CC But)) (VP (ADVP (PRP I)) (VBP guess) (NP (PRP it)) (PP (BES 's) (NP (NP (RB just) (CD one)) (PP (IN of) (NP (NP (DT those) (NNS things)) (SBAR (WHADVP (WRB where)) (S (SBAR (IN if) (S (NP (PRP they)) (VP (ADVP (IN if) (DT that)) (BES 's) (SBAR (WHNP (WP what)) (S (PP (BES 's) (NP (NN something))) (NP (PRP it)) (VP (BES 's) (NP (DT a) (NN need)) (PP (IN for) (NP (PRP them))))))))) (NP (PRP you)) (VP (VBP know))))))))) (. .)))
[259],(ROOT (INTJ (UH Yeah) (. .)))
[261],(ROOT (INTJ (UH Yes) (. .)))
"[258, 260, 262]",(ROOT (S (SBAR (RB even) (IN though) (FRAG (NP (NP (PRP you)) (SBAR (S (INTJ (UH uh)) (NP (RB physically) (PRP you)) (VP (VBP agree) (PP (IN with) (NP (PRP me))) (NP (PRP you)))))))) (NP (PRP you)) (VP (MD would) (RB n't) (VP (VB do) (NP (PRP it)) (NP (PRP yourself)))) (. .)))
[263],(ROOT (INTJ (UH No) (. .)))
[265],(ROOT (INTJ (UH Right) (. .)))
[267],(ROOT (INTJ (UH Yeah) (. .)))
"[264, 266]",(ROOT (S (NP (CC Nevertheless)) (NP (PRP you)) (VP (VBP maintain) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (SBAR (S (NP (PRP it)) (VP (VBZ is) (NP (NP (DT the) (NN right)) (PP (IN of) (IN of) (NP (DT any) (NN citizen) (S (VP (TO to) (VP (VB burn) (NP (NP (DT the) (NN symbol)) (PP (IN of) (NP (PRP$ their) (NN country))))))))))))))))) (. .)))
[269],"(ROOT (S (INTJ (UH Uh) (, ,) (UH um)) (VP (ADVP (ADVP (RB so) (RB long)) (PP (IN as) (NP (PRP it)))) (BES 's) (NP (PRP$ their) (NN possession))) (. .)))"
[268],(ROOT (FRAG (UH Uh) (INTJ (UH huh)) (. .)))
[270],"(ROOT (S (S (INTJ (UH Ok)) (, ,) (NP (PRP you)) (VP (VBP 're) (SBAR (S (NP (PRP you)) (VP (VBP 're) (ADJP (NP (NP (DT that) (BES 's)) (ADJP (ADJP (JJ fine) (IN up)) (PP (IN to) (NP (RB there))))) (SBAR (IN except) (SBAR (IN that) (FRAG (INTJ (UH uh)))))))))) (, ,)) (XX th-) (S (S (SBAR (WHNP (WP what)) (S (NP (DT that) (NN flag)) (VP (VBZ symbolizes)))) (VP (VBZ is))) (PRN (SINV (FRAG (INTJ (UH uh) (UH uh))) (VP (VBZ is)) (NP (DT this) (NN country))) (, ,)))))"
[272],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB know) (PP (IN as) (NP (DT a) (NNP Boy) (NNP Scout))))))))))
[271],(ROOT (FRAG (UH Uh) (INTJ (UH huh)) (. .)))
"[273, 275]","(ROOT (S (CC but) (NP (NP (DT all)) (SBAR (S (NP (PRP I)) (VP (VBP remember) (SBAR (S (VP (VBD was) (NP (NP (DT the) (NN red)) (PP (IN in) (NP (DT the) (NN flag))))))))))) (VP (VBD represented) (NP (NP (DT the) (NN blood)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (VP (VBN shed) (S (VP (TO to) (S (VP (VP (TO to) (VP (VB create) (NP (DT this) (NN country)))) (, ,) (CC and) (VP (TO to) (VP (VB maintain) (NP (PRP it)))))))))))))) (. .)))"
[274],(ROOT (INTJ (UH Yeah) (. .)))
[277],(ROOT (S (NP (PRP I)) (VP (VBP agree) (NP (UH there)) (ADVP (RB too))) (. .)))
[278],(ROOT (S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (NP (PRP you)) (FRAG (INTJ (UH there))))) (ADVP (RB too))) (. .)))
[279],(ROOT (S (NP (NP (NP (PRP I)) (VP (NP (PRP I) (DT the)) (PP (NP (UH um)) (NP (NP (PRP I)) (NP (PRP I)))))) (SBAR (S (NP (PRP it)) (VP (BES 's) (SBAR (S (NP (PRP I)) (VP (VBP find) (S (NP (PRP it)) (NP (PRP you)))))))))) (VP (VBP know) (ADJP (RB personally) (JJ disgusting)))))
[276],"(ROOT (S (CC And) (, ,) (PP (IN to) (NP (NP (PRP me)) (NP (DT that) (BES 's)))) (^DT uh) (NP (NP (^DT uh) (JJ black) (NN eye)) (PP (IN to) (NP (NP (DT every) (NN man)) (SBAR (WHNP (WDT that)) (S (ADVP (RB ever)) (VP (XX p-) (INTJ (UH uh)))))))) (VP (VP (VBD carried) (NP (DT a) (NN weapon))) (CC or) (VP (VBD killed) (PP (IN for) (NP (PRP$ his) (NN country))))) (. .)))"
[281],(ROOT (INTJ (UH Uh-huh) (. .)))
"[280, 282, 284]",(ROOT (S (CC But) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (NP (NP (DT that)) (SBAR (S (INTJ (UH uh)) (NP (PRP we)) (VP (VBP have) (NP (DT a) (NN right) (S (VP (TO to) (VP (VB stop) (NP (NN somebody)) (PP (IN from) (SBAR (WHNP (DT that)) (S (NP (PRP you)) (VP (VBP know)))))))))))))))))))))
[285],(ROOT (FRAG (NP (NP (DT the) (JJ same)) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))))))))
[283],X
"[286, 288, 290]","(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP get) (S (NP (PRP I)) (VP (VB get) (NP (UH uh)) (S (NP (NP (DT all)) (VP (VBN mixed) (PP (RP up)) (FRAG (WHADVP (ADVP (RB inside) (. .)) (WRB when)))))) (, ,) (NP (UH Yeah))))))))))"
[291],"(ROOT (S (NP (PRP it)) (VP (XX g-) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (BES 's) (SBAR (S (INTJ (UH uh)) (NP (PRP it)) (VP (BES 's) (NP (DT an) (JJ emotional) (NN issue))))))))) (, ,)))"
[292],(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP sit)))))
"[287, 289]",(ROOT (S (NP (PRP It)) (VP (BES 's) (SBAR (S (NP (PRP It)) (VP (BES 's) (ADJP (RB very) (JJ easy)) (S (VP (TO to) (VP (VB do)))))))) (. .)))
"[293, 295]",(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP try) (CC and) (VBP think) (PP (IN about) (NP (PRP it))) (ADVP (RB logically))))))
[296],"(ROOT (PRN (CC and) (S (CC and) (NP (CC and)) (VP (ADVP (PRP you)) (VBP know) (SBAR (S (NP (PRP you)) (VP (VBP try) (S (VP (VP (TO to) (VP (VB say) (PP (IN to) (NP (PRP yourself))) (NP (UH now)) (ADVP (RB emotionally)))) (PRN (S (NP (DT this)) (VP (VBZ is) (NP (DT a) (ADJP (JJ disgusting)) (NN thing)))) (, ,)))))))))))"
[294],X
[297],(ROOT (INTJ (INTJ (UH uh)) (CC but) (INTJ (RB logically) (UH um))))
[299],"(ROOT (S (SBAR (RB even) (S (NP (PRP you)) (VP (VBP know) (PP (IN for) (NP (NN instance)))))) (, ,) (NP (DT the) (GW pro)) (VP (^JJ life) (VP (GW pro) (NP (^JJ choice) (NN movement)) (, ,) (SBAR (S (INTJ (UH uh)) (NP (PRP you)) (VP (VBP know))))))))"
[300],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (NP (NP (NN anybody)) (SBAR (WHNP (WDT that)) (S (ADVP (RB actually)) (VP (VBZ supports) (NP (NN abortion)))))))) (, ,)))"
[298],X
[302],(ROOT (INTJ (UH Uh)))
"[301, 303]",(ROOT (S (CC but) (NP (PRP they)) (VP (MD would) (VP (VB vote) (NP (GW pro) (^RB choice)))) (. .)))
[305],(ROOT (SBAR (IN because) (S (NP (PRP you)) (VP (VBP know) (NP (NP (DT That)) (PP (BES 's) (NP (NP (RB just) (DT a) (ADJP (JJ disgusting)) (NN thing)) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))))
[306],(ROOT (NP (NN somebody)))
[304],(ROOT (INTJ (UH Uh-huh) (. .)))
[308],X
"[307, 309]","(ROOT (S (NP (DT an) (NN abortion)) (VP (VBZ means) (S (UCP (S (NP (PRP it)) (NP (NP (BES 's) (NN somebody) (BES 's)) (PP (IN in) (NP (NN trouble))))) (CC and) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (NP (DT an) (JJ awful) (NN thing)))))) (, ,) (NP (PRP you)) (VP (VBP know))))))"
[311],(ROOT (NP (CC but)))
[313],(ROOT (INTJ (UH Yeah) (. .)))
"[315, 317]","(ROOT (S (CC but) (NP (PRP it) (DT that)) (VP (BES 's) (NP (INTJ (UH uh)) (NP (DT that))) (PRN (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP mean)))) (, ,)))))"
[318],"(ROOT (FRAG (INTJ (UH see)) (, ,) (ADVP (XX mo-))))"
[319],"(ROOT (S (CC but) (SBAR (PRN (CC but) (ADVP (RB realistically))) (S (INTJ (WRB when)) (NP (PRP you)) (VP (VBP think) (PP (IN of) (NP (PRP it)))))) (NP (PRP it)) (ADVP (RB just)) (VP (VBZ sounds) (PP (IN like) (NP (PDT such) (DT an) (JJ awful) (NN thing)))) (, ,)))"
[320],(ROOT (S (CC and) (NP (PRP it)) (VP (VBZ evokes) (NP (DT an) (JJ emotional) (NN response))) (. .)))
[321],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (PP (BES 's) (NP (DT the) (JJS hardest) (NN thing))))) (, ,)))"
"[310, 312]",(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (ADVP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (MD should) (VP (VB be) (VP (VBN permitted) (PP (IN under))))))))) (NP (JJ certain) (NNS circus-))))
[323],(ROOT (INTJ (UH Uh-huh) (. .)))
[325],(ROOT (INTJ (UH Huh) (. .)))
"[327, 329]",(ROOT (S (INTJ (UH Well)) (VP (VB tell)) (PRP me)))
"[322, 324, 326, 328, 330, 332, 334]","(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (S (SBAR (IN if) (S (NP (PRP I)) (VP (MD could) (ADVP (RB ever)) (VP (VB be) (NP (DT a) (NN judge)) (, ,) (SBAR (IN because) (S (NP (DT some) (NNS things)) (ADVP (RB emotionally) (RB just)) (VP (VBP are) (RB n't)))))))) (NP (PRP you)) (VP (VBP know)))))))"
[336],"(ROOT (INTJ (UH No) (, ,)))"
"[331, 333, 335]",(ROOT (SQ (VBZ has) (NP (PRP it)) (VP (ADVP (RB ever)) (VP (VBN been) (VP (VBN decided) (SBAR (WHADVP (WRB when) (WRB when)) (S (VP (VBZ is) (NP (NP (DT a) (UH uh) (NN fetus)) (NP (DT a) (NN human))))))))) (. ?)))
[337],(ROOT (INTJ (UH no)))
[339],(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT the)) (FRAG (INTJ (UH um)))))))
[340],(ROOT (ADJP (RB sometimes) (SBAR (S (NP (PRP I)) (VP (VBP guess))))))
[341],(ROOT (SBARQ (WHNP (WP what)) (SQ (VBD did) (NP (PRP I)) (VP (VB read) (ADVP (RB recently))))))
[338],X
"[342, 344]",(ROOT (S (NP (NP (FRAG (DT the) (INTJ (UH um)) (NP (DT th-)))) (PP (NP (NP (DT the)) (FRAG (INTJ (UH uh)))) (NP (NP (JJ Christian)) (SBAR (S (INTJ (UH uh)) (NP (NN point)) (VP (VBZ is))))))) (VP (VBZ is) (ADVP (RB always)) (NP (NP (DT the) (NN point)) (PP (IN of) (NP (INTJ (UH well)))) (SBAR (S (NP (PRP it)) (VP (BES 's) (PP (IN at) (NP (NN conception))))))))))
[345],(ROOT (S (CC but) (PP (RB then) (NP (UH um))) (NP (NP (DT a) (NN friend)) (PP (IN of) (NP (PRP mine)))) (VP (VP (BES 's) (NP (DT a) (NN doctor))) (CC and) (VP (VBZ argues) (PP (IN with) (NP (NNS others))) (SBAR (IN that) (S (NP (NN conception)) (VP (VBZ is) (NP (DT a) (JJ biblical) (NN term))))))) (. .)))
[343],X
[346],(ROOT (S (CC And) (NP (EX there)) (VP (BES 's) (NP (NP (DT no) (NN concept)) (PP (IN of) (NP (NN conception)))) (PP (IN in) (NP (NN medicine) (CC or) (NN biology)))) (. .)))
[348],(ROOT (S (ADVP (RB so) (RB then)) (NP (NP (DT that)) (ADJP (RB so) (DT that))) (VP (VBZ throws) (PRT (RP out)) (SBAR (S (NP (DT that) (NN idea)) (VP (VBZ makes) (NP (PRP it)) (NP (NP (DT a) (JJ religious) (NN discussion)) (ADVP (RB then))))))) (. .)))
[349],(ROOT (FRAG (ADVP (RB So)) (NP (PRP it)) (BES 's)))
[347],(ROOT (INTJ (UH Huh) (. .)))
"[350, 352]",(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[353],(ROOT (S (NP (PRP It)) (VP (BES 's) (ADJP (RB very) (SBAR (S (NP (PRP it)) (VP (BES 's) (SBAR (S (NP (PRP it)) (VP (BES 's) (SBAR (S (INTJ (UH uh)) (NP (PRP you)) (VP (VBP know) (NP (PRP It)) (PP (BES 's) (NP (DT a) (NP (PRP it)) (BES 's) (NP (DT a) (JJ topsy-turvy) (NN world)))))))))))))))))
[351],X
[355],X
"[357, 359]",(ROOT (FRAG (CC Or) (NP (PRP they))))
"[354, 356, 358, 360]","(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB really)) (NP (NP (NP (NN something)) (SBAR (WHADVP (WRB how)) (S (INTJ (UH um)) (NP (JJ political) (NNS ideas) (CC and) (NNS viewpoints)) (VP (VP (PP (IN within) (NP (CD one) (NN country))) (MD can) (VP (VB vary) (ADVP (RB so) (RB much)))) (CC and) (VP (ADVP (RB also)) (PP (IN within) (NP (UH um)))))))) (ADVP (IN within) (DT a)))) (, ,))))"
[362],(ROOT (INTJ (UH Yeah)))
"[364, 366]",(ROOT (FRAG (CC and) (PP (WRB how) (NP (INTJ (UH Yeah))))))
"[361, 363, 365]","(ROOT (S (PP (IN on) (NP (PRP$ their) (ADJP (JJ o) (PP (IN within) (NP (NP (DT the) (JJ own)) (FRAG (INTJ (UH uh)))))) (NN society))) (, ,) (NP (PRP it)) (VP (MD can) (VP (VB vary))) (. .)))"
[367],(ROOT (S (ADVP (WRB how)) (NP (PRP it)) (VP (MD 'll) (VP (VB sway) (PP (IN from) (NP (CD one) (NN e-))) (NP (NP (CD one) (NN extreme)) (PP (IN to) (NP (DT another)))))) (. .)))
