[0],(ROOT (INTJ (UH Okay)))
[184],"(ROOT (S (CC but) (, ,) (INTJ (UH uh)) (, ,) (PP (IN for)) (, ,) (NP (ADJP (IN if)) (NP (PRP you))) (VP (VBP 're) (S (VP (VBG going) (PRN (PP (IN into)) (, ,)))))))"
[182],(ROOT (S (CC but) (NP (PRP they)) (ADVP (RB usually)) (VP (VBP do) (RB n't)) (. .)))
[186],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[187],"(ROOT (FRAG (PP (CC but) (NP (PRP they))) (, ,)))"
[188],(ROOT (INTJ (UH no)))
[189],(ROOT (FRAG (CC but) (SBAR (WHNP (WP who)) (S (VP (VBZ does)))) (. .)))
[185],"(ROOT (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP know) (NP (NN engineering))))) (VP (VBZ is) (NP (DT the) (NN thing)) (SBAR (IN if) (S (, ,) (ADVP (RB then)) (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (S (VP (TO to) (VP (ADVP (IN at) (JJS least)) (VB take) (NP (NN engineering)))))))))) (. .)))"
"[190, 192]","(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (S (NP (PRP I)) (VP (VBP think))) (, ,) (S (NP (PRP I)) (VP (VBP think) (NP (DT all)))) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT the) (NN majority)) (PP (IN of) (NP (NNS people)))) (ADVP (RB just)) (VP (VBP do) (RB n't) (VP (VB know))))))) (. .)))"
[193],(ROOT (INTJ (UH No)))
[191],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[195],(ROOT (INTJ (UH Uh-huh) (. .)))
[197],(ROOT (INTJ (UH No)))
[198],"(ROOT (S (NP (PRP he)) (VP (VBD did) (RB n't) (VP (VB apply) (PP (IN to) (NP (DT any) (NN school))) (ADVP (RBR further)))) (, ,)))"
"[194, 196]","(ROOT (S (NP (PRP he)) (VP (VBD looked) (PP (IN at) (NP (NNS criteria))) (PP (IN such) (PP (IN as) (NP (NP (NN location)) (, ,) (NP (NP (NN size)) (PP (IN of) (NP (NP (NN school)) (FRAG (INTJ (UH uh)))))) (, ,)))))))"
[200],(ROOT (S (NP (DT That)) (VP (BES 's) (ADVP (RB still)) (ADJP (RB pretty) (RB far)) (ADVP (RB though))) (. .)))
[199],"(ROOT (FRAG (X (DT the)) (VP (ADVP (RBS furthest)) (ADVP (RB away)) (VBD was) (NP (NP (NNP Bowdoin)) (, ,) (PP (IN in) (NP (NP (NNP Maine)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (NP (RB about) (CD twelve) (NNS hours))))))))) (. .)))"
[202],"(ROOT (INTJ (UH Yeah) (, ,)))"
[203],(ROOT (S (NP (DT that)) (VP (VBD was) (NP (NP (DT the) (JJS furthest)) (CC and) (ADVP (RB then)) (NP (NP (NNP Kenyon)) (PP (IN in) (NP (NNP Ohio))) (SBAR (WHNP (WDT which)) (S (VP (VBD was) (RB about) (NP (QP (CD six) (CC and) (DT a) (NN half)) (NNS hours))))))))))
[201],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS kids)))) (ADVP (RB just)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB want) (S (VP (TO to) (VP (VB go))))))))) (, ,)))"
[204],(ROOT (S (CC and) (NP (NNP Williams)) (VP (VBZ is) (NP (QP (RB about) (CD seven)))) (. .)))
[206],(ROOT (INTJ (UH Yeah)))
[207],"(ROOT (S (NP (ADJP (ADJP (RB so)) (PRN (, ,) (INTJ (UH well)) (, ,))) (NP (PRP I))) (VP (VBP mean) (NP (NP (PRP he)) (, ,) (SBAR (IN so) (S (NP (PRP it)) (VP (VBD was) (RB n't)))) (, ,)))))"
[208],"(ROOT (PRN (S (NP (PRP he)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,)))"
[209],(ROOT (S (NP (NP (RB then) (DT the) (NNP University)) (PP (IN of) (NP (NNP Pennsylvania)))) (VP (VBZ is) (NP (UH like)) (PP (NP (CD two) (NNS hours)) (IN from) (NP (RB here))) (PP (IN by) (NP (NN train))))))
[205],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (DT that)) (VP (BES 's) (RB not) (ADJP (RB too) (JJ bad))) (. .)))"
[211],"(ROOT (PRN (XX MUMBLEx) (INTJ (UH Yeah)) (, ,)))"
[210],(ROOT (FRAG (CC and) (RB then) (NP (NNP Bucknell)) (PP (IN in) (NP (JJ mid-state) (NNP Pennsylvania))) (. .)))
[213],"(ROOT (INTJ (UH Yeah) (, ,)))"
[214],"(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (MD will)) (, ,))))"
[215],"(ROOT (PRN (CC and) (S (S (SBAR (IN if) (, ,) (S (NP (PRP it)) (VP (VBD came) (ADVP (IN down))))) (NP (PRP I)) (VP (VBP mean))) (, ,) (S (PP (IN as) (NP (PRP he))) (, ,) (NP (PRP he)) (VP (VBD came))) (, ,))))"
[216],(ROOT (S (NP (PRP he)) (VP (HVS 's) (VP (VBN been) (VP (VBG talking) (PP (IN to) (NP (PRP them))))))))
[212],"(ROOT (S (NP (PRP he)) (VP (MD will) (VP (VB enjoy) (NP (NP (NNP Williams)) (SBAR (S (S (NP (PRP I)) (VP (VBP think))) (CC and) (S (NP (XX MUMBLEx)) (VP (VBZ is) (NP (DT a) (JJ good) (NN academic))))))))) (, ,)))"
"[217, 219]","(ROOT (S (CC and) (, ,) (NP (CC and)) (ADVP (PRP he)) (VP (VBD came) (ADVP (RB down)))))"
[220],"(ROOT (S (NP (NP (QP (CC and) (CD one))) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD said))))))) (VP (VBZ is) (, ,) (SBAR (S (NP (PRP he)) (VP (VBD went) (PP (IN to) (NP (NNP Pennsylvania))) (NP (DT this) (NN weekend))))))))"
[218],X
[221],(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VBD had) (NP (DT an) (ADJP (RB absolutely) (JJ marvelous)) (NN time))))))
[223],(ROOT (S (NP (PRP he)) (VP (VBD had) (NP (DT a) (JJ great) (NN time)))))
[222],(ROOT (INTJ (UH Uh-huh) (. .)))
[225],(ROOT (S (NP (DT That)) (VP (MD could) (ADVP (RB very) (RB well)) (VP (VB be)))))
[224],"(ROOT (S (CC but) (ADVP (RB then)) (PRN (S (NP (PRP he)) (VP (VBD said))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP it)) (VP (VBD was) (NP (PDT such) (DT a) (JJ good) (NN time)) (SBAR (IN that) (S (NP (PRP I)) (VP (ADVP (RB almost)) (VBD got) (NP (DT the) (NN feeling)) (SBAR (IN that) (S (NP (PRP$ their) (NN emphasis)) (VP (VBZ is) (PP (IN on) (S (VP (VBG having) (NP (NN fun)))))))))))) (. .)))"
[227],"(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (PRP it)) (ADVP (RB almost)) (VP (VBD back))))) (, ,))))"
"[226, 229]","(ROOT (S (CC and) (, ,) (RB So) (NP (PRP he)) (VP (BES 's) (VP (VBG developing) (NP (NP (PRP$ his)) (, ,) (NP (PRP$ his)))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (NP (JJ internal) (NNS instincts)) (RB right)) (NP (RB now)))) (. .)))"
[228],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD backfired))))) (. .)))
"[230, 232]","(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ good)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (VP (VBD was) (ADJP (JJ true))))))))))))))) (, ,) (ADVP (IN that)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP you)))) (, ,)))"
[233],"(ROOT (UCP (FRAG (INTJ (UH well))) (UH actually) (SBAR (WHNP (DT that)) (S (S (VP (BES 's) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS reasons)))))) (PRN (S (NP (PRP I)) (VP (VBD went) (PP (IN to) (NP (XX MUMBLEx))))) (, ,))))))"
[234],"(ROOT (S (NP (NNP Kenyon)) (, ,) (PRN (S (NP (PRP he)) (VP (XX we-)))) (, ,) (NP (PRP he)) (VP (VBD made) (NP (DT a) (JJ good) (NN choice))) (. .)))"
[235],"(ROOT (S (NP (PRP I)) (VP (VBD went)) (, ,)))"
[236],"(ROOT (SBAR (WHNP (NP (PRP I)) (PRN (, ,) (INTJ (UH well)) (XX MUMBLEx))) (S (NP (PRP I)) (VP (VBD was) (VP (VBN supposed) (PP (TO to)) (, ,))))))"
[237],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBD spent) (NP (DT a) (NN year)) (PP (IN in) (NP (NP (NNP Vermont)) (, ,) (NP (PRP$ my) (NN freshman) (NN year)) (, ,))))))"
[238],"(ROOT (S (NP (PRP it)) (VP (VBD was) (ADVP (RB just)) (ADVP (RB too) (RB far) (RB away)) (, ,))))"
[231],(ROOT (FRAG (ADVP (RB So)) (. .)))
"[239, 241]","(ROOT (S (NP (PRP it)) (VP (VBD was) (NP (NP (RB too) (JJ different)) (FRAG (INTJ (UH uh)))) (, ,) (S (NP (NP (DT the) (NN level)) (PP (IN of) (NP (NN income))) (PP (IN of) (NP (NN lot))) (PP (IN of) (NP (DT the) (NNS students))))))))"
[240],(ROOT (INTJ (UH Uh-huh) (. .)))
[243],"(ROOT (INTJ (UH Yeah) (, ,)))"
[244],(ROOT (INTJ (UH yeah) (. .)))
"[242, 245]","(ROOT (S (CC and) (NP (NP (PRP$ their) (NNS attitudes)) (SBAR (S (VP (VBD was) (ADVP (RB just)))))) (, ,) (INTJ (UH um)) (, ,) (PP (IN beyond) (NP (PRP$ my))) (, ,) (INTJ (UH um)) (, ,) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NNS drugs))))) (, ,) (NP (NP (FW et) (FW cetera)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBD thought))))) (VP (VBD was) (ADJP (JJ shocking))) (. .)))"
[247],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[248],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
[249],(ROOT (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ right)))))
[246],"(ROOT (S (PP (IN Of) (NP (NN course))) (, ,) (NP (DT that) (NN period)) (ADVP (RB too)) (VP (VBD was) (ADVP (RB probably)) (ADJP (JJ difficult))) (. .)))"
[251],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBD did) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
[250],"(ROOT (S (CC but) (ADVP (RB then)) (ADVP (PRP I)) (VP (VBD went)) (, ,)))"
"[252, 254]","(ROOT (S (NP (NP (NP (PRP$ my) (NN advice)) (PP (IN to) (NP (PRP him)))) (, ,) (CC and) (NP (PRP$ my) (NN hus-)) (, ,)) (VP (VBD was) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP he)) (VP (VBD had) (S (VP (TO to) (VP (ADVP (RB really)) (VB decide) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD wanted) (PRT (IN out)) (PP (IN of) (NP (NN college))))))))))))) (. .)))"
[255],(ROOT (S (NP (PRP He)) (VP (VBD had) (S (VP (TO to) (VP (VB look) (PP (IN at) (NP (PRP himself))))))) (. .)))
[256],"(ROOT (NP (S (S (FRAG (INTJ (UH Uh)) (, ,) (PP (IN in) (NP (DT a) (JJR larger) (NN school)))) (NP (PRP he)) (VP (VBD had) (S (VP (TO to) (VP (VB realize) (SBAR (IN that) (IN if) (S (NP (PRP he)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB screw) (PRT (RP around)) (NP (PRP it)))))))))))))) (, ,) (NP (PRP he)) (VP (MD could) (ADVP (RB probably)) (VP (VB slip))))))"
[253],(ROOT (INTJ (UH Yeah) (. .)))
[258],(ROOT (INTJ (UH Uh-huh) (. .)))
"[257, 259]","(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (MD would) (RB n't) (VP (VB be) (VP (VBN caught) (PRT (RP up)) (SBAR (IN until) (S (NP (PRP it)) (VP (VBD was) (ADJP (RB too) (JJ late)) (SBAR (WHADVP (WRB where)) (S (PP (IN in) (NP (NP (DT a) (JJR smaller) (NN school)) (FRAG (WHADVP (WRB where))))) (, ,) (PP (RB especially) (IN in) (NP (NP (DT a) (NNP Kenyon)) (CC or) (NP (DT a) (NNP Williams)))) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP see) (NP (NP (DT the) (NNS professors)) (PP (IN around) (NP (NN town)))) (NP (PDT all) (DT the) (NN time))))) (, ,) (S (NP (PRP you)) (VP (VBP skip) (NP (NP (NN class)) (PP (IN in) (NP (DT the) (NN morning)))))) (CC and) (S (NP (PRP they)) (VP (VBP see) (NP (PRP you)))))))))))) (, ,))))"
[261],"(ROOT (S (NP (DT That)) (VP (BES 's)) (, ,)))"
[262],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
"[260, 264]",(ROOT (S (CC And) (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB get) (NP (NP (QP (DT a) (JJ little) (NN bit) (JJR more)) (NN input)) (PP (IN than) (NP (NN discipline)))))))))))
[263],(ROOT (INTJ (UH yeah) (. .)))
[266],"(ROOT (S (CC And) (NP (DT a) (NN swim) (NN coach)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (RB right)) (PP (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (PRP you))))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (IN so) (FRAG (WHADVP (IN that)))))) (, ,))))))"
[265],(ROOT (INTJ (UH yeah) (. .)))
[268],(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (ADVP (PRP I)) (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB put) (ADVP (DT this) (CC either)) (PP (IN in)))))))) (NP (DT this) (NN way))))
[269],(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB sound) (SBAR (IN like) (S (NP (PRP$ your) (NNS sons)) (VP (MD would) (VP (VB need) (NP (DT this)))))))))))))
[267],"(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (MD will) (VP (VB know) (NP (DT the) (NNS professors)) (PP (IN in) (NP (DT a) (JJ small))))) (, ,))))"
[271],(ROOT (INTJ (UH Uh-huh) (. .)))
[273],"(ROOT (INTJ (UH Yeah) (, ,)))"
[274],(ROOT (INTJ (UH yeah) (. .)))
[276],"(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (, ,)))"
"[270, 272, 275, 278]","(ROOT (S (CC but) (NP (PRP I)) (ADVP (RB just)) (VP (VBP think) (SBAR (S (NP (DT the) (JJ other) (NN thing)) (VP (VBZ is) (PP (IN with) (NP (NP (DT the) (NN way)) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the) (NN youth)))) (VP (VBZ is) (ADVP (RB today)) (, ,) (SBAR (SBAR (S (NP (PRP I)) (VP (VBP think) (NP (NP (NP (DT the) (NN refinement)) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBP get) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB mean) (ADVP (RB specifically)))))))))) (XX MUMBLEx) (CC or) (NP (NN culture)))))) (CC but) (SBAR (WHADJP (RB just) (WP what)) (S (NP (PRP you)) (VP (VBP 're) (VP (VBG saying) (, ,) (ADVP (RB just)) (SBAR (NP (DT a) (JJ solid) (NN background)) (IN because) (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP do) (RB n't) (VP (VB think) (PP (IN at) (NP (NP (DT that) (NN age)) (SBAR (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP (JJ young) (NNS people)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP want) (S (VP (TO to) (VP (VB do))))))))))))))))))))))) (. .)))))) (SBAR (S (NP (PRP You)) (VP (VBP know))))))))))))"
[277],(ROOT (S (NP (DT that)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[279],"(ROOT (S (VP (CC and) (PRN (, ,) (INTJ (UH um)) (, ,)))))"
[280],"(ROOT (S (CC And) (, ,) (INTJ (UH um)) (, ,) (NP (CC and)) (ADVP (PRP it)) (VP (BES 's) (NP (NP (RB just) (DT the) (JJ personal) (NN contact)) (FRAG (WHADVP (WRB where)))) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP need) (NP (NN help))))))))"
[282],"(ROOT (S (NP (PRP he)) (VP (VBD had)) (, ,)))"
[283],(ROOT (S (NP (PRP I)) (VP (VBD told) (S (NP (PRP him)) (VP (TO to) (VP (VB look) (PP (IN to) (NP (PRP yourself))))))) (. .)))
[281],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[285],(ROOT (S (INTJ (UH Right)) (VP (XX MUMBLEx)) (. .)))
"[284, 286]",(ROOT (SINV (VP (VBP Are) (NP (PRP you))) (NP (NP (DT the) (NN kind)) (PP (IN of) (NP (NN person))) (SBAR (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB go) (PP (IN into) (NP (DT a) (JJ large) (NN college))))))) (CC and) (SBAR (IN if) (S (NP (DT the) (NN professor)) (VP (VBZ says) (SBAR (S (S (NP (PRP I)) (VP (VBP 've) (VP (VBN got) (NP (NN office) (NNS hours))))) (CC but) (S (NP (PRP you)) (ADVP (RB really)) (VP (VBP do) (RB n't) (VP (VB feel) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP know) (NP (PRP him)) (SBAR (IN because) (S (NP (PRP you)) (VP (VBP 're) (PP (IN in) (NP (NP (DT a) (NN class)) (PP (IN of) (NP (DT a) (CD hundred))))) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 're) (ADVP (RB really)) (VP (VBG going) (S (VP (TO to) (VP (VB look) (NP (PRP him)) (PRT (RP up)))))))))))))))))))))))))))
[287],(ROOT (INTJ (UH Yeah) (. .)))
[289],"(ROOT (S (NP (DT This)) (VP (VBZ is) (ADVP (RB very)) (, ,) (ADVP (RB very))) (, ,)))"
"[288, 290]","(ROOT (S (CC but) (SBAR (IN if) (S (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT a) (NN class)) (PP (IN of) (NP (CD fifteen)))))) (CC and) (S (NP (PRP you)) (VP (VBP need) (NP (NN help)))))) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (IN that) (S (S (NP (PRP it)) (VP (BES 's) (ADJP (RB much) (JJR easier)) (S (VP (TO to) (VP (VB do) (NP (PRP it))))))) (CC and) (S (ADVP (RB especially)) (PP (IN in) (NP (DT the) (JJ large) (NNS schools))) (NP (PRP they)) (VP (VBP have) (NP (NNS lectures)))))))))"
[291],(ROOT (INTJ (UH Oh) (. .)))
[293],(ROOT (S (NP (PRP They)) (VP (VBP have) (NP (NN video) (NNS lectures))) (. .)))
[295],(ROOT (INTJ (UH Yeah) (. .)))
"[292, 294]",(ROOT (S (CC and) (SBAR (RB even) (IN though) (S (NP (PRP they)) (VP (MD may) (VP (VB break) (NP (PRP it)) (PRT (RP up)) (PP (IN into) (NP (JJR smaller) (NNS groups))))))) (NP (NNP Penn)) (VP (VBZ is) (VP (VBN known) (PP (IN for) (S (VP (VBG having) (NP (NN graduate) (NN assistance) (NN teaching))))))) (. .)))
[296],(ROOT (NP (NN Video) (NNS lectures) (. .)))
[298],"(ROOT (S (NP (DT This)) (VP (VBZ is) (ADJP (JJ true))) (, ,)))"
[299],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT that)) (VP (VBZ is) (ADJP (RB very) (JJ ironic)) (ADVP (RB too)) (SBAR (IN that) (S (NP (PRP$ your) (NN son)) (ADVP (RB just)) (VP (VBD made) (NP (DT the))))))))) (, ,))))"
[297],(ROOT (S (NP (PRP They)) (VP (VBP have) (S (NP (NN graduate) (NNS assistants)) (VP (TO to) (VP (VB teach) (NP (DT the) (JJR smaller) (NNS groups)))))) (. .)))
[300],(ROOT (SQ (VBD did) (NP (PRP he)) (VP (ADVP (RB just)) (VB make) (NP (DT the) (NN decision)) (ADVP (RB today))) (. ?)))
[301],"(ROOT (S (SBAR (XX MUMBLEx) (S (NP (PRP he)) (VP (VBD made) (NP (DT the) (NN decision))))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (MD 'd) (VP (VP (VB say) (, ,) (ADVP (RB about))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (ADVP (NP (DT an) (NN hour) (QP (CC and) (DT a) (NN half))) (RB ago))))) (. .)))"
[303],"(ROOT (INTJ (UH Yeah) (, ,)))"
[304],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (SBAR (X (ADVP (NP (DT that) (BES 's)) (RB so)) (NP (JJ funny)) (. .)) (S (NP (PRP I)) (VP (VBP mean)))) (, ,)))))"
[302],(ROOT (FRAG (ADJP (WHADVP (WRB How)) (JJ funny)) (. .)))
[305],"(ROOT (S (CC and) (, ,) (ADVP (CC and)) (, ,) (PP (IN in) (NP (NN fact))) (, ,) (NP (PRP he)) (VP (VBD had) (S (ADVP (RB just)) (PP (NP (DT an) (NN hour)) (IN before) (NP (DT that) (CD two))) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (JJ recent) (NNS graduates)) (PP (IN from) (NP (NNP Kenyon)))) (VP (VBD spent) (ADVP (RB close) (PP (IN to) (NP (NP (CD two) (NNS hours)) (VP (VBG talking) (PP (IN with) (NP (PRP him))))))))))))"
[307],"(ROOT (FRAG (S (ADVP (CC and)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP mean)) (, ,)) (CC and) (S (S (NP (PRP he))) (, ,) (NP (PRP they)) (VP (VBD were) (ADJP (RB really) (JJ nice))) (, ,)))))"
[308],"(ROOT (NP (S (S (CC and) (, ,) (CC but) (NP (PRP he)) (VP (VBD said) (SBAR (S (VP (VBZ is)))))) (, ,) (X (IN that)) (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB tell) (NP (PRP him)) (NP (NP (NN anything)) (SBAR (WHNP (WDT that)) (S (NP (PRP he)) (VP (VBD did) (RB n't) (VP (VB know))) (, ,)))))))))"
[306],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ funny))) (. .)))
[310],(ROOT (S (NP (PRP It)) (VP (VBD was) (ADJP (JJ easy) (PP (IN for) (NP (PRP him)))) (S (VP (TO to) (VP (VB rule) (PRT (RP out)))))) (. .)))
[309],(ROOT (S (CC but) (NP (PRP they)) (VP (VBD helped) (VP (VB confirm) (NP (PRP$ his) (NN decision)) (SBAR (IN that) (S (NP (DT a) (JJR smaller) (NN school)) (VP (VBD was) (ADJP (JJR better))))))) (. .)))
[312],"(ROOT (INTJ (UH Yeah) (, ,)))"
[311],(ROOT (S (NP (PRP He)) (VP (VBD knew) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD did) (RB n't) (VP (VB want))))))))
[314],"(ROOT (NP (NP (DT that)) (PRN (BES 's) (ADVP (RB exactly)) (, ,))))"
[315],(ROOT (INTJ (UH yeah) (. .)))
[316],"(ROOT (S (NP (RB Now)) (VP (VBZ is) (NP (PRP$ your) (JJ other))) (, ,)))"
[317],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP we)) (VP (VBP 're) (VP (VBG talking) (PP (IN about) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP think)))))))))) (, ,)))"
[313],(ROOT (INTJ (UH yeah) (. .)))
[318],"(ROOT (PRN (S (NP (CC but)) (ADJP (RB obviously) (SBAR (S (NP (PRP you)) (VP (VBP 're) (VP (VBG experiencing) (NP (PRP it))))) (. .) (UH Uh)))) (, ,)))"
[319],(ROOT (S (VP (XX MUMBLEx)) (. .)))
[320],"(ROOT (FRAG (S (VP (VBD Did) (NP (PRP$ your) (JJ other) (NN son)) (PRN (, ,) (INTJ (UH um)) (, ,))))))"
[321],(ROOT (S (NP (PRP$ My) (JJ other) (NN son)) (VP (VBZ is) (ADVP (RB just)) (ADJP (RB as) (JJ happy) (PP (IN as) (NP (DT a) (NN bed) (NN bug))))) (. .)))
[323],"(ROOT (S (NP (PRP He)) (VP (, ,))))"
[324],"(ROOT (S (NP (NP (DT the) (NN moment)) (SBAR (S (NP (PRP he)) (VP (VBD knew))))) (, ,) (NP (PRP he)) (, ,) (NP (PRP he)) (VP (VBD decided) (ADVP (RB early) (RP on)) (SBAR (IN that) (S (NP (NNP Amherst)) (VP (VBD was) (NP (DT the) (NN school)))))) (. .)))"
[322],(ROOT (NP (DT A) (NN clam) (. .)))
[325],(ROOT (S (NP (PRP He)) (VP (BES 's) (NP (DT a) (JJ classical) (NN guitarist)))))
[326],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (ADVP (JJ wonderful)) (. .)))"
"[327, 329]","(ROOT (S (S (CC and) (NP (PRP he)) (VP (VBD decided))) (, ,) (NP (PRP he)) (ADVP (RB also)) (VP (VBD got) (PP (IN into) (NP (NP (DT the) (NN graduate) (NN school)) (PP (IN of) (NP (NN music))))) (PP (IN as) (NP (NP (DT an) (NN undergraduate)) (PP (IN for) (NP (JJ classical) (NN guitar)))))) (, ,)))"
[328],(ROOT (INTJ (UH Uh-huh) (. .)))
[331],"(ROOT (FRAG (NP (NP (DT The)) (NP (NP (JJR smaller)) (CC and) (NP (DT the)) (, ,)))))"
[333],"(ROOT (S (CC And) (NP (PRP they)) (VP (MD 'll) (VP (VB do) (ADVP (RB fine)) (PP (IN in) (NP (PRP$ their) (NNS studies)) (, ,))))))"
"[330, 332]","(ROOT (S (CC but) (NP (PRP he)) (VP (VBD decided) (SBAR (S (NP (PRP he)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (DT the))) (, ,) (NP (INTJ (UH um)) (NP (DT the) (JJR smaller)))))) (ADVP (RB now)) (, ,) (FRAG (CC and) (RB then) (NP (NN graduate) (NN school))))))) (ADVP (RB later))) (. .)))"
[336],"(ROOT (FRAG (FRAG (INTJ (UH Well)) (, ,) (NP (PRP he))) (BES 's) (FRAG (ADJP (RB really)) (, ,) (NP (NP (PRP$ my) (JJR older) (NN boy)) (ADJP (BES 's) (RB real) (JJ happy) (, ,))))))"
[337],"(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (BES 's) (VP (VBG minoring) (PP (IN in) (NP (NNP English))))) (, ,))))"
[338],"(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VBD had) (VP (VBN thought) (PP (IN about) (NP (NNS economics))))) (, ,))))"
[334],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (S (NP (PRP they)) (VP (MD 'll) (VP (VB go) (PRT (RB on)) (PP (IN to) (NP (NN graduate) (NN school))))))))) (, ,))))"
