[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[182],"(ROOT (S (S (CC and) (NP (PRP they)) (VP (VBP do) (RB n't))) (, ,) (NP (PRP they)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP she)) (VP (VBZ works)))) (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (NN anything)) (PP (IN like) (NP (DT that)))))) (. .)))"
[184],(ROOT (SQ (VBZ Is) (NP (DT that)) (ADVP (RB locally)) (. ?)))
[185],"(ROOT (FRAG (INTJ (UH Uh)) (, ,) (NP (NNP Pittsburgh)) (. .)))"
[186],(ROOT (INTJ (UH Uh-huh) (. .)))
[188],(ROOT (INTJ (UH Yeah)))
[187],"(ROOT (NP (NP (NNP Pittsburgh)) (, ,) (NP (NNP Pennsylvania)) (. .)))"
[189],"(ROOT (FRAG (SBAR (IN because) (S (NP (NNP Pittsburgh)) (VP (BES 's) (NP (DT a) (JJ big) (JJ enough) (NN city))))) (, ,) (ADVP (RB too)) (. .)))"
[190],(ROOT (INTJ (UH Uh-huh) (. .)))
[192],(ROOT (INTJ (UH Uh-huh) (. .)))
"[191, 193, 195]","(ROOT (S (S (CC But) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP I)) (VP (MD would) (RB n't) (VP (VB be) (ADJP (JJ surprised) (SBAR (IN if) (S (NP (NP (NN thing) (POS 's)) (PP (IN like) (NP (DT that)))) (VP (VBD did) (RB n't) (VP (VB happen) (NP (JJR more)) (PP (IN in) (NP (JJR smaller) (NNS communities))) (SBAR (IN before) (S (NP (PRP they)) (VP (VBP happen) (PP (IN in) (NP (JJR bigger) (NNS ones))))))))) (. .))) (SBAR (RB Just) (IN because) (S (NP (NNS people)) (VP (MD might) (VP (VB be) (ADJP (RBR more) (JJ flexible) (PP (IN in) (NP (NP (JJR smaller) (NNS locations) (CC and) (NNS things)) (PP (IN like) (NP (DT that)))))))))))) (. .)))"
[194],"(ROOT (INTJ (UH Yeah) (, ,)))"
[196],(ROOT (S (PP (IN Because) (NP (JJ many) (NNS times))) (NP (JJ small) (NNS companies)) (VP (VBP offer) (NP (JJR better) (NNS benefits)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NP (NN quality)) (PP (IN of) (NP (NP (NN life)) (PP (IN than) (NP (JJR larger) (NNS companies)))))))))) (. .)))
[197],(ROOT (INTJ (UH Uh-huh) (. .)))
[199],(ROOT (INTJ (UH Uh-huh) (. .)))
"[198, 200]","(ROOT (S (PP (IN Like) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NP (CD one) (NN company)) (VP (VBD had) (VP (VP (VBN proposed) (PP (IN to) (NP (PRP me))) (SBAR (IN that) (S (NP (PRP I)) (VP (MD could) (VP (VB come) (PP (ADVP (RB back) (PP (IN to) (NP (NN work)))) (IN after) (S (VP (VP (VBG having) (NP (DT the) (NN baby))) (PRN (, ,) (INTJ (UH um)) (, ,))) (NP (DT any)))) (SBAR (WHADVP (WRB where) (PP (IN between) (NP (NP (CD ten) (CC and) (CD forty) (NNS hours)) (NP (DT a) (NN week))) (. .))) (S (NP (CC And)))))))) (, ,) (S (INTJ (UH um)) (, ,) (VP (VB call) (NP (PRP$ my) (JJ own) (NNS days))))) (PRN (, ,) (S (VP (VB call) (NP (PRP$ my) (JJ own) (NNS hours)))) (, ,))))))"
[201],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (RB so)) (ADVP (PRP they)) (VP (VBD were) (ADJP (RB very) (JJ flexible)))))"
[203],"(ROOT (PRN (CC and) (S (NP (DT that)) (, ,) (NP (DT that)) (VP (MD would) (VP (VB be) (ADJP (JJ great)))) (, ,))))"
[202],"(ROOT (INTJ (UH Yeah) (, ,)))"
[205],(ROOT (PP (CC and) (NP (WDT which))))
[204],(ROOT (INTJ (UH yeah) (. .)))
[207],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[208],(ROOT (INTJ (UH uh-huh) (. .)))
"[206, 209]",(ROOT (NP (NP (QP (JJ many) (NNS times))) (PP (IN at) (NP (NP (DT a) (JJ large) (NN company)) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (RB almost) (JJ impossible)) (S (VP (TO to) (VP (VB do) (NP (NNS things)) (PP (IN like) (NP (DT that))))))))))) (. .)))
[210],"(ROOT (S (S (NP (PRP They)) (VP (VBP say) (SBAR (S (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB do) (NP (NP (NP (PRP it)) (NP (DT this) (NN way))) (, ,) (CC and) (NP (NP (DT that) (BES 's)) (NP (DT the) (NN way))))))))))))) (NP (PRP it)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB be)))))) (. .)))"
[211],(ROOT (INTJ (UH Right) (. .)))
[212],(ROOT (INTJ (UH Yeah) (. .)))
[214],(ROOT (INTJ (UH Uh-huh) (. .)))
[216],"(ROOT (INTJ (UH Yeah) (, ,)))"
[217],"(ROOT (FRAG (PP (UH yeah)) (, ,)))"
"[213, 215]","(ROOT (S (CC And) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP get) (NP (CD two) (NNS weeks)) (PRT (RP off))))) (, ,) (S (NP (PRP you)) (VP (VBP get) (NP (CD two) (NNS weeks)) (PRT (RP off)))) (CC and) (S (NP (PRP you)) (VP (VBP 're) (RB not) (VP (VBN allowed) (NP (NP (CD two) (NNS weeks)) (CC and) (NP (CD one) (NN day)))))) (. .)))"
[218],(ROOT (INTJ (UH yeah) (. .)))
[220],"(ROOT (FRAG (PP (JJ True)) (, ,)))"
[219],"(ROOT (S (RB So) (NP (PRP it)) (VP (ADVP (DT all)) (VBZ depends) (PP (IN on) (SBAR (WHNP (WP what)) (S (NP (PRP$ your) (NN position)) (VP (VBZ is) (ADVP (RB there)) (, ,) (ADVP (RB too))))))) (. .)))"
[221],"(ROOT (S (S (INTJ (UH well)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ true) (PP (IN in) (NP (NP (DT any)) (, ,) (NP (DT any) (NN company))))))) (, ,) (NP (PRP I)) (VP (VBP think)) (. .)))"
[223],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (, ,) (S (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)))) (, ,) (S (INTJ (UH well)) (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB say) (NP (PRP I)) (VP (VB 've) (S (ADVP (RB never))))))) (, ,)))))"
[222],(ROOT (INTJ (UH Yeah) (. .)))
[225],(ROOT (INTJ (UH Uh-huh) (. .)))
"[224, 226]","(ROOT (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB maybe)) (VP (VBN worked) (PP (ADVP (NP (CD five) (NNS years)) (IN out)) (IN of) (NP (PRP$ our) (JJ married) (NN life))) (PP (IN out) (PP (IN of) (NP (DT the) (XX ho-)))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (PP (IN out) (PP (IN of) (NP (DT the) (NN home))))))))"
[227],(ROOT (INTJ (UH Uh-huh) (. .)))
[229],"(ROOT (SINV (VP (VBD Was)) (NP (DT that)) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBD were) (PRN (, ,) (INTJ (UH um) (, ,) (UH well)) (, ,)))))))"
[230],"(ROOT (S (NP (DT those)) (VP (VBP have) (NP (PRP$ its) (NNS pluses) (CC and) (NNS minuses)) (, ,) (ADVP (RB too))) (. .)))"
[228],"(ROOT (S (CC but) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN time) (PRP I)))) (VP (VBP 've) (VP (VBN been) (NP (NP (DT an) (NNP Avon) (NN lady)) (CC and) (NP (DT a) (XX MUMBLEx) (NN lady)))))) (. .)))"
"[231, 233]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (NP (NP (DT a) (NN consultant)) (ADVP (RB recently) (CC and) (RB so)) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT any) (NNS benefits)) (ADVP (IN at) (DT all)))))))))))
[232],(ROOT (INTJ (UH Uh-huh) (. .)))
[235],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[236],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB take) (NP (NP (NN care)) (PP (IN of) (NP (NP (DT any) (NNS benefits)) (SBAR (S (NP (PRP you)) (VP (VBP want) (NP (PRP yourself)))))))))))) (, ,))))"
[234],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[238],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[239],(ROOT (FRAG (CC and) (NP (DT the) (ADJP (JJ same)) (NN thing))))
[237],(ROOT (INTJ (UH yeah) (. .)))
[240],(ROOT (S (NP (PRP$ my) (NN husband)) (VP (VBZ is) (ADVP (RB unfortunately)) (VP (VBG being) (VP (VBN paid) (PP (IN as) (NP (DT a) (NN consultant))))))))
[241],(ROOT (INTJ (UH Uh-huh) (. .)))
"[242, 244]",(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBD tried) (S (VP (TO to) (VP (VB argue) (SBAR (IN that) (S (NP (PRP he)) (VP (MD should) (VP (VB get) (NP (JJR more) (NN salary)) (PP (IN for) (NP (NP (DT that)) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBZ is))))))))))))))))))
[243],(ROOT (INTJ (UH Uh-huh) (. .)))
[245],"(ROOT (PRN (CC and) (, ,) (ADVP (UH um)) (, ,) (NP (NP (PRP they)) (, ,) (NP (NP (PRP they)) (PRN (, ,) (NP (PRP they)) (, ,))))))"
[247],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[246],(ROOT (S (ADVP (RB Usually)) (NP (NNS consultants)) (VP (VBP make) (NP (ADJP (RB very) (JJ good)) (NN income))) (. .)))
[248],"(ROOT (S (CC and) (NP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP refuse) (S (VP (TO to) (VP (VB give) (NP (PRP him)) (NP (JJR more) (NN salary)))))) (. .)))"
[249],(ROOT (SQ (VBZ Is) (NP (DT that)) (ADJP (JJ right)) (. ?)))
[251],(ROOT (INTJ (UH Oh) (. .)))
"[250, 252]","(ROOT (SBAR (IN Because) (S (NP (PRP they)) (VP (VBP say) (SBAR (S (S (NP (PRP they)) (VP (MD ca) (RB n't) (VP (VB pay) (NP (JJR more)) (PP (IN than) (NP (NP (DT this)) (CC and) (NP (DT that))))))) (, ,) (CC and) (S (NP (PRP they)) (VP (VBP 're) (RB not) (VP (VBN allowed) (S (VP (TO to) (VP (VB pay) (S (NP (PRP him)) (ADJP (JJR more) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (PRP$ his) (JJ previous) (NN salary)) (VP (VP (VBD was)) (CC and) (VP (NP (NNS things)) (PP (IN like) (NP (DT that))))))))))))))))))))))"
[254],"(ROOT (PRN (CC and) (S (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (SBAR (S (NP (NNS times)) (VP (VBP are) (ADJP (JJ rough)) (ADVP (RB now)))))) (, ,))))"
[255],"(ROOT (FRAG (S (ADJP (ADJP (RB so) (NP (PRP it)) (BES 's)) (, ,) (ADJP (JJ new)) (, ,)))))"
[253],(ROOT (INTJ (UH Uh-huh) (. .)))
[257],(ROOT (INTJ (UH Uh-huh) (. .)))
"[256, 258]","(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (JJR harder)) (S (VP (TO to) (VP (VB get) (S (NP (DT the)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (NNS increases) (CC and) (NNS things))))))))"
[259],(ROOT (INTJ (UH Uh-huh) (. .)))
[260],"(ROOT (S (VP (CC but) (PRN (, ,) (INTJ (UH um)) (, ,)))))"
[262],"(ROOT (INTJ (UH Yeah) (, ,)))"
[261],"(ROOT (S (NP (NP (DT A) (XX MUMBLEx) (NN consultant)) (ADVP (RB really))) (VP (VBZ is) (, ,) (SBAR (S (VP (MD should) (VP (VB be) (ADJP (ADJP (RBR more) (JJ knowledgeable)) (PP (IN than) (NP (NN everybody) (RB else))) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know))))))))))))"
[263],"(ROOT (PRN (UH well) (S (NP (PRP he)) (VP (BES 's))) (, ,)))"
[265],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[266],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP he)) (VP (HVS 's) (VP (VBN been) (VP (VBG doing) (NP (DT a) (JJ long) (NN term))))) (, ,)))"
[267],"(ROOT (S (NP (PRP he)) (VP (BES 's) (VP (VBG being) (VP (VBN called) (NP (DT a) (NN consultant))))) (, ,)))"
[264],"(ROOT (S (SBAR (RB so) (S (NP (PRP it)) (VP (VBZ stands) (S (VP (TO to) (VP (VB reason))))))) (PRN (S (NP (PRP they)) (VP (MD should) (ADVP (RB really)) (VP (VBP ha)))) (, ,)) (VP (VBP have) (NP (JJR more) (NNS benefits))) (. .)))"
[269],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[268],(ROOT (S (CC and) (NP (PRP he)) (VP (BES 's) (ADVP (RB really)) (ADVP (RB sort) (RB of)) (NP (NP (DT a) (JJ temporary) (NN employee)) (PP (IN at) (NP (DT a) (NN place))))) (. .)))
[271],"(ROOT (S (CC And) (, ,) (ADVP (PRP they)) (, ,) (NP (PRP they)) (VP (VBP pay) (NP (PRP him)) (PP (IN as) (NP (DT a) (NN consultant))) (SBAR (CC but) (S (NP (PRP he)) (VP (VBZ does) (RB n't) (VP (VB get) (NP (DT any) (NN health) (NNS benefits)))) (, ,))))))"
[270],(ROOT (INTJ (UH uh-huh) (. .)))
[272],"(ROOT (S (NP (PRP he)) (VP (VBZ does) (PRN (S (NP (RB n't)) (VP (VB get))) (, ,)) (NP (UH well)))))"
[274],(ROOT (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB care) (PP (IN about) (NP (NN retirement) (NNS benefits))))) (. .)))
[275],"(ROOT (S (NP (PRP He)) (VP (VBZ does) (RB n't) (VP (VB get) (, ,) (INTJ (UH um)) (, ,) (NP (NN vacation) (NNS benefits))))))"
[273],(ROOT (INTJ (UH Um) (. .)))
[277],(ROOT (INTJ (UH Uh-huh) (. .)))
"[276, 278]",(ROOT (S (CC and) (NP (PRP he)) (VP (VBZ does) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP get) (VP (VBN factored) (PP (IN into) (NP (NP (NN somebody) (RB else) (POS 's)) (NN salary))))))))))) (. .)))
[279],(ROOT (INTJ (UH Uh-huh) (. .)))
[281],(ROOT (INTJ (UH Uh-huh) (. .)))
[283],(ROOT (INTJ (UH Yeah) (. .)))
[285],(ROOT (INTJ (UH Uh-huh) (. .)))
[287],"(ROOT (INTJ (UH Yeah) (, ,)))"
