[0],(ROOT (INTJ (UH Hi)))
"[209, 211]","(ROOT (S (S (NP (PRP I)) (VP (MD might))) (, ,) (NP (PRP I)) (VP (MD might) (VP (VB like) (S (VP (TO to) (VP (VB be) (ADJP (PRN (, ,) (INTJ (UH uh)) (, ,)) (JJ coherent)) (ADVP (RB enough)) (S (VP (TO to) (VP (VB make) (NP (PRP$ my) (JJ own) (NN choice)))))))))) (. .)))"
[213],(ROOT (INTJ (UH uh-huh) (. .)))
[215],(ROOT (S (NP (DT This)) (VP (VBZ is)) (XX MUMBLEx)))
[216],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
"[214, 217]","(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (MD would) (RB not) (ADVP (RB particularly)) (VP (VB think) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB want) (NP (PRP$ my) (NNS kids)) (S (VP (TO to) (VP (VB say) (, ,) (`` ``) (S (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT this)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP need) (PP (IN for) (NP (NNP Mom)))))))))) ('' ''))))))))))) (, ,)) (CC and) (, ,) (S (ADVP (RB then)) (VP (VB dump) (NP (PRP me)) (ADVP (RB there)))) (. .)))"
[218],X
[219],"(ROOT (S (CC But) (, ,) (ADVP (PRP I)) (VP (MD would) (VP (VB like))) (, ,)))"
[221],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (. .)))
[222],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[223],(ROOT (INTJ (UH uh-huh) (. .)))
[220],(ROOT (S (NP (EX There)) (VP (VBZ has) (S (VP (TO to) (VP (VB be) (NP (NP (NN consideration)) (VP (VBN taken) (PP (IN on) (NP (NN everything))))))))) (. .)))
[225],(ROOT (INTJ (UH Yeah) (. .)))
[227],"(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (, ,)))"
"[224, 226]","(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (MD would) (VP (VB shop) (PP (IN for) (NP (DT a) (NN nursing) (NN home))) (, ,) (SBAR (RB just) (IN like) (S (NP (PRP you)) (VP (MD would) (VP (VB shop) (PP (IN for) (NP (NP (DT a) (NN church)) (, ,) (CC or) (NP (DT a) (NN doctor)) (CC or) (NP (NN anything) (RB else))))))))))))) (. .)))"
[229],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[230],(ROOT (INTJ (UH sure) (. .)))
[232],(ROOT (INTJ (UH Uh-huh) (. .)))
"[228, 231]","(ROOT (SINV (S (NP (PRP you)) (VP (VP (MD would) (VP (VB look) (PP (IN into) (NP (PRP it))) (ADVP (RB thoroughly)))) (CC and) (, ,) (VP (VBP do)))) (, ,) (VP (VBP do)) (NP (NP (DT the) (JJS best) (NN job)) (SBAR (S (NP (PRP you)) (VP (MD could)))) (PP (IN in) (S (VP (VBG choosing) (NP (NN one)))))) (. .)))"
[234],(ROOT (INTJ (UH Uh-huh) (. .)))
[236],(ROOT (INTJ (UH No)))
[237],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP do) (RB not) (VP (VB have) (NP (DT the) (NN time) (S (VP (TO to) (VP (VB look))))))) (, ,))))"
"[233, 235]","(ROOT (S (SBAR (WHADVP (WRB When)) (S (NP (PRP you)) (VP (VBP get) (PP (IN to) (NP (DT the) (NN point))) (SBAR (WHADVP (WRB where)) (S (S (NP (PRP you)) (VP (VBP are) (PP (IN in) (NP (NN trouble))))) (, ,) (CC and) (S (NP (PRP you)) (VP (VBP have) (VP (VBN got) (S (VP (TO to) (VP (VB have) (S (NP (DT that)) (VP (VB help)))))))))))))) (, ,) (NP (PRP you)) (VP (VBP are) (PP (IN in) (NP (DT no) (NN position) (S (VP (TO to) (VP (VB make) (NP (DT those) (NNS choices)))))))) (. .)))"
[239],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (. .)))
"[238, 240]","(ROOT (S (NP (DT that)) (VP (VBZ is) (SBAR (WHNP (WP what)) (, ,) (S (NP (PRP I)) (VP (VBP am) (VP (VBG saying)))))) (, ,)))"
[241],(ROOT (INTJ (UH Uh-huh) (. .)))
[243],(ROOT (INTJ (UH Absolutely) (. .)))
[242],(ROOT (S (NP (JJS most) (NNS people)) (VP (MD will) (RB not) (ADVP (RB even)) (VP (VB look) (PP (IN at) (NP (DT that))) (SBAR (IN until) (S (NP (PRP it)) (VP (VBZ becomes) (NP (DT a) (NN necessity))))))) (. .)))
"[244, 246]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJS best) (NNS ways))) (S (VP (TO to) (VP (VB do) (NP (DT that)))))) (VP (VBZ is) (PP (IN for) (NP (NNS families))) (S (VP (TO to) (VP (VB realize) (SBAR (S (NP (PRP they)) (VP (VBP are) (VP (VBG going) (S (VP (VP (TO to) (VP (VB be) (VP (VBG needing) (NP (DT those) (NNS facilities)) (NP (CD one) (NN day))))) (, ,) (CC and) (VP (TO to) (ADVP (RB actually)) (VP (VP (VB get) (ADJP (JJ involved))) (CC and) (VP (VB participate) (PP (IN on) (NP (DT a) (NN community) (NN level))) (PP (IN with) (NP (NN community) (NN service))))))))))))))))))) (. .)))"
[245],(ROOT (INTJ (UH Uh-huh) (. .)))
[248],"(ROOT (S (SBAR (WHNP (WDT Whatever)) (S (NP (PRP$ their) (NNS talents)))) (, ,) (VP (UH yeah)) (. .)))"
[250],(ROOT (INTJ (UH Uh-huh) (. .)))
[252],"(ROOT (INTJ (UH Yeah) (, ,)))"
[253],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN cousin)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))"
[254],"(ROOT (S (NP (PRP she)) (VP (VBD had) (NP (NP (DT a) (NN son)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (ADJP (JJ epileptic) (PP (IN from) (NP (NN birth))))))))) (, ,)))"
"[247, 249, 251]","(ROOT (S (VP (VP (VB Go) (PRT (IN out)) (PP (IN to) (NP (DT the) (NN nursing) (NN home)))) (, ,) (VP (VB help) (S (VP (VB guide) (NP (NP (NP (DT some) (NN craft)) (NP (NNS programs)) (, ,) (ADVP (RB perhaps))) (, ,) (NP (NP (NN work)) (PP (IN on) (NP (DT some) (NN music)))))) (NP (NP (NNS programs)) (, ,) (SBAR (WHNP (WDT whatever)) (S (S (NP (PRP$ their) (NNS talents)) (VP (VBP are)) (. .)) (S (CC And) (VP (VB work) (PP (IN with)))))) (, ,)))) (NP (DT those) (JJ senior) (NNS citizens))) (. .)))"
"[255, 257]","(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VBD did) (ADVP (RB fine)) (, ,) (PP (IN at) (NP (NN home))) (, ,)))))"
[256],(ROOT (INTJ (UH Uh-huh) (. .)))
[258],"(ROOT (S (NP (PRP they)) (VP (VBD lived) (PP (IN on) (NP (DT a) (NN farm)))) (, ,)))"
[259],(ROOT (INTJ (UH Uh-huh) (. .)))
[261],(ROOT (INTJ (UH Uh-huh) (. .)))
[263],(ROOT (INTJ (UH Uh-huh) (. .)))
"[260, 262, 264]","(ROOT (S (CC but) (NP (PRP she)) (VP (VBD made) (NP (NNS arrangements)) (, ,) (SBAR (IN so) (IN that) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (VP (VBD was) (VP (VBN gone))))) (, ,) (NP (PRP she)) (VP (VBD did) (RB not) (VP (VB want) (NP (NP (NP (PRP$ her)) (, ,) (NP (PRP$ her) (NNS children))) (, ,) (NP (NP (PRP$ her) (JJ other) (NNS children)) (VP (VBN burdened) (PP (IN with) (NP (PRP$ his) (NN care))))))))))) (. .)))"
[265],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (. .)))
[266],"(ROOT (S (S (ADVP (RB So)) (NP (PRP he))) (, ,) (NP (PRP they)) (, ,) (NP (PRP she)) (VP (VBZ has) (VP (VBN made) (NP (NNS arrangements)) (SBAR (IN that) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP she)))) (, ,) (NP (PRP she)) (VP (VBD was) (VP (VBN gone) (, ,) (SBAR (IN that) (S (NP (PRP he)) (VP (MD would) (VP (VB go) (PP (IN into) (NP (DT the) (NN nursing) (NN home))))))))))))) (. .)))"
[268],"(ROOT (S (CC And) (NP (PRP he)) (VP (VBZ has) (NP (SBAR (S (, ,) (S (NP (PRP I)) (VP (MD would) (VP (VB say)))) (, ,) (NP (PRP he)) (VP (VBD adjusted) (ADVP (RB very) (RB well)))))))))"
[267],(ROOT (INTJ (UH Uh-huh) (. .)))
[269],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP he)) (, ,) (NP (PRP he)) (, ,) (NP (PRP he)) (VP (VBZ has) (VP (VBN been) (ADVP (RB there)) (NP (PDT quite) (DT a) (JJ long) (NN time)))) (. .)))"
[270],(ROOT (INTJ (UH Uh-huh) (. .)))
[271],"(ROOT (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP he)) (VP (VBP do) (RB n't) (VP (VB know) (NP (PRP me)) (ADVP (RB usually)))) (. .)))"
[273],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP he)) (VP (VBZ goes) (S (VP (VBG wheeling) (PP (IN down) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (DT the) (NN hall)) (PP (IN to) (NP (NN bingo)))))))) (. .)))"
[272],(ROOT (INTJ (UH Yeah) (. .)))
[275],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (. .)))
"[274, 276]","(ROOT (FRAG (NP (NP (NN Somebody)) (SBAR (S (S (ADJP (RB else))) (, ,) (VP (VBZ is) (VP (VP (VBG helping) (NP (PRP him)) (PRT (RP out))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))))))"
[278],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP he)) (VP (VBZ has) (VP (VBN adjusted) (ADVP (RB very) (RB well)))) (. .)))"
[280],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[281],(ROOT (FRAG (UH oh) (INTJ (UH yes)) (. .)))
"[277, 279]","(ROOT (S (INTJ (UH Uh) (. .)) (INTJ (UH Well)) (, ,) (PP (NP (CD one)) (IN of) (NP (DT the) (NNS things))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (ADJP (ADJP (RBS most) (JJ desirable)) (PP (IN for) (NP (DT the) (JJ elderly))))))) (CC and) (SBAR (WHNP (DT that)) (S (VP (VBZ is) (NP (NN routine))))))) (. .)))"
[282],(ROOT (INTJ (UH Yes) (. .)))
[284],(ROOT (INTJ (UH Uh-huh) (. .)))
[286],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[283, 285]","(ROOT (S (NP (NP (NN Routine)) (ADVP (CC and))) (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (NN constancy))) (. .)))"
[289],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NP (DT the) (RB only) (JJ real) (NN problem)) (PP (IN with) (NP (NP (DT that) (NN in)) (NP (DT a) (NN nursing) (NN home))))) (VP (VBZ is) (SBAR (IN that) (S (NP (DT the) (NN staff)) (VP (VBZ turns) (PRT (RP over)))))) (. .)))"
[287],(ROOT (INTJ (UH uh-huh)))
[291],X
[293],(ROOT (INTJ (UH uh-huh) (. .)))
[295],"(ROOT (S (VP (TO To) (VP (VB keep) (NP (PRP them)) (ADVP (RB there)) (, ,) (NP (UH uh-huh)))) (. .)))"
"[290, 292, 294, 296]","(ROOT (S (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB think) (S (NP (PRP they)) (VP (VBP pay) (, ,) (NP (DT the) (NN nursing) (NN home) (NN staff)) (ADVP (RB sufficiently)) (, ,) (PP (TO to)))) (, ,) (S (VP (TO to) (VP (VB get) (NP (DT the) (NN dedication))))) (, ,) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP have) (VP (PP (IN in) (NP (DT some) (JJ other) (NN profession))))))))) (, ,)))"
[297],(ROOT (FRAG (ADVP (JJ True)) (. .)))
[299],(ROOT (INTJ (UH Yes) (. .)))
[298],"(ROOT (PRN (CC and) (S (NP (DT that)) (VP (VBZ is) (ADJP (JJ sad)) (, ,) (SBAR (IN because) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NN health) (NN profession)) (VP (VBZ is) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (ADJP (RBS most) (JJ critical)))))))))))) (, ,))))"
[301],"(ROOT (S (VP (CC And) (PRN (, ,) (INTJ (UH uh)) (, ,)))))"
"[300, 302]","(ROOT (S (CC But) (NP (XX MUMBLEx)) (, ,) (SBAR (IN for) (S (NP (DT some) (NN reason) (NNS people)) (VP (VBP resist)))) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (NN fact)) (SBAR (IN that) (S (NP (PRP they)) (VP (MD should) (VP (VB be) (VP (VBN paid) (NP (CONJP (RB as) (RB well) (IN as)) (NP (NNS businesses)) (CC and) (NP (NP (DT that) (NN type)) (PP (IN of) (NP (NN thing)))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[303],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (. .)))
[304],(ROOT (S (NP (PRP It)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN resistance)))))) (. .)))
[306],(ROOT (INTJ (UH Uh-huh) (. .)))
[308],(ROOT (INTJ (UH Uh-huh) (. .)))
[310],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[311],(ROOT (INTJ (UH right) (. .)))
"[305, 307, 309, 312]","(ROOT (NP (NP (NN Care)) (PP (IN for) (NP (NP (DT the) (NN elderly) (CC and) (NN care)) (PP (IN for) (NP (DT the) (NNS children))))) (, ,) (S (NP (PRP I)) (VP (MD can) (RB not) (VP (VP (VB imagine) (NP (DT a) (ADJP (RBR more) (JJ costly)))) (CC and) (ADVP (DT a) (RBR more)) (, ,) (ADVP (ADVP (DT a) (RBR more)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VP (NP (JJR better) (NN area)) (S (VP (TO to) (VP (VB invest)))))))) (, ,) (NP (PRP$ your) (NN money)) (. .)))"
[313],(ROOT (S (CC But) (NP (EX there)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN resistance)))))) (. .)))
[315],"(ROOT (INTJ (UH Yeah) (, ,)))"
[314],(ROOT (S (NP (PRP You)) (VP (VBP are) (VP (VBG preserving) (NP (NP (PRP$ your) (NN heritage)) (CC and) (NP (PRP$ your) (NN future))) (ADVP (RB there)))) (. .)))
[316],(ROOT (INTJ (UH yeah) (. .)))
[317],X
[318],"(ROOT (FRAG (S (ADJP (ADJP (RB So)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[319],"(ROOT (S (CC And) (, ,) (PP (IN as) (NP (NP (DT a) (NN matter)) (PP (IN of) (NP (NN fact))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB not) (VP (VB see) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBP do) (RB not) (VP (VB have) (NP (NP (NP (NNS children) (POS 's)) (NNS programs)) (PP (IN in) (NP (NN nursing) (NNS homes)))))))))) (. .)))"
"[320, 322]","(ROOT (NP (S (S (INTJ (UH Well)) (, ,) (NP (NP (IN around) (RB here)) (, ,) (NP (PRP we))) (VP (VBP have) (NP (DT some)))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (DT the) (NNS churches)) (, ,) (S (VP (VB take) (NP (PRP$ your)) (, ,) (NP (DT the) (NNS children))))))))"
[321],(ROOT (INTJ (UH Uh-huh) (. .)))
"[323, 325]","(ROOT (PRN (CC and) (S (, ,) (NP (PRP I)) (VP (VBP know) (NP (PRP$ our) (NNS kids)) (ADVP (RB thoroughly))) (, ,))))"
