[1],"(ROOT (S (INTJ (UH Well) (, ,) (UH um)) (, ,) (ADVP (PRP we)) (VP (VBD lived)) (, ,)))"
[132],(ROOT (FRAG (ADVP (IN up) (RB north)) (. .)))
[130],(ROOT (INTJ (UH Uh-huh) (. .)))
[134],(ROOT (INTJ (UH Uh-huh) (. .)))
[136],"(ROOT (INTJ (UH Yeah) (, ,)))"
[137],(ROOT (S (NP (PRP I)) (VP (VBP imagine)) (. .)))
"[133, 135]","(ROOT (S (CC And) (ADVP (RB so)) (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN market)))) (ADVP (IN up) (RB here) (SBAR (IN since) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB kind) (RB of)) (NP (NP (DT the) (NN area)) (SBAR (WHNP (WDT that) (NNS people)) (S (VP (VBP are) (VP (VBG moving) (PRT (RP into)) (PP (IN in) (NP (NP (DT the) (NNP Dallas) (NN area) (CC and) (JJ big) (NN market)) (PP (IN for) (PRN (, ,) (PP (IN for) (NP (NNS yards))) (, ,)) (NP (NN yard) (NN work))))))))))))))) (. .)))"
[138],"(ROOT (S (VP (NP (NP (RB So)) (, ,) (VP (NP (INTJ (UH well)) (NP (NN everybody))) (S (VP (VP (, ,) (S (NP (NP (PRP it)) (SBAR (S (VP (VBZ seems) (SBAR (IN like) (S (NP (NN everyone)) (VP (VBZ is) (ADJP (RB so) (JJ particular))))))))))) (PRN (, ,) (ADVP (RB especially)) (PP (IN in) (NP (DT the) (NNP Dallas) (NN area))))))))) (. .)))"
[140],"(ROOT (NP (S (NP (EX There)) (, ,) (NP (EX there)) (VP (BES 's) (NP (ADJP (RB so) (JJ much)) (NN money))))))"
[141],"(ROOT (PRN (CC and) (S (NP (NN everyone)) (VP (MD can) (VP (VB afford))) (, ,))))"
[142],(ROOT (S (NP (PRP they)) (VP (VBP have) (NP (JJ enough) (NN leisure) (NN time) (S (VP (TO to) (VP (VB afford) (NP (DT a) (JJ nice) (NN lawn))))))) (. .)))
[143],"(ROOT (S (CC And) (, ,) (NP (NP (DT another) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBP 've) (VP (VBN noticed)))))) (VP (VBZ is) (ADJP (IN that) (NP (NP (DT the) (NX (NNS lawns))) (PP (IN in) (NP (NP (DT some)) (PP (IN of) (NP (DT the) (NNS homes))))))))))"
[139],(ROOT (INTJ (UH Uh-huh) (. .)))
[145],(ROOT (INTJ (UH Uh-huh) (. .)))
[147],"(ROOT (INTJ (UH Yes) (, ,)))"
[148],(ROOT (S (NP (PRP they)) (VP (VBP do)) (. .)))
"[144, 146]",(ROOT (S (S (NP (DT the) (NN area)) (VP (VBZ is) (ADJP (RB so) (JJ small)) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP take) (NP (JJ great) (NN pride)) (PP (IN in) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB use) (NP (WDT whatever) (NN lawn)))))))))))))) (NP (PRP they)) (VP (VBP do) (VP (VB have) (S (VP (TO to) (VP (VB look) (ADJP (RB really) (JJ nice))))))) (. .)))
"[149, 151]","(ROOT (S (NP (PRP I)) (VP (VBD noticed) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP 're) (ADVP (RB really)) (VP (VBG putting) (PP (IN in) (NP (JJ small) (JJ back) (NNS yards))) (, ,) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP have) (NP (NP (DT these)) (PRN (, ,) (S (NP (NP (RBS most)) (PP (IN of) (NP (DT the) (NNS houses)))) (VP (VBP have) (NP (NP (DT the) (NNS alleys)) (SBAR (WHNP (WDT that)) (S (VP (VBP run) (ADVP (IN behind)))))))) (, ,)))))))))))))"
[152],"(ROOT (S (CC and) (, ,) (RB so) (NP (DT that)) (ADVP (RB really)) (VP (VBZ cuts) (PP (IN into) (NP (PRP$ your) (NN backyard) (NN space)))) (, ,)))"
[153],(ROOT (SBARQ (WHADVP (CC and) (. .)) (S (CC But) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB do) (NP (PRP$ our) (NN work)) (ADVP (RB here)) (ADVP (IN out) (PP (IN of) (NP (NN enjoyment))) (ADVP (RB so) (JJ much))) (PP (IN as)))))))
[154],"(ROOT (S (S (ADVP (RB right) (RB now)) (PRN (, ,) (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB just)))) (, ,)) (NP (DT this)) (VP (VBZ is))) (, ,) (NP (PRP we)) (ADVP (RB just)) (VP (VBD moved) (ADVP (RB in)) (PP (IN in) (NP (NNP September)))) (, ,)))"
[150],(ROOT (INTJ (UH Uh-huh) (. .)))
[156],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[157],(ROOT (S (NP (PRP I)) (VP (VBP know)) (. .)))
[158],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ awful)) (NP (DT the) (JJ first) (NN house))) (. .)))"
[159],"(ROOT (S (NP (NP (PRP$ Our) (NN house)) (PP (IN in) (NP (NNP Castroville)))) (VP (VBD was) (NP (DT the) (JJ first) (CD one)) (, ,) (ADVP (RB too))) (. .)))"
[155],(ROOT (S (IN so) (NP (PRP we)) (VP (VBP 're) (ADVP (RB just)) (ADVP (RB still)) (PP (IN at) (NP (NP (DT the) (NN point)) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG talking) (PP (IN about) (NP (DT the) (NN necessity)))))))))) (. .)))
"[160, 162]","(ROOT (S (CC And) (NP (PRP we)) (VP (VBD had) (S (NP (DT no) (NN idea)) (NP (NP (NP (DT the) (NN expense)) (SBAR (WHNP (WDT that)) (S (NP (NNS lawns) (CC and) (NN gardening)) (VP (MD would) (VP (VB run) (PP (IN into))))))) (CC and) (NP (NP (NP (DT the) (NN time)) (SBAR (WHNP (WDT that)) (S (NP (PRP it)) (VP (VBD took))))) (PRN (, ,) (ADVP (RB especially)) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP start) (S (VP (VBG mowing)))))) (, ,))))))))"
[163],"(ROOT (FRAG (CC and) (ADVP (ADVP (RB then)) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ comes) (S (VP (TO to) (VP (VB fertilize) (PRN (, ,) (S (ADVP (RB then)) (NP (PRP it)) (VP (MD would) (VP (VB come) (PP (IN to) (NP (NN raking)))))) (, ,)))))))))))"
[164],(ROOT (FRAG (CC and) (ADVP (ADVP (RB then)) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ comes) (PP (IN to) (S (VP (VBG making) (ADJP (JJ sure)) (SBAR (IN that) (S (NP (NN somebody)) (VP (VBD had) (VP (VBN put) (NP (NP (DT the) (NN timer)) (PP (IN on) (NP (DT the) (NN water)))))))))))))) (. .))))
[161],(ROOT (INTJ (UH Uh-huh) (. .)))
"[165, 167]","(ROOT (S (CC And) (NP (NP (DT the) (CD one) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBD did) (VP (VB notice)))))) (VP (VBZ is) (SBAR (IN that) (S (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (NP (NP (DT the) (NN underground) (NN irrigation) (NNS systems)) (, ,) (NP (NP (DT the) (NN sprinkler) (NNS systems)) (, ,) (RB just) (, ,) (NP (DT that)))))))) (VP (VBD was) (NP (DT the) (NN way) (S (VP (TO to) (VP (VB go) (SBAR (IN if) (S (NP (PRP you)) (VP (MD could) (VP (VB do) (NP (PRP it)))))))))))))) (. .)))"
[168],"(ROOT (S (NP (NP (NNS People)) (SBAR (WHNP (WDT that)) (S (VP (VBD were) (VP (VBG building) (NP (NP (DT the) (JJ new) (NNS homes)) (SBAR (WHNP (WDT that)) (S (VP (VBD put) (NP (NP (DT those)) (PP (IN in) (PRN (, ,) (SBAR (WHNP (WDT that)) (S (VP (VBD was)))) (, ,)) (NP (DT that))))))))))))) (VP (VBD was) (NP (DT the) (JJ only) (NN way) (S (VP (TO to) (VP (VB go) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD was) (ADVP (RB just)) (ADJP (RB so) (JJ convenient)))))))))) (. .)))"
[169],(ROOT (S (NP (PRP They)) (VP (MD would) (ADVP (RB just)) (VP (VB turn) (NP (PRP it)) (PRT (RP on))))))
[170],(ROOT (FRAG (CC and) (NP (DT the) (NN timer) (SBAR (S (VP (MD would) (VP (VB run))))))))
[171],(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (MD would) (VP (VB water) (NP (PRP$ their) (NN lawn)))))))
[166],(ROOT (INTJ (UH Yeah) (. .)))
[172],(ROOT (S (CC and) (NP (PRP they)) (VP (VBD did) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB worry) (PP (IN about) (NP (PRP it))) (ADVP (IN at) (DT all))))))) (. .)))
[174],(ROOT (S (CC And) (NP (DT that)) (VP (VBD was) (ADJP (RB so) (JJ nice))) (. .)))
[175],"(ROOT (S (CC But) (, ,) (ADVP (PRP we)) (VP (VBD did) (RB n't) (VP (VB have) (NP (DT that) (NN luxury)))) (, ,)))"
[173],(ROOT (INTJ (UH Um) (. .)))
[176],"(ROOT (S (IN so) (NP (PRP we)) (VP (VBD were) (VP (VBG dragging) (NP (NP (DT th-)) (, ,) (NP (DT the) (NN sprinkler) (RP around))) (ADVP (RB everywhere)))) (. .)))"
[178],"(ROOT (S (CC And) (ADVP (RB so)) (, ,) (NP (PRP I)) (VP (VBP hope) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB find) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))"
[179],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP (WHNP (WDT what) (NN type)) (PP (IN of) (NP (NN grass)))) (S (VP (VBZ grows) (PP (IN in) (NP (DT the) (ADJP (RB real) (JJ shady)) (NNS areas)))))))) (. .)))
[180],"(ROOT (S (NP (PRP I)) (VP (VBP remember) (NP (NP (DT the) (NN guy)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (PP (PP (IN on) (NP (DT the) (NN radio))) (PRN (, ,) (INTJ (UH um)) (, ,))))))))))"
[181],"(ROOT (S (NP (PRP they)) (VP (VBD had) (NP (DT a) (NN gardener))) (, ,)))"
[182],"(ROOT (FRAG (PP (CC and) (NP (PRP he))) (, ,)))"
[183],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[184],"(ROOT (S (S (NP (PRP I)) (VP (VBD had) (NP (DT this) (CD one)))) (, ,) (S (INTJ (UH well)) (NP (PRP I)) (VP (VBP 've) (ADVP (RB still)) (VP (VBN got) (NP (DT the) (NN book))))) (. .)))"
[185],"(ROOT (S (NP (PRP It)) (VP (BES 's) (, ,) (S (INTJ (UH um)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADVP (RB just)) (VP (VBN called) (NP (NNP TEXAS) (NNP GARDENING))))))))) (, ,)))"
[177],X
[187],(ROOT (INTJ (UH Hm) (. .)))
[186],(ROOT (S (CC and) (NP (PRP it)) (VP (VBZ talks) (PP (IN about) (NP (DT the) (JJ different) (NNS grasses))) (S (VP (TO to) (VP (VB use) (PP (IN for) (NP (NP (DT the) (JJ shady) (NNS areas)) (PP (IN versus) (NP (DT the) (ADJP (RB really) (JJ sunny)) (NNS areas))))))))) (. .)))
[189],"(ROOT (S (CC But) (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (NN grass)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (MD can) (VP (VB use) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (ADJP (NN shade) (JJ tolerant))) (, ,)))))))))))"
[190],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB remember) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ is)))))) (. .)))
[188],"(ROOT (S (NP (PRP We)) (VP (, ,))))"
[191],"(ROOT (S (CC But) (NP (PRP it)) (VP (HVS 's) (VP (VBN got) (NP (INTJ (UH like)) (NP (DT a) (NN boot))) (, ,) (PP (IN on) (NP (NP (DT the) (NN front)) (PP (IN of) (NP (DT the) (NN book))))))) (. .)))"
[193],(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB just)) (NP (DT a) (ADJP (RB real) (JJ fancy)) (JJ decorated) (NN boot))) (. .)))
[194],(ROOT (S (NP (PRP It)) (VP (BES 's) (NP (INTJ (UH like)) (NP (NNP TEXAS) (NNP GARDENING)))) (. .)))
[195],"(ROOT (S (CC And) (NP (PRP it)) (VP (VBZ talks) (SBAR (SBAR (IN about) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (NP (JJ different) (NNS problems)) (SBAR (WHNP (WDT that)) (S (NP (PRP$ your) (NN lawn)) (VP (MD can) (VP (VB have))))))))) (CC and) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB recognize) (NP (PRP it))))))))))"
[196],"(ROOT (FRAG (CC and) (NP (NP (PRP it)) (SBAR (S (VP (VBZ goes) (PP (IN into) (NP (NP (DT the) (JJ full) (NN gamut)) (PP (IN of) (NP (NN gardening)))))))) (. .)) (SBAR (S (NP (PRP You)) (VP (VP (VBP know)) (, ,) (VP (NP (NN everything)) (PP (IN from) (NP (NP (NNS flowers)) (PP (IN to) (NP (NP (NNS bulbs)) (PP (IN to) (NP (NP (NNS perennials)) (PP (IN to) (NP (NP (NN grass)) (PP (IN to) (NP (NP (NNS weeds)) (PP (IN to) (NP (NNS trees)))))))))))))) (CC and) (VP (PP (IN to) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB prune))))))))) (. .)))"
[192],(ROOT (INTJ (UH Uh-huh) (. .)))
"[197, 199]","(ROOT (S (S (CC But) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (S (NP (PRP I)) (VP (VBP do) (VP (VB remember)))))))) (VP (VBD was) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBD talked) (PP (IN about) (NP (DT the) (NN grass)))))))) (, ,) (CC and) (S (NP (EX there)) (VP (VBG being) (NP (NP (DT the) (NN shade) (JJ tolerant) (NNS types)) (PP (IN of) (NP (NP (NN grass)) (, ,))))))))"
[198],"(ROOT (FRAG (PP (NN Grass)) (, ,)))"
[200],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (CD one)) (PP (IN of) (NP (PRP them)))) (VP (VBD was) (NP (NP (DT a) (NN blend)) (PP (IN of) (NP (NP (CD two) (NNS types)) (PP (IN of) (NP (NN grass))))) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (VBD had) (VP (VBN used)))))))))) (. .)))
[201],(ROOT (INTJ (UH Um) (. .)))
[202],"(ROOT (S (S (CC But) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB remem)))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB remember) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD was) (NP (NP (NNP Raleigh) (CC and) (NNP Saint) (NNP Augustine)) (CC or) (, ,) (CC or) (NP (WP what)))))))) (. .)))"
[203],(ROOT (FRAG (CC Or) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBD was)))) (. .)))
[205],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB do) (NP (DT that)) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP have) (NP (NP (DT the) (NN shade)) (, ,) (NP (DT the) (NNS trees)))))))))))))) (, ,)))"
[206],"(ROOT (S (NP (DT this)) (VP (VBZ is) (NP (NP (DT an) (ADJP (JJ established) (CC and) (JJR older)) (NN home)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD moved) (PP (IN into))))))) (, ,)))"
[207],"(ROOT (S (CC and) (, ,) (ADVP (UH um)) (, ,) (NP (DT the) (NNS trees)) (VP (VBP are) (ADVP (RB just)) (ADJP (RB so) (JJ tall)))))"
[204],(ROOT (S (CC But) (NP (PRP I)) (VP (VBP do) (S (VP (VB remember) (SBAR (S (NP (PRP they)) (VP (VBD had) (VP (VBN used) (NP (DT a) (NN blend))))))))) (. .)))
[209],"(ROOT (S (S (INTJ (UH Oh)) (, ,) (CC but) (NP (DT that)) (VP (BES 's) (ADJP (RB so) (JJ neat)) (, ,) (SBAR (IN because) (FRAG (ADJP (RB so) (JJ many)))))) (NP (NNS homes)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT that)))) (. .)))"
[210],"(ROOT (S (NP (RB So) (PRP you)) (VP (MD 'll) (VP (VB be) (ADJP (JJ cool) (NP (DT all) (NN year))) (ADVP (RB around)))) (, ,)))"
[208],"(ROOT (S (CC and) (NP (EX there)) (VP (MD must) (VP (VB be) (ADVP (NP (NP (CD ten)) (CC or) (NP (NP (CD twelve) (JJ big) (JJ tall) (NNS trees)) (PP (IN out) (NP (RB there))))) (IN so)) (SBAR (IN that) (IN like) (S (SBAR (RB even) (IN if) (S (NP (PRP$ its)) (VP (VBG raining)))) (, ,) (NP (PRP you)) (VP (MD can) (VP (VP (VB go) (PRT (RB out)) (PP (IN in) (NP (PRP$ our) (JJ back) (NN yard)))) (CC and) (RB not) (VP (VB get) (ADJP (JJ wet))))))))) (. .)))"
[212],"(ROOT (S (NP (NP (FRAG (INTJ (UH Well)) (, ,) (NP (DT that)))) (PP (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG looking) (ADVP (RB forward)) (PP (IN to)))) (, ,)))))))"
[213],(ROOT (FRAG (CC and) (ADVP (ADVP (DT that) (BES 's)) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP say) (SBAR (S (NP (DT the) (NN payoff)) (VP (VBZ is))))))))))
[211],"(ROOT (S (PP (IN in) (NP (DT the) (NN summer))) (, ,) (NP (WDT that)) (VP (BES 's) (ADJP (JJ great))) (. .)))"
[214],"(ROOT (FRAG (CC but) (NP (, ,))))"
"[215, 217]","(ROOT (S (NP (PRP It)) (VP (VBZ makes) (NP (NP (DT the) (JJS biggest) (NN difference)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP have) (NP (DT the) (JJ big) (JJ old) (NNS trees))))))) (. .)))"
[218],"(ROOT (S (CC And) (NP (DT the) (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VBD moved) (PRT (RP in)) (ADVP (RB next)) (PP (IN to) (NP (PRP us)))))) (, ,) (NP (PRP they)) (VP (VBD built) (NP (DT a) (JJ new) (NN house)) (PP (IN on) (NP (DT the) (JJ empty) (NN lot))))))"
[219],(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB just)) (VP (VBD had) (NP (NP (PRP$ their) (NN brand)) (NP (JJ new) (JJ little) (NNS trees)))) (. .)))
[220],(ROOT (S (NP (PRP They)) (VP (VBD did) (RB n't) (VP (VB have) (NP (DT any) (NN shade)))) (. .)))
[216],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP we)) (VP (VBP ha)) (, ,)))"
[222],"(ROOT (FRAG (S (ADJP (ADJP (RB Too)) (PRN (PP (JJ hot)) (, ,))))))"
[221],"(ROOT (S (S (NP (PRP They)) (, ,) (ADVP (DT any) (NN time)) (NP (PRP they)) (VP (VBD had) (NP (NNS people)) (ADVP (RP over)))) (NP (PRP they)) (VP (VBD had) (S (VP (TO to) (VP (VB do) (NP (PRP it)) (PP (IN on) (NP (DT the) (NN patio)))))) (SBAR (IN because) (S (NP (PRP it)) (ADVP (RB just)) (VP (VBD got) (ADJP (RB too) (JJ hot)) (PP (IN during) (NP (DT the) (NN day))))))) (. .)))"
[224],"(ROOT (S (ADVP (RB So)) (, ,) (INTJ (UH oh)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ great)) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP have) (NP (PRP them)))))) (. .)))"
[223],(ROOT (INTJ (UH yes) (. .)))
[225],(ROOT (S (VP (VBP Are) (NP (NP (PRP they)) (NP (NNS oaks)))) (. ?)))
[226],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (EX there)) (VP (VBP are) (NP (DT all) (JJ different) (NNS kinds))) (. .)))"
[228],"(ROOT (S (NP (EX There)) (VP (VP (VBP are) (NP (NP (DT some) (NNS oaks)) (, ,) (NP (NNS magnolias)))) (, ,) (CC and) (VP (NP (UH like)) (PP (NP (NN plum)) (NP (NP (NNS trees)) (, ,) (NP (NN peach) (NNS trees)))))) (, ,)))"
