[0],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH um) (. .))))"
[145],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB believe) (PP (IN for) (NP (DT a) (NN minute))) (SBAR (IN that) (S (NP (DT that)) (VP (VBZ means) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (NNS ideas) (CC and) (NNS plans)) (PP (IN of) (NP (PRP$ their) (NN own))))))))))))) (. .)))
[146],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[147],"(ROOT (S (CC But) (NP (PRP I)) (VP (VBP do) (VP (VB agree) (PP (IN with) (NP (PRP you)) (, ,))))))"
[149],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNP President) (NNP Bush)) (VP (VBD handled) (S (NP (PRP it)) (NP (NP (DT all) (ADJP (ADJP (RB politically) (RB very) (RB smart)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))) (VP (VBG giving) (NP (NP (NP (DT the) (NN support)) (PP (IN of)) (, ,) (PP (IN of) (NP (DT the) (JJ other) (NNPS Arabs)))) (CC and) (NP (NP (JJ other) (NNS nations)) (PP (IN in) (NP (DT the) (NN world))))))))))))))"
[148],(ROOT (INTJ (UH Yeah) (. .)))
[151],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[152],(ROOT (INTJ (UH right) (. .)))
[153],"(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN heard) (NP (NNS reports)) (SBAR (SBAR (IN that) (S (NP (NNP President) (NNP Bush)) (VP (VBD was) (VP (VBG staking) (NP (PRP$ his) (NN future)) (ADVP (IN on) (DT this)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (DT this) (NN war))))))) (CC and) (SBAR (IN that) (S (S (VP (VBG setting) (NP (DT a) (NN precedent)) (S (VP (VBG saying) (SBAR (IN that) (S (NP (NP (DT this) (NNP League)) (PP (IN of) (NP (NNPS Nations)))) (VP (MD will) (ADVP (RB always)) (VP (VB combine) (PP (IN against) (NP (NNS bullies))))))))))) (CC and) (S (VP (TO to) (VP (VB stop) (NP (NP (DT this) (NN kind)) (PP (IN of) (NP (NN stuff)))) (PP (IN in) (NP (DT the) (NN world))))))))))) (. .)))"
[154],"(ROOT (S (NP (NP (DT Any) (GW would) (^JJ be)) (NN bully)) (VP (MD would) (VP (VB think) (ADVP (RB twice)) (SBAR (IN if) (S (NP (PRP he)) (VP (VBD knew) (SBAR (WHNP (DT that)) (, ,) (S (NP (PRP you)) (VP (VBP know))))))))) (, ,)))"
[150],"(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP think))) (, ,) (NP (DT that)) (VP (BES 's) (SBAR (WHADVP (WRB how)) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB go) (PP (IN into) (NP (NP (NN something)) (PP (IN like) (NP (DT that)))))))))))) (. .)))"
[155],(ROOT (S (NP (EX there)) (VP (BES 's) (NP (NP (NP (DT this) (NNP United) (NNPS Nations)) (CC or) (NP (NN world) (NN government))) (CC or) (SBAR (WHNP (WP whatever)) (S (NP (PRP they)) (VP (VBP keep) (S (VP (VBG talking) (PP (IN about) (SBAR (IN that) (S (NP (DT the) (JJ whole) (NN world)) (VP (MD will) (VP (VB deal) (PP (IN with) (NP (PRP you))))))))))))))) (. .)))
[156],(ROOT (SBARQ (CC And) (SQ (VBP do) (RB n't) (NP (PRP you)) (VP (VB feel))) (. ?)))
[157],"(ROOT (S (S (CC And) (NP (PRP you)) (VP (MD ca) (RB n't))) (, ,) (NP (PRP you)) (ADVP (RB just)) (VP (VP (MD ca) (RB n't) (VP (VP (VB do) (NP (PRP it))) (CC and) (VP (VB get) (PRT (RP away)) (PP (IN with) (NP (PRP it)))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (VP (VBG hoping) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP know))))))) (, ,)))"
[159],(ROOT (SBAR (IN because) (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (NN world) (NN thing))))))
[160],(ROOT (FRAG (CC and) (NP (NP (DT the) (NNS nations)) (SBAR (S (VP (MD will) (VP (VB combine) (PP (IN against) (NP (PRP you))))))))))
[158],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[161],"(ROOT (S (S (S (CC and) (S (NP (PRP you)) (VP (MD ca) (RB n't)))) (, ,) (NP (PRP you)) (VP (VBP know))) (, ,) (NP (PRP you)) (VP (MD ca) (RB n't) (ADVP (RB just)) (VP (VB do) (NP (DT this)))) (. .)))"
[162],(ROOT (SBARQ (CC And) (SQ (VBP do) (RB n't) (NP (PRP you)) (VP (VB think) (SBAR (IN that) (S (NP (JJ long) (NN term)) (NP (WDT that)) (VP (HVS 's) (VP (VBN been) (NP (NP (DT a) (JJ big) (NN boost)) (PP (IN for) (NP (DT the) (NNP United) (NNPS Nations)))))))))) (. .)))
[163],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH yeah) (. .))))"
[164],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (NP (NP (DT the) (NNP United) (NNPS Nations)) (VP (VBN been) (NP (NP (NP (RB there)) (PP (IN for) (NP (NNS years)))) (, ,) (CC but) (NP (NP (DT all)) (PP (IN of) (NP (DT a) (JJ sudden)))))))) (. .)))"
[166],(ROOT (INTJ (UH Yeah)))
[167],(ROOT (S (NP (EX there)) (VP (VBP are) (NP (NP (DT some) (NNS teeth)) (PP (IN behind) (NP (PRP it)))))))
[165],"(ROOT (S (S (VP (VBD Had) (NP (DT no)))) (, ,) (VP (VBD had) (NP (DT no) (NNS teeth))) (. .)))"
[168],"(ROOT (FRAG (CC and) (NP (NP (DT the) (NN fact)) (SBAR (IN that) (S (SBAR (WHADVP (WRB when)) (S (S (NP (PRP they)) (VP (VBP have) (NP (NNS sanctions)))) (CC and) (S (NP (PRP we)) (VP (VBP support) (NP (NP (NNS things)) (PP (IN like) (NP (DT this)))))))) (, ,) (NP (PRP it)) (VP (VBZ means) (NP (NN something)))))) (. .)))"
[169],(ROOT (INTJ (UH Right) (. .)))
[171],"(ROOT (NP (NNS People) (, ,)))"
[170],(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (JJ good) (PP (IN for) (NP (NP (DT the) (NN strength)) (PP (IN of) (NP (DT the) (NNP United) (NNPS Nations)))))))))) (. .)))
[173],(ROOT (INTJ (UH Yeah) (. .)))
[175],(ROOT (S (CC And) (VP (VB rebuild) (PP (IN from) (NP (NN nothing)))) (. .)))
"[172, 174, 176]","(ROOT (S (S (NP (PRP I)) (VP (VBP guess))) (, ,) (S (NP (PRP I)) (VP (VBP feel) (ADJP (JJ sorry)) (PP (IN for) (NP (RB just) (DT the) (NN average))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (, ,) (NP (NP (NNP Iraqi)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBZ has) (VP (VBN had) (S (VP (TO to) (VP (VB go) (PP (IN through) (NP (NP (DT all)) (PP (IN of) (NP (DT this))))))))))))))) (CC and) (S (FRAG (NP (DT the) (NN suffering)) (. .)) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB sure)) (PP (IN with) (NP (NP (DT no) (NN water)) (, ,) (NP (NP (DT No) (NN electricity)) (, ,) (NP (DT no) (NN sanitation)) (, ,))))))))"
[177],(ROOT (INTJ (UH Yes) (. .)))
[178],"(ROOT (S (S (VP (MD must) (VP (VB be) (ADJP (JJ terrible))))) (, ,) (NP (NN living) (NNS conditions)) (VP (MD must) (VP (VB be) (ADJP (JJ terrible)))) (. .)))"
[180],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (RB not) (VP (VBG getting) (ADVP (DT any) (JJR better)))) (, ,))))"
[179],(ROOT (INTJ (UH Yeah) (. .)))
[181],(ROOT (S (NP (DT the) (NNS sanctions)) (VP (VBP are) (ADVP (RB still)) (PP (RP on))) (. .)))
[183],"(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (S (, ,) (S (PP (IN except) (PP (IN for) (NP (DT a) (JJ few) (JJ medical) (NNS supplies)))) (NP (PRP they)) (VP (VBP are) (VP (VBG allowing) (PP (IN through) (NP (UCP (ADVP (RB now)) (CC and) (ADJP (RB then) (JJ powdered))) (NN milk)))))) (, ,) (NP (PRP I)) (VP (VBP guess) (, ,) (PP (IN for) (NP (NNS babies) (CC and) (NNS things)))))))))"
[184],"(ROOT (FRAG (CC and) (PP (IN until) (NP (NP (PRP they)) (, ,)))))"
[182],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ true))) (. .)))
[186],(ROOT (INTJ (UH Right) (. .)))
"[185, 188]","(ROOT (S (NP (PRP I)) (VP (VBP guess) (, ,) (SBAR (S (NP (NN yesterday)) (NP (PRP they)) (VP (VBD came) (PRT (RP out)) (PP (IN with) (NP (NP (DT this)) (, ,) (NP (NP (DT these) (NNS rules)) (SBAR (S (NP (PRP I)) (VP (VP (VBP guess)) (CC or) (VP (FRAG (SBARQ (WHNP (WP whatever)) (. .))))) (PP (IN For) (NP (DT a) (JJ permanent) (, ,) (JJ permanent) (NN cease-fire))))))))))))))"
[187],(ROOT (S (NP (PRP They)) (VP (VBD supported) (NP (PRP it))) (. .)))
[189],"(ROOT (S (S (CC and) (NP (DT the) (NNPS Kuwaitis)) (VP (VBD said))) (, ,) (NP (PRP We)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB have) (S (VP (TO to) (VP (VB repay) (NP (NP (NNP Israel)) (PP (IN for) (NP (NP (PDT all) (DT the) (NN bombing)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD did) (SBAR (S (SBAR (WHNP (WDT that)) (S (VP (VBD was) (PP (IN in) (NP (RB there)))))) (, ,) (NP (PRP you)) (VP (VBP know)))))))))))))))))) (. .)))"
[190],"(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ right))) (, ,)))"
[192],"(ROOT (INTJ (UH Yeah) (, ,)))"
[191],(ROOT (S (CC But) (NP (DT that)) (VP (BES 's) (ADJP (RB only) (JJ fair))) (. .)))
[193],(ROOT (S (NP (PRP they)) (VP (VBD did) (VP (VB ask) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP build) (PRT (RP up)) (NP (NNP Israel) (CC and) (NNP Kuwait))))))) (. .)))
[194],(ROOT (INTJ (UH Yeah) (. .)))
[195],(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD should) (VP (VB have) (S (VP (TO to)))))))) (. .)))
[196],(ROOT (INTJ (UH Yeah) (. .)))
[198],"(ROOT (S (NP (PRP It)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (RB really) (JJ tough)) (SBAR (IN for) (S (NP (PRP them)) (VP (TO to) (VP (VB swallow)))))))))) (, ,)))"
[199],"(ROOT (S (CC but) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB want) (NP (DT a) (NNP Kuwait)) (ADVP (RB there)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (ADVP (RB also)) (PRN (, ,) (S (NP (PRP you)) (VP (VP (VBP know)) (, ,) (ADVP (RB just)) (VP (VBZ has) (NP (NP (DT no) (NN power)) (ADVP (IN at) (DT all)))))) (, ,)))))))))"
[200],"(ROOT (PRN (CC and) (S (NP (WDT that)) (, ,) (NP (WDT that)) (VP (ADVP (PRP you)) (VBP know)) (, ,))))"
[197],(ROOT (S (NP (PRP They)) (VP (VBD lost)) (. .)))
[201],(ROOT (FRAG (SBAR (IN because) (S (NP (NNP Iran)) (ADVP (RB still)) (VP (VBZ is) (RB n't) (ADJP (RB too) (JJ friendly) (PP (IN with) (NP (PRP them))))))) (. .)))
[203],"(ROOT (S (CC And) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB want) (PRN (, ,) (S (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (TO to) (VP (VB be) (ADJP (JJ stabilized) (PP (IN to) (NP (DT the) (NN point)))) (SBAR (WHADVP (WRB where)) (S (NP (NNP Iran)) (VP (MD will) (VP (VB say)))))))))) (, ,) (ADVP (RB Now)) (S (VP (VBZ is) (NP (PRP$ our) (NN chance))))) (, ,)) (SBAR (S (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (TO to) (VP (VP (VB go) (ADVP (RB in))) (CC and) (VP (VB wipe) (NP (PRP them)) (PRT (RP out)))))))))))))"
[202],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT that)) (VP (BES 's) (ADJP (JJ true))) (. .)))"
[204],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[206],"(ROOT (INTJ (UH Yeah) (, ,)))"
[205],"(ROOT (PRN (UH Well) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (NNP Iran)) (VP (VBZ is) (PP (IN under) (NP (NP (DT the) (JJ same) (NN type)) (PP (IN of) (NP (NN madman) (NN type) (NN leadership))))))))))) (, ,)))"
[207],(ROOT (INTJ (UH yeah) (. .)))
[209],"(ROOT (INTJ (UH Yeah) (, ,)))"
[210],(ROOT (INTJ (UH yeah)))
[208],"(ROOT (S (S (CC but) (NP (EX there)) (VP (BES 's) (ADVP (RB always)) (NP (DT the) (NN possibility)))) (, ,) (NP (PRP I)) (VP (VBP guess)) (. .)))"
[211],"(ROOT (S (SBAR (IN since) (S (NP (NNP Khomeini)) (VP (VBD died) (PP (IN over) (NP (RB there)))))) (, ,) (NP (NNS things)) (VP (VBP have) (VP (VBN gotten) (S (VP (ADVP (NP (DT a) (RB little)) (RBR more)) (VBN normalized))))) (. .)))"
[212],(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so))) (. .)))
[213],"(ROOT (S (NP (ADJP (ADVP (RB Not) (RB quite)) (ADJP (RB as) (JJ radical) (NP (DT a) (NN stance))) (, ,) (ADJP (JJR more))) (NNS moderates)) (VP (VBP are) (PP (IN in) (NP (NN power))) (ADVP (RB now))) (. .)))"
[215],(ROOT (INTJ (UH Yeah) (. .)))
"[214, 217]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (DT the) (NN person)) (SBAR (WHNP (WP who)) (S (ADVP (RB really)) (VP (MD may) (VP (VB be) (PP (IN at) (NP (NP (DT this) (NN time)) (SBAR (S (VP (VBZ has) (NP (DT a) (JJ hard) (NN road) (S (VP (TO to) (VP (VB tow))))))))))))))) (VP (VBZ is) (NP (NP (NNP Jordan) (POS 's)) (NNP King) (NNP Hussein)) (SBAR (IN because) (S (NP (PRP he)) (ADVP (RB really)) (VP (ADVP (ADVP (RB kind) (RB of)) (, ,) (ADVP (RB really))) (VBD tried) (S (VP (TO to) (VP (ADVP (RB kind) (RB of)) (VB straddle) (NP (DT the) (NN fence)))))))))))) (. .)))"
[218],"(ROOT (S (NP (PRP You)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP he)) (VP (VBD was) (RB n't) (VP (ADVP (RB necessarily)) (PP (IN for) (NP (NNP Iraq))))))))))"
[216],(ROOT (NP (NP (VBN Put)) (PP (IN in) (NP (DT the) (NN middle))) (. .)))
[219],"(ROOT (S (CC but) (PP (IN at) (NP (DT the) (JJ same) (NN time))) (, ,) (NP (PRP he)) (VP (VBD did) (RB n't) (VP (VB feel) (SBAR (IN like) (S (NP (NN everybody)) (VP (MD ought) (S (VP (TO to) (VP (VB be) (VP (VBG going) (PP (IN against) (NP (NNP Iraq)))))))))))) (. .)))"
[221],(ROOT (INTJ (UH Yeah) (. .)))
"[220, 222, 224]","(ROOT (FRAG (CC And) (ADVP (RB yet)) (SBAR (RB so) (S (NP (NP (NP (JJ many)) (PP (IN of) (UCP (S (NP (DT the) (NNS citizens)) (VP (VBP are) (NP (NP (DT the)) (FRAG (INTJ (UH uh)))))) (, ,) (NP (DT the) (NNPS Lebanese)) (. .)))) (SBAR (WHNP (WP Who)) (S (VP (VBD were) (VP (VBG hoping) (NP (DT this))))))) (VP (MD would) (VP (VB evolve) (PP (IN into) (NP (NP (DT a) (NN war)) (PP (IN against) (NP (NP (NNP Israel) (. .)) (SBAR (S (NP (CC And)))))))) (NP (UH uh)) (, ,) (S (VP (VBG trying) (S (VP (TO to) (VP (VB connect) (PP (IN with) (NP (NNP Israel))) (NP (PDT all) (DT that) (NN time)))))))))))))"
[223],(ROOT (INTJ (UH Right) (. .)))
[225],(ROOT (S (CC and) (NP (EX there)) (ADVP (RB really)) (VP (VBD was) (NP (NP (DT no) (NN connection)) (PP (IN at) (NP (DT all))))) (. .)))
[227],"(ROOT (S (CC And) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (FRAG (PP (CC but) (NP (UH boy))) (NP (NP (DT those) (NNPS Lebanese)) (PP (IN in) (NP (NNP Jordan))))) (, ,) (NP (PRP they)) (VP (VBD were) (VP (VBG saying) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))) (, ,) (NP (DT this) (JJ whole) (NN war)) (VP (VBZ is) (NP (NP (NNP Israel) (POS 's)) (NN fault)) (SBAR (IN because) (S (NP (NNP Israel)) (VP (VBD told) (NP (DT the) (NNP United) (NNPS States)) (S (VP (TO to) (VP (VB attack) (NP (NNP Iran)))))))))))"
[226],(ROOT (INTJ (UH No) (. .)))
[229],"(ROOT (S (NP (PRP I)) (VP (VBP know)) (, ,)))"
[230],(ROOT (SINV (VP (VBZ is) (RB n't) (ADJP (DT that) (JJ amazing))) (NP (DT the) (NN way) (SBAR (WHNP (WDT that)) (S (NP (PRP they)) (VP (MD will) (VP (VB find) (NP (PRP$ their) (NN cause)))))))))
[228],"(ROOT (S (NP (PRP it)) (VP (VBD was) (SBAR (IN like) (, ,) (S (NP (PRP it)) (VP (VBD was) (SBAR (IN like) (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (NNP Israel)) (VP (VBZ controls) (NP (PRP$ our) (NN government)))))))))))) (. .)))"
[232],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[231],(ROOT (S (ADVP (DT no) (NN matter) (SBAR (WHNP (WDT what)) (S (NP (NP (NN situation)) (NP (PRP they))) (VP (VBP see))))) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB find) (NP (PRP$ their) (NN cause)) (SBAR (IN whether) (S (NP (PRP it)) (ADVP (RB truly)) (VP (VBZ exists))) (CC or) (RB not))))))) (. .)))
[233],(ROOT (S (CC but) (NP (NP (CD one) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBD did) (VP (VB learn)))))) (VP (VBD was) (SBAR (WHADJP (WRB how) (JJ deep)) (S (NP (DT the) (DT the) (NN hatred)) (VP (VBZ runs) (PP (IN toward) (NP (NNP Israel))) (PP (IN by) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS countries))))))))) (. .)))
[235],"(ROOT (S (NP (PRP They)) (ADVP (RB just)) (VP (VBP hate)) (, ,)))"
[236],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (, ,) (S (S (ADVP (RB anyway)) (NP (PRP they)) (VP (MD can))) (, ,) (NP (PRP you)) (VP (VB know))) (, ,) (NP (PRP they)) (VP (VP (MD can) (VP (VB see) (S (VP (TO to) (VP (VB connect) (PP (IN into) (NP (NN something)))))))) (CC and) (VP (VBP hate) (S (NP (PRP it)) (ADJP (RBR more)))))))) (, ,)))"
[237],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (NP (PRP they)) (ADVP (RB just))) (, ,)))"
[238],"(ROOT (S (NP (PRP I)) (VP (VBP understand) (SBAR (S (NP (NP (JJS most)) (PP (IN of) (NP (DT the) (NN land)))) (VP (VBZ is) (ADVP (RB now)) (NP (NNPS Israelis)))))) (, ,)))"
[234],(ROOT (S (NP (PRP I)) (VP (VBP know)) (. .)))
[240],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ true))) (. .)))
"[239, 241]","(ROOT (S (S (NP (PRP they)) (VP (VP (VBD bought)) (, ,) (CC and) (VP (ADVP (RB actually)) (VBD purchased) (NP (PRP it))))) (CC and) (ADVP (RB then)) (, ,) (CC and) (S (NP (RB then)) (VP (VP (VBD moved) (ADVP (RB in))) (CC and) (VP (VBD started) (NP (DT a) (NN country))))) (. .)))"
"[242, 244]","(ROOT (FRAG (S (ADVP (CC But)) (, ,) (S (INTJ (UH see)) (NP (PRP you)) (VP (VBP are) (ADVP (RB also)) (VP (VBG getting) (ADVP (RB back) (PP (IN to) (NP (NP (DT the) (ADJP (NP (NNS ages)) (JJ old)) (NN problem)) (PP (IN of) (NP (JJ Arab-Israeli) (NN conflict)))) (, ,) (ADVP (RB as) (RB far)))) (PP (IN as) (NP (NNS personalties)))))) (CC and) (S (NP (WP who)) (VP (VBZ is) (NP (NP (DT the) (VBN selected) (NN one)) (PP (IN of) (NP (NNP God)))))))))"
[243],(ROOT (INTJ (UH Right) (. .)))
[246],"(ROOT (INTJ (UH Yeah) (, ,)))"
[247],"(ROOT (FRAG (PP (UH right)) (, ,)))"
[248],(ROOT (INTJ (UH right)))
[245],(ROOT (S (CC and) (NP (PRP theirs)) (VP (VBP tie) (ADJP (RB so) (JJ much)) (PP (IN to) (NP (PRP$ their) (NN religion)))) (. .)))
