[0],"(ROOT (S (S (INTJ (INTJ (UH So)) (, ,) (INTJ (UH um) (, ,) (UH well))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB tell) (NP (PRP you))))) (, ,) (NP (PRP$ my) (NN situation)) (VP (VBZ is) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT an) (JJ elderly) (NN grandmother)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD did) (ADVP (RB just) (RB recently)) (VP (VB put) (PP (IN in) (NP (DT a) (NN nursing) (NN home))))))))))) (. .)))"
[94],"(ROOT (S (CC And) (NP (DT that)) (VP (VBZ happens) (NP (NP (NP (DT a) (NN lot)) (SBAR (WHADVP (WRB when)) (S (NP (NNS people)) (VP (VBP are) (ADJP (JJ sick)))))) (CC or) (NP (NP (PRP they)) (RRC (ADVP (RB just)) (NP (RB real) (NNS manic-depressants))))) (PRN (, ,) (S (NP (PRP they)) (VP (VBP end) (PRT (RP up)) (S (VP (VBG being) (S (VP (VB put) (PP (IN in) (NP (NNS homes))))))))) (, ,)))))"
[88],(ROOT (NP (: -)))
[95],"(ROOT (S (S (CC and) (NP (PRP it)) (VP (BES 's) (PP (IN like)))) (, ,) (FRAG (INTJ (UH oh) (, ,) (UH well))) (. .)))"
[97],"(ROOT (S (CC But) (ADVP (DT that)) (VP (BES 's)) (, ,)))"
[98],"(ROOT (S (NP (PRP it)) (VP (BES 's) (, ,) (S (NP (PRP it)) (ADVP (BES 's)))) (, ,)))"
[99],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB really) (JJ glad) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP come) (PP (IN from) (NP (NP (DT an) (NN area)) (FRAG (WHADVP (WRB where))))))))) (, ,) (INTJ (UH um)) (, ,) (SBAR (IN that) (S (NP (EX there)) (VP (BES 's) (NP (JJ good) (NNS people)) (PP (IN in) (NP (DT the) (NNS homes))))))) (. .)))"
[100],"(ROOT (S (CC But) (NP (PRP it)) (VP (BES 's) (ADVP (RB just)) (ADVP (IN as)) (, ,))))"
[101],"(ROOT (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB matter) (S (SBAR (IN if) (S (NP (PRP it)) (VP (VBZ is) (, ,) (SBAR (IN like) (S (NP (PRP you)) (VP (VBP say))))))) (, ,) (NP (DT the) (JJS best) (NN place)) (, ,) (NP (PRP they)) (ADVP (RB still)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (DT these) (NNS homes))))))))))) (. .)))"
[102],"(ROOT (FRAG (CC And) (NP (NP (PRP$ my) (NN grandmother) (BES 's) (RB real)) (, ,) (NP (EX there)) (, ,))))"
[103],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP she)) (VP (VBZ cries) (NP (DT every) (NN day))) (. .)))"
[104],"(ROOT (S (NP (DT This)) (VP (VBZ has) (VP (VBN been) (PP (IN over) (NP (DT a) (NN year))))) (, ,)))"
[105],(ROOT (S (CC and) (NP (PRP she)) (VP (VBZ tries) (S (VP (TO to) (VP (VB make) (S (NP (PRP me)) (VP (VB feel) (ADJP (RB really) (JJ guilty)))))))) (. .)))
[106],"(ROOT (S (CC But) (S (NP (PRP I)) (VP (VBP have) (S (VP (TO to))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB put) (NP (PRP$ my) (NN foot)) (ADVP (RB down)) (, ,) (SBAR (SBARQ (WHADVP (WRB where)) (, ,) (WHADVP (WRB where)) (SQ (NP (PRP$ my) (NN life)) (VP (VBZ begins)))))))))) (. .)))"
[107],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (S (SBAR (IN if) (S (NP (DT that)) (VP (VBD was) (NP (PRP$ my) (NN mother))))) (, ,) (NP (PRP I)) (VP (MD would) (ADVP (RB really)) (VP (VB feel) (S (NP (DT a) (NN lot)) (ADJP (RBR more) (JJ responsible))))))) (. .)))"
[108],(ROOT (S (NP (PRP I)) (VP (MD would) (ADVP (RB probably)) (VP (VB take) (NP (NP (NN care)) (PP (IN of) (NP (PRP$ my) (NN mother)))))) (. .)))
[109],"(ROOT (S (NP (PRP I)) (VP (VBP do) (ADJP (ADJP (RB n't) (RB really)) (PRN (, ,) (INTJ (UH um)) (, ,))))))"
[110],"(ROOT (FRAG (WHADVP (WRB when) (NP (PRP$ my) (NP (NP (NN father)) (PRN (, ,) (FRAG (WHADVP (WRB when)) (ADJP (NN something))) (, ,)))))))"
[111],"(ROOT (S (SBAR (IN if) (S (NP (NN anything)) (VP (VBZ happens) (PP (IN to) (NP (PRP him)))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB want) (S (NP (PRP him)) (VP (VB put) (PP (IN in) (NP (DT a) (NN nursing) (NN home))) (PP (RB just) (IN for) (NP (NP (DT the) (NN fact)) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB really)) (VP (VB want) (S (VP (TO to) (VP (VB go) (CC and) (VB visit) (NP (PRP him)) (PP (IN at) (NP (DT a) (NN nursing) (NN home)))))))))))))))) (. .)))"
[112],"(ROOT (FRAG (CC And) (ADVP (RB hopefully)) (SBAR (IN that) (S (NP (PRP he)) (VP (MD can) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VP (VB get) (ADVP (IN along)) (PP (IN with))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (JJ in-house) (NN help) (. .)))))))))"
[113],"(ROOT (S (ADVP (RB So)) (PRN (, ,) (S (NP (PRP he)) (VP (BES 's) (VP (VBG going) (PP (TO to) (S (S (ADVP (RB probably)) (, ,) (ADVP (RB hopefully)) (VP (VB set) (NP (PRP it)) (PRT (RP up)) (SBAR (IN so) (IN that) (S (NP (PRP he)) (VP (MD will) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB pay) (NP (NN someone)) (S (VP (TO to) (VP (VB come) (PP (IN in))))))))))))))) (CC and) (S (NP (NP (NN stay)) (PP (IN with) (NP (PRP him)))) (ADJP (RB probably) (PP (IN for) (NP (NP (CD sixteen) (NNS hours)) (NP (DT a) (NN day))))))))))) (, ,)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (PP (BES 's) (NP (DT the) (JJS best) (NN situation))))))) (, ,) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP 're) (PRN (, ,) (S (S (NP (PRP you)) (VP (VBP get) (ADJP (RB that) (JJ old)))) (CC and) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN been) (NP (JJ independent) (NP (PRP$ your) (JJ whole) (NN life))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB go) (PP (IN into) (NP (DT a) (NN home))))))))) (, ,)) (SBAR (IN because) (PRN (, ,) (SBAR (IN like) (S (NP (PRP I)) (VP (VBP say)))) (, ,)) (S (NP (PRP$ my) (NN father)) (VP (BES 's) (NP (CD eighty))))))))) (, ,))))))))"
[114],(ROOT (S (CC and) (NP (PRP he)) (VP (BES 's) (ADJP (RB really) (JJ active))) (. .)))
[115],"(ROOT (S (NP (PRP He)) (ADVP (RB still)) (VP (VBZ has) (NP (NP (PRP$ his) (NN driver) (POS 's)) (NN license)) (ADVP (RB here))) (, ,)))"
[116],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP you)) (VP (MD would) (RB n't) (VP (VB believe) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBZ does)))))) (. .)))"
[117],(ROOT (S (NP (PRP He)) (VP (NP (INTJ (UH actually)) (NP (NNS tows) (NNS cars)))) (. .)))
[96],(ROOT (INTJ (UH Yeah) (. .)))
[118],(ROOT (NP (NNP /CC)))
[120],"(ROOT (S (CC And) (, ,) (SBAR (IN as) (S (NP (DT the) (NNS years)) (VP (VBP go) (ADVP (RB on))))) (, ,) (NP (DT the) (NN tow) (NNS trucks)) (VP (VBD got) (ADJP (ADJP (JJR better)) (, ,) (ADJP (NP (JJR more)) (JJR easier)) (, ,)))))"
[121],(ROOT (PRN (CC and) (S (NP (PRP he)) (VP (VP (VBD went) (ADVP (RB out))) (CC and) (VP (VBD bought) (S (NP (PRP himself)) (NP (DT a) (JJ flat) (NN bed) (CD one))))))))
[119],X
[122],(ROOT (S (RB so) (NP (PRP he)) (VP (MD wo) (RB n't) (VP (VB have) (S (VP (TO to) (VP (VB do) (NP (RB very) (RB much) (NN work))))))) (. .)))
[124],"(ROOT (S (S (ADVP (RB So)) (NP (NP (NN someone)) (PP (IN like) (NP (NP (DT that)) (, ,) (NP (PRP they)))))) (, ,) (NP (PRP I)) (ADVP (RB really)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB see) (S (NP (PRP them)) (VP (VB go) (PP (IN in) (NP (DT a) (NN home)))))))))) (. .)))"
[125],"(ROOT (S (NP (PRP He)) (VP (HVS 's) (VP (VBN got) (NP (NP (CD two) (NNS dogs)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (NP (PRP$ his) (JJ constant) (NNS companions)))))))) (, ,)))"
[126],(ROOT (S (CC and) (NP (PRP he)) (ADVP (RB always)) (VP (VBZ replaces) (NP (PRP them))) (. .)))
[127],"(ROOT (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN had) (NP (UH like))))) (, ,) (S (PP (IN over) (NP (DT the) (JJ past) (CD thirty) (NNS years))) (NP (PRP I)) (VP (VBP 've) (VP (VBN had)))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (QP (RB about) (CD seven) (CC or) (CD eight)) (JJ different) (NNS dogs)) (NP (PDT all) (DT the) (NN time))) (. .)))"
[128],"(ROOT (FRAG (FRAG (CC And) (NP (PRP it))) (BES 's) (FRAG (PP (IN like)) (, ,))))"
[129],"(ROOT (S (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (NP (UH oops)))) (, ,)))))"
[130],(ROOT (SINV (NP (NNP Dad) (HVS 's)) (VP (VBN got) (NP (DT these) (CD two)))))
[131],(ROOT (FRAG (CC and) (NP (DT the) (JJ old) (NNS dies))))
[132],"(ROOT (FRAG (CC and) (NP (NP (DT the) (JJ young) (CD one)) (SBAR (S (VP (VBZ goes) (PP (IN for) (NP (DT a) (NN while)) (, ,))))))))"
[133],(ROOT (S (CC and) (NP (PRP he)) (VP (VBZ gets) (NP (DT another) (CD one))) (. .)))
[134],"(ROOT (S (RB So) (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB see) (NP (PRP him)) (ADVP (XX with-)) (, ,) (PP (IN without) (NP (PRP$ his) (NNS animals))))) (. .)))"
[123],X
[136],(ROOT (INTJ (UH Yes) (. .)))
"[135, 137]",(ROOT (S (SBAR (RB Even) (IN though) (S (NP (PRP it)) (VP (BES 's) (ADJP (RB very) (JJ expensive)) (S (VP (TO to) (VP (VB stay) (PP (IN at) (NP (NN home) (RB mentally))))))))) (NP (PRP it)) (VP (BES 's) (NP (NP (RB just) (DT the) (JJS best) (NN thing)) (PP (IN for) (NP (PRP you))))) (. .)))
[139],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP get) (PP (IN on) (IN in) (NP (NP (PRP$ your) (NNS years)) (SBAR (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT the) (JJ only) (NN thing)) (SBAR (S (NP (PRP you)) (ADVP (RB really)) (VP (VBP have))))))))))))) (, ,)))))"
[140],"(ROOT (S (S (CC and) (NP (PRP I)) (VP (VBP 'm) (VP (VBG thinking) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP get) (ADJP (JJR older))))) (, ,) (NP (PRP I)) (, ,) (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (IN if) (S (VP (VBN brought) (NP (DT all) (PRP$ my) (JJ precious) (NNS belongings)) (PP (IN with) (NP (PRP me))))))))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD could) (VP (VB live) (PP (IN in) (NP (DT a) (NN home)))))))) (. .)))"
[141],"(ROOT (S (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ selfish)))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (NP (DT a) (NN burden)) (PP (IN on) (NP (NN anyone)))) (. .)))"
[142],"(ROOT (S (NP (DT That)) (VP (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP think)))) (, ,) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP see) (SBAR (WHNP (WP what)) (S (NP (PRP$ my) (NN grandmother)) (VP (VBZ puts) (NP (PRP me)) (PP (IN through))))))))) (, ,)))"
[143],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP 'm) (VP (VBG saying) (SBAR (IN that) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP get) (ADJP (JJR older) (SBAR (S (NP (PRP I)) (VP (MD could) (ADVP (RB probably)) (VP (VB make) (NP (NP (DT the) (JJS best)) (PP (IN of) (NP (DT this) (NN place)))))))))))) (, ,) (NP (PRP I)) (VP (VBP mean)))))) (. .)))"
[144],"(ROOT (FRAG (CC And) (PP (IN of) (NP (NP (NN course)) (, ,) (NP (NP (PRP it)) (PP (BES 's) (NP (JJ institutional) (NN food)))) (, ,)))))"
[145],"(ROOT (PRN (CC and) (S (NP (NN everybody)) (VP (VBZ hates) (NP (PRP it))) (, ,))))"
[138],(ROOT (S (NP (PRP I)) (VP (VBP know)) (. .)))
[146],(ROOT (S (S (CC and) (NP (PRP it)) (VP (BES 's) (ADJP (RB so) (JJ ironic) (SBAR (S (VP (VBZ is) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP go) (PP (IN in) (NP (RB there)))))))))))) (CC and) (S (NP (PRP they)) (VP (VBP lose) (NP (NN weight)))) (. .)))
[148],"(ROOT (S (NP (PRP It)) (VP (BES 's) (ADVP (RB really)) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ bad) (NN thing)))) (, ,)))))"
[149],"(ROOT (S (CC but) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP go) (PP (IN into) (NP (DT the) (NNS homes)))))) (NP (PRP they)) (VP (VP (VBP lose) (NP (NN weight))) (, ,) (CC and) (VP (, ,) (ADVP (XX lik-)) (, ,) (SBAR (IN because) (S (PP (IN of) (NP (DT the) (JJ institutional) (NN food))) (, ,) (NP (PRP you)) (VP (VBP know)))))) (. .)))"
[150],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ fine)))))) (, ,)))"
[151],"(ROOT (S (ADVP (CC but)) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (S (NP (PRP$ my) (NN taste) (NNS buds)) (VP (VBP are) (ADVP (RB pretty)) (, ,) (INTJ (UH uh)) (, ,) (S (ADJP (JJ flexible))))) (, ,)))))"
[152],"(ROOT (S (S (CC and) (S (ADVP (RB here)) (NP (PRP they)) (VP (VBP are)))) (, ,) (NP (PRP they)) (VP (VBP 're) (ADVP (RB always)) (VP (VBN used) (PP (IN to) (NP (DT these) (GW old) (^JJ fashioned) (NNS foods))))) (. .)))"
[153],"(ROOT (S (NP (PRP They)) (VP (VBP 're) (UCP (ADJP (RB very) (VBN set) (PP (IN in) (NP (PRP$ their) (NNS ways)))) (CC and) (VP (VBN used) (S (VP (TO to) (VP (VB have) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (MD could) (VP (VB get) (PP (IN at) (NP (NN home))))))))))))) (, ,)))"
[147],(ROOT (INTJ (UH Yeah) (. .)))
[154],"(ROOT (S (CC and) (ADVP (RB now)) (NP (PRP they)) (VP (VBP 're) (VP (VBG feeding) (S (NP (PRP them)) (, ,) (INTJ (UH um)) (, ,) (NP (NP (NN quiche)) (CC and) (NP (NP (DT all) (NNS kinds)) (PP (IN of) (NP (NP (JJ strange) (NN food)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)))))))) (VP (MD would) (VP (VB eat)))))) (. .)))"
[156],"(ROOT (NP (RB Just) (, ,)))"
[157],"(ROOT (S (NP (PRP they)) (VP (VBP do) (RB n't) (VP (VB feed) (S (NP (PRP them)) (NP (NP (NP (DT the) (JJ old) (NNS people) (NN food)) (, ,) (NP (DT the) (NN chicken)) (CC and) (NP (NNS biscuits))) (, ,) (CC and) (NP (NP (NNS things)) (PP (IN like) (NP (DT that)))))))) (. .)))"
[155],(ROOT (INTJ (UH Yeah) (. .)))
[159],"(ROOT (INTJ (UH Yeah) (, ,)))"
[160],"(ROOT (S (NP (PRP$ my) (NN mother)) (VP (VBZ has) (VP (VBN made) (NP (JJ similar) (NNS statements)) (, ,) (SBAR (IN that) (S (NP (PRP she)) (VP (VBZ does) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB become) (NP (DT a) (NN burden)) (PP (IN to) (NP (DT the) (NN family)))))))))))) (. .)))"
[161],"(ROOT (S (S (S (NP (PRP You)) (VP (VBP know))) (, ,) (ADVP (RB Just)) (VP (VP (VB put) (NP (PRP me)) (ADVP (IN out) (PP (IN to) (NP (NN pasture))))) (, ,) (CC or) (VP (VB shoot) (NP (NP (PRP me)) (, ,) (CC or) (NP (NN something)))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[158],"(ROOT (S (NP (NP (DT That) (BES 's)) (, ,) (SBAR (WHNP (WHNP (DT that)) (PP (BES 's) (NP (DT the) (NN thing)))) (S (NP (PRP$ my) (NN grandmother)) (ADVP (RB really)) (VP (VBZ misses) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP mean))))))) (, ,)) (ADVP (RB really)) (VP (VBZ growls) (PP (IN about))) (. .)))"
[162],(ROOT (NP (NNP /UH)))
[164],(ROOT (S (NP (XX MUMBLEx)) (VP (VBP are) (NP (NP (DT the) (NNS lines)) (SBAR (WHNP (WDT that)) (S (VP (VBP come) (PP (IN from) (NP (PRP$ her)))))))) (. .)))
[163],X
[166],(ROOT (INTJ (UH Oh) (. .)))
[169],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[170, 172]","(ROOT (S (NP (PRP I)) (VP (VBP know) (, ,) (ADVP (IN if)) (, ,) (SBAR (IN if) (, ,) (S (SBAR (IN if) (S (NP (NNS people)) (VP (VP (MD would) (VP (VB think) (ADVP (RB ahead)) (PP (IN of) (NP (NN time))))) (CC and) (VP (VBP do) (NP (NNS things)) (PP (IN like) (NP (DT that))) (, ,) (PP (IN like) (S (VP (VP (VB build) (NP (DT the) (NN in-law) (NN apartment))) (CC and) (VP (VBP have) (NP (PRP it)) (PP (IN on)))))))))) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (NP (NP (CD one) (NN floor)) (CC and) (NP (ADJP (RB really) (JJ easy)) (NN access))))))) (. .)))"
[173],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT that)) (VP (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG telling) (NP (PRP$ my) (NN father)) (ADVP (RB now))))))) (. .)))"
[174],"(ROOT (S (NP (PRP He)) (VP (VBZ needs) (NP (NP (DT a) (JJ new) (NN floor)) (PP (IN in) (NP (PRP$ his) (NN bathroom))))) (, ,)))"
