[0],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT this)) (VP (VBZ is) (ADVP (RB kind) (RB of)) (ADJP (JJ ironic)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP work) (PP (IN in) (NP (NP (NNP T) (NNP I) (POS -s)) (JJ legal) (NN department))))))) (. .)))"
"[111, 113]","(ROOT (S (CC And) (, ,) (SBAR (XX MUMBLEx) (S (NP (DT that)) (VP (VBD was) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBP 're) (RB not) (VP (VBN allowed) (PP (IN to)))))))))))) (, ,) (VP (VBD was) (RB not) (VP (VBN allowed) (PP (IN in) (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN trial))) (PRN (S (NP (PRP I)) (VP (VBD went) (PP (IN to)))) (, ,))))))"
[114],"(ROOT (S (ADVP (RB though)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (NP (CD one)) (PP (IN of) (NP (DT the) (CD two) (NNS people)))) (SBAR (WHNP (WP who)) (S (VP (VBD gave) (NP (NP (DT the)) (VP (VBN perjured) (NP (NN testimony))))))) (, ,)) (VP (VP (VBD had) (NP (DT a) (JJ long) (JJ criminal) (NN record))) (CC and) (VP (VBD had) (VP (VBN been))))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (DT a) (JJ real) (NN sleaze)) (NP (NN bag))) (. .)))"
[116],"(ROOT (S (CC And) (NP (PRP he)) (VP (VP (VBD came) (PP (IN in))) (CC and) (VP (VBD was) (VP (VBN presented) (PP (IN to) (NP (DT the) (NN court))) (PP (IN as) (NP (DT a) (XX MUMBLEx))) (S (VP (VBG standing) (NP (NP (JJ young) (NN man)) (SBAR (WHNP (WDT who)) (S (VP (VBD had) (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (VBN been)))))) (PP (IN in) (NP (NN seminary))) (S (VP (TO to) (VP (VB become) (NP (DT a) (NN priest))))))) (, ,))))))"
[117],"(ROOT (FRAG (CC and) (ADVP (, ,))))"
[120],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP happen) (S (VP (TO to) (VP (VB know) (NP (PRP$ his) (NN background))))))))
[112],(ROOT (INTJ (UH Yeah) (. .)))
[121],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP know) (SBAR (IN that) (S (NP (PRP he)) (VP (MD would) (VP (VB have) (VP (VBN sold) (PRT (RP out)) (NP (NP (PRP$ his) (NN mother)) (PP (IN for) (PRN (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,)) (NP (JJR shorter) (NN sentence)))))))))) (. .)))"
[123],"(ROOT (S (CC And) (, ,) (ADVP (PRP you)) (VP (VP (VBP know)) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's))) (, ,)) (NP (NP (PRP it)) (VP (BES 's) (S (ADJP (RB really) (JJ annoying))) (SBAR (WHADVP (WRB when)) (FRAG (NP (DT the))))))) (, ,)))"
[124],(ROOT (S (S (NP (PRP I)) (VP (VBD asked) (NP (DT the) (NN defense) (NN attorney)) (ADVP (RB later)) (SBAR (WHADVP (WRB why)) (S (NP (PRP he)) (VP (VBD did) (RB n't) (VP (VB bring) (PRT (RP up)) (NP (PDT all) (DT this) (JJ other) (NN trouble)))))))) (NP (DT the) (NN guy)) (VP (VBD had) (VP (VBN been) (PP (IN in)))) (. .)))
[122],(ROOT (INTJ (UH Jeez) (. .)))
[125],"(ROOT (S (NP (PRP He)) (VP (VBD said) (SBAR (IN that) (, ,) (S (NP (WDT that)) (VP (VBD was) (VP (VBN barred) (S (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (IN by) (NP (DT the) (NN court)))))))))) (. .)))"
[127],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP we)) (VP (VBP do) (VP (VB have) (NP (DT some) (NNS problems))))))"
[126],"(ROOT (FRAG (PP (UH Um)) (, ,)))"
"[128, 130]","(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBZ seems) (PP (IN to) (NP (PRP me))) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (S (ADVP (RB maybe)) (NP (PRP it)) (VP (BES 's) (FRAG (NP (NN time)) (S (VP (TO to) (VP (VP (ADVP (RB just)) (VB scrap) (NP (PDT all) (DT the) (NN case) (NN law))) (CC and) (VP (VP (VB go) (FRAG (ADVP (RB back) (PP (IN to) (NP (JJ general) (NNS principles)))) (. .))) (CC and) (VP (VB start) (PRT (RP over))))))) (. .)))) (S (CC And) (VP (ADVP (RB then)) (VB make) (NP (NP (DT a) (JJ legal) (NN system)) (SBAR (WHNP (WDT that)) (S (ADVP (RB carefully)) (VP (VBZ protects) (NP (NNS people))))))))))))))"
[129],X
[132],"(ROOT (INTJ (UH Yeah) (, ,)))"
[131],"(ROOT (S (NP (CC but)) (VP (, ,) (NP (UH uh)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP you))))) (, ,)))"
[133],"(ROOT (S (NP (PRP I)) (VP (MD 'd) (ADVP (RB even)) (VP (VB go) (PP (IN for)) (, ,) (PP (IN for) (S (VP (VBG trying) (S (VP (TO to) (VP (VB get) (NP (DT some) (NN truth)) (ADVP (IN out) (PP (IN of) (NP (DT the) (NN witness) (NN stand)))) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP come) (PRT (RP up)) (PP (IN with) (NP (NP (DT some) (ADJP (ADJP (RB pretty) (JJ reliable)) (PRN (, ,) (INTJ (UH uh) (, ,) (UH um)) (, ,))) (NN lie) (NN detector) (NNS tests)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (MD can) (VP (VB see) (ADVP (RB right) (RB then) (CC and) (RB there)) (SBAR (IN whether) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG lying) (CC or) (VBG telling) (NP (DT the) (NN truth))))))))))))))))))))))) (. .)))"
[134],(ROOT (INTJ (UH Yeah) (. .)))
[136],"(ROOT (INTJ (UH Yeah) (, ,)))"
[135],X
[137],(ROOT (S (NP (DT that)) (VP (MD would) (VP (VB be) (ADJP (JJ wrongful)))) (. .)))
[138],"(ROOT (S (INTJ (UH Yeah)) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[140],"(ROOT (INTJ (UH Yeah) (, ,)))"
[141],"(ROOT (S (NP (PRP I)) (VP (VBD witnessed) (NP (CD one) (NN trial)) (ADVP (NP (JJ many) (NNS years)) (RB ago)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD was) (ADVP (ADVP (JJ first)) (PRN (, ,) (INTJ (UH um)) (, ,))) (VP (VBG studying) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN paralegal))))))))))))"
[142],"(ROOT (S (CC and) (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,) (NP (PRP they)) (VP (VBD barred) (NP (NNS priors)) (PP (IN on) (NP (DT this))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN person)))"
[139],(ROOT (S (NP (RB Sure)) (VP (MD would)) (. .)))
[143],"(ROOT (S (CC and) (NP (PRP they)) (ADVP (RB never)) (VP (VP (ADVP (RB then)) (VBD told) (NP (PRP us))) (PRN (, ,) (S (NP (PRP I)) (VP (VBP guess))) (, ,)) (SBAR (IN because) (S (NP (NNS priors)) (VP (VBD had) (NP (DT a) (NN reason)) (PP (IN as) (PP (IN to) (SBAR (WHADVP (WRB why)) (S (NP (DT these) (CD two) (NNS people)) (VP (VBD were) (ADJP (RB very) (RB much) (PP (IN in) (NP (NP (NN hatred)) (PP (IN of) (NP (DT each) (JJ other))))))))))))))) (. .)))"
[145],(ROOT (S (CC And) (NP (PRP they)) (ADVP (RB never)) (VP (VBD told) (NP (PRP us)) (SBAR (WHADVP (WRB why)) (S (NP (DT these) (CD two) (NNS people)) (VP (VBD had) (NP (NP (PDT such) (DT a) (NN vendetta)) (PP (IN against) (NP (DT each) (JJ other))))))))))
[144],(ROOT (INTJ (UH Um) (. .)))
[146],"(ROOT (FRAG (CC and) (NP (DT the) (NN crime) (SBAR (S (VP (VBD was) (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,) (S (NP (NN attempt)) (VP (TO to) (VP (VB commit) (NP (NN murder)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)))))))))))"
[148],(ROOT (S (CC but) (NP (PRP they)) (ADVP (RB never)) (VP (VBD told) (NP (PRP us)) (SBAR (WHADVP (WRB why)) (S (NP (DT these) (NNS people)) (VP (VBD were) (ADJP (JJ mad) (PP (IN at) (NP (DT each) (JJ other))))))))))
[149],"(ROOT (FRAG (PP (CC and) (NP (UH gee))) (, ,) (NP (NP (PRP you)) (SBAR (S (VP (VBP know)) (, ,))))))"
[147],(ROOT (INTJ (UH Um) (. .)))
[150],"(ROOT (S (NP (DT that)) (VP (BES 's)) (, ,)))"
[152],"(ROOT (INTJ (UH Yeah) (, ,)))"
[153],"(ROOT (S (NP (PRP you)) (VP (VBP know) (SBAR (S (, ,) (SBAR (IN because) (S (NP (PRP they)) (PRN (, ,) (S (NP (PRP they)) (VP (VBD told) (NP (PRP us)) (PP (IN in) (NP (NN school))) (SBAR (IN that) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (S (NP (NN crime)) (VP (VBZ has) (S (VP (TO to) (VP (VB be) (NP (DT an) (NN intent)))))))))) (, ,)) (NP (PRP you)) (VP (VBP know)))) (, ,) (VP (VBZ has) (S (VP (TO to) (VP (VB be) (ADVP (RB not) (NP (RB just) (DT the) (NN act))) (SBAR (CC but) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to) (VP (VB intend) (S (VP (TO to) (VP (VB do) (NP (PRP it))))))))))))))))))))"
[151],(ROOT (S (CC And) (NP (PRP you)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (MD would) (VP (VB be) (ADJP (JJ relevant))))))) (. .)))
[154],"(ROOT (SBAR (IN because) (S (NP (EX there)) (VP (MD could) (VP (VB be) (NP (NP (JJ accidental) (NN kind)) (PP (IN of) (NP (NP (NNS things)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))))))"
[156],"(ROOT (S (CC but) (NP (PRP they)) (ADVP (RB never)) (VP (VBD told) (NP (PRP us)) (SBAR (SBAR (WHADVP (WRB why)) (S (NP (DT these) (CD two) (NNS people)) (, ,) (VP (VBD hated) (NP (PRP themselves))))) (CC or) (SBAR (S (SBAR (IN if) (S (NP (PRP one)) (VP (VBD had) (VP (VBN done) (NP (NN something)) (PP (TO to)))))) (, ,) (NP (PRP you)) (VP (VBP know)))) (, ,) (S (ADVP (RB really)) (VP (VBP aggravate) (NP (DT the) (JJ other))))))))"
[155],(ROOT (INTJ (UH Right) (. .)))
"[157, 159]","(ROOT (S (NP (EX there)) (VP (VBD was) (ADVP (RB never)) (NP (NP (DT any) (NN motive)) (, ,) (VP (VBN given))))))"
[160],"(ROOT (S (CC and) (, ,) (NP (CC and)) (ADVP (PRP I)) (VP (VBD had) (NP (NP (DT a) (JJ tough) (NN time)) (PP (IN with) (NP (DT that)))))))"
[158],(ROOT (INTJ (UH Uh-huh) (. .)))
[162],(ROOT (INTJ (UH Uh-huh) (. .)))
[164],"(ROOT (INTJ (UH Yeah) (, ,)))"
"[161, 163]","(ROOT (S (CC and) (, ,) (S (CC and) (S (S (VP (VBG being) (NP (NP (DT a) (NN person)) (SBAR (WHNP (WDT who)) (S (VP (VBD saw) (SBAR (WHNP (WP what)) (S (NP (DT the) (NN jury)) (VP (VBD did) (RB n't) (VP (ADVP (CC plus)) (SBAR (WHNP (WP what)) (S (NP (DT the) (NN jury)) (VP (VBD did) (, ,) (SBAR (IN because) (S (NP (PRP we)) (VP (VBD were) (ADVP (RB just)) (VP (VBG observing)))))))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (ADVP (RB there) (PP (IN in) (NP (DT the) (NN courtroom)))) (, ,) (PP (IN at) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (PRP it) (DT all)))))))) (, ,) (NP (PRP I)) (ADVP (RB still)) (VP (VBD did) (RB n't) (VP (VB know))) (. .)))"
[166],(ROOT (FRAG (S (NP (PRP I)) (ADVP (RB still)) (VP (VBP have) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ reasonable) (NNS doubts))))))))
[167],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN seen) (NP (NP (NN everything)) (VP (VBN presented))))))))
[165],(ROOT (INTJ (UH right) (. .)))
[168],"(ROOT (S (CC and) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (PRP they)) (ADVP (RB just)) (VP (VBP have) (RB n't) (VP (VBN done) (NP (DT a) (ADJP (RB real) (JJ complete)) (NN case)) (ADVP (RB here)) (PP (IN to) (NP (PRP$ my) (NN thinking))))) (. .)))"
[169],(ROOT (INTJ (UH Uh-huh) (. .)))
[171],"(ROOT (S (NP (PRP I)) (VP (VBP think) (ADVP (RB so))) (, ,)))"
"[170, 173]","(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP want) (S (VP (TO to))) (, ,) (S (VP (VB sit) (PP (IN on) (NP (NP (DT a) (NN jury)) (PP (IN like) (NP (DT that))))))))))))))"
[174],"(ROOT (PRN (CC and) (S (S (NP (PRP you)) (VP (MD 'd) (ADVP (RB still)))) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))"
[172],"(ROOT (FRAG (PP (CC and) (NP (PRP I))) (, ,)))"
[176],"(ROOT (INTJ (UH Yeah) (, ,)))"
[175],(ROOT (S (NP (PRP I)) (VP (VBP want) (VP (VB ask) (NP (DT some) (NNS questions)) (ADVP (RB here)))) (. .)))
[177],(ROOT (S (NP (NP (DT that) (BES 's) (NN something)) (SBAR (S (NP (PRP I)) (VP (VBD thought))))) (VP (MD would) (VP (VB be) (NP (NP (DT a) (ADJP (RB very) (JJ good)) (NN idea)) (PP (IN of) (SBAR (WHADVP (WRB when)) (S (NP (NNS juries)) (VP (VBP come) (SBAR (IN in) (S (NP (PRP they)) (VP (VBP are) (VP (VBN told) (ADVP (RB just)) (S (VP (TO to) (VP (VP (VB shut) (PRT (RP up))) (CC and) (VP (VB listen)))))))))))))))) (. .)))
[178],(ROOT (INTJ (UH Uh-huh) (. .)))
[180],(ROOT (INTJ (UH Uh-huh) (. .)))
"[179, 181]","(ROOT (S (CC And) (NP (PRP it)) (VP (VBZ seems) (PP (IN to) (NP (PRP me))) (SBAR (IN that) (S (NP (PRP you)) (VP (MD 'd) (VP (VB get) (NP (NP (ADJP (ADJP (NP (DT a) (NN lot)) (JJR more)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN information) (SBAR (IN if) (S (NP (PRP$ your) (NNS questions)) (VP (VBD were) (VP (VBN heard) (, ,) (SBAR (SBAR (IN if) (S (NP (PRP you)) (VP (VBD were) (VP (VBN allowed) (S (VP (TO to) (VP (VB ask) (NP (DT the) (NNS witnesses) (NNS things))))))))) (, ,) (CC or) (FRAG (ADJP (IN if))))))))) (, ,) (CC or) (NP (NP (DT the) (NNS lawyers) (NNS things)) (CC or) (NP (RB even) (DT the) (NN judge))))))))) (. .)))"
[182],(ROOT (INTJ (UH Right) (. .)))
[184],(ROOT (INTJ (UH Right) (. .)))
[185],"(ROOT (INTJ (UH Yeah) (, ,)))"
[183],(ROOT (FRAG (CC But) (ADVP (RB particularly) (NP (DT the) (NNS witnesses))) (. .)))
[187],"(ROOT (FRAG (CC Or) (PP (IN if) (S (NP (PRP they)) (VP (MD would) (VP (VB allow) (NP (PRP them)) (PP (TO to)) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB give) (NP (JJR broader) (NNS answers)) (, ,) (NP (PRP they)) (, ,)))))))))"
[188],"(ROOT (S (NP (PRP it)) (VP (BES 's) (ADVP (RB really)) (VP (ADVP (ADVP (RB kind) (RB of)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VBN choreographed))) (. .)))"
[189],(ROOT (S (NP (PRP It)) (VP (BES 's) (SBAR (IN like) (S (NP (DT a) (NN script)) (VP (VBZ has) (VP (VBN been) (VP (VBN written) (SBAR (WHADVP (WRB when)) (S (NP (NNS people)) (VP (VBP testify)))))))))) (. .)))
[186],"(ROOT (FRAG (S (VP (VBP allow) (S (NP (PRP them)) (VP (TO to))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VP (VP (VB go) (ADVP (RB back))) (CC and) (, ,) (CC and) (VP (VB deliberate) (S (ADVP (CC and)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP know))))) (, ,) (SBAR (IN after) (S (NP (DT each) (NNS days) (NNS proceedings)) (VP (VBP come) (PRT (RP out)) (PP (IN with) (NP (NP (DT some) (NNS questions)) (SBAR (WHNP (WDT that)) (S (S (NP (PRP they)) (VP (VBP want) (VP (VBN answered) (PP (IN like) (NP (DT the) (JJ next) (NN day)))))) (PRN (, ,) (S (VP (VB bring) (NP (DT those) (NNS people)) (ADVP (RB back)))) (, ,)))))))))))))))"
[190],"(ROOT (S (NP (PRP They)) (VP (VBP are) (RB n't) (VP (VBG testifying) (ADVP (RB really)) (PP (IN in) (NP (PRP$ their) (JJ own) (NNS words))))) (, ,)))"
[192],"(ROOT (INTJ (UH Yeah) (, ,)))"
