conversation_no,talk_day,length,topic_description,prompt,from_caller_sex,from_caller_education,from_caller_birth_year,from_caller_dialect_area,to_caller_sex,to_caller_education,to_caller_birth_year,to_caller_dialect_area,from_caller_id,to_caller_id
20306,911203,565,  talking to friend  ,,FEMALE,9,1951,East Anglian,FEMALE,9,1939,East Anglian,PS0FP,PS0GA
20401,911203,257,  talking  ,,FEMALE,9,1951,East Anglian,MALE,9,1951,East Anglian,PS0FP,PS0FS
20504,911205,237,  going to school  ,,FEMALE,9,1951,East Anglian,MALE,9,1981,East Anglian,PS0FP,PS0FR
50402,920113,341,  having breakfast  ,,FEMALE,9,1952,Central Midlands,MALE,9,1982,Central Midlands,PS0SB,PS0SC
50403,920113,103,  having breakfast  ,,FEMALE,9,1952,Central Midlands,MALE,9,1982,Central Midlands,PS0SB,PS0SC
51103,920117,244,  visiting mother  ,,FEMALE,9,1940,Central Midlands,FEMALE,9,1952,Central Midlands,PS0SJ,PS0SB
71901,920402,805,  having tea  ,,FEMALE,9,1917,Lancashire,MALE,9,1917,Lancashire,PS1A9,PS1AA
71903,920402,21,  working around the house  ,,FEMALE,9,1917,Lancashire,FEMALE,9,1940,Central Northern England,PS1A9,PS1AC
72001,920404,62,  housework and cooking  ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS1AA,PS1A9
72101,920407,761,  having tea  ,,FEMALE,9,1917,Lancashire,MALE,9,1917,Lancashire,PS1A9,PS1AA
72102,920407,50,  having tea  ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS1AA,PS1A9
72103,920407,1287,  having tea  ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS1AA,PS1A9
54110,920111,0,  talking with children  ,,MALE,9,1962,Welsh,MALE,9,1982,Welsh,PS0DL,PS0DT
54204,920112,0,Unspecified,,MALE,9,1962,Welsh,FEMALE,9,1962,Welsh,PS0DL,PS0DM
2001,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2002,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2003,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2004,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2005,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2006,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2009,910531,0,Unspecified,,FEMALE,9,1939,London,FEMALE,9,1951,London,PS101,PS102
2011,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2012,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2017,910531,0,Unspecified,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2018,910531,0,Unspecified,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2116,910501,105, work ,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2118,910531,28, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2119,910531,101, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2121,910531,40, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2122,910531,17, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2123,910531,355, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2124,910531,18, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2125,910531,20, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2127,910531,34, work ,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2128,910531,15, work ,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2129,910531,21, work ,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2130,910531,85, work ,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2131,910531,15, work ,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2201,910531,0,Unspecified,,MALE,9,1939,Home Counties,MALE,9,1961,London,PS05X,PS104
2202,910531,0,Unspecified,,MALE,9,1961,London,MALE,9,1939,Home Counties,PS104,PS05X
2203,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2204,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2205,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2206,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2207,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2208,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2209,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2210,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2211,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2212,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2213,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2214,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2215,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2216,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2217,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2218,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2219,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2220,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2221,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2223,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2224,910531,0,Unspecified,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2225,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2226,910531,0,Unspecified,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2227,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2228,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2230,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2231,910531,0,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2232,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2233,910531,0,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2301,910531,12,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2303,910531,26,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2304,910531,50,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2305,910531,12,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2306,910531,156,Unspecified,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2307,910531,18,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2308,910531,210,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2309,910531,25,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2310,910531,315,Unspecified,,FEMALE,9,1951,London,MALE,9,1939,Home Counties,PS102,PS05X
2311,910531,36,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2312,910531,116,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2313,910531,61,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1951,London,PS05X,PS102
2315,910531,16,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2317,910531,230,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2318,910531,24,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2319,910531,39,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2320,910531,27,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2321,910531,78,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2322,910531,32,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2323,910531,14,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2324,910531,51,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2325,910531,70,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2326,910531,30,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2327,910531,18,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2328,910531,55,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2329,910531,150,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2330,910531,19,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2331,910531,175,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2332,910531,40,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2333,910531,205,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2334,910531,195,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2401,910531,20,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1961,London,PS05X,PS103
2402,910531,23,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2403,910531,17,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2404,910531,88,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2405,910531,45,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2406,910531,45,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2407,910531,28,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2408,910531,28,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1961,London,PS05X,PS103
2409,910531,19,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2412,910531,44,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2413,910531,23,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2415,910531,65,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2416,910531,41,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2417,910531,55,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2418,910531,55,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2419,910531,30,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2420,910531,90,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2421,910531,21,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2422,910531,24,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2501,910531,46,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2502,910531,17,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2503,910531,83,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2504,910531,62,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2505,910531,14,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2506,910531,150,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2507,910601,23,Unspecified,,MALE,9,1939,Home Counties,UNKNOWN,9,1789,UNK,PS05X,KBKPSUNK
2508,910601,16,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2509,910601,17,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2601,910601,47,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2602,910601,20,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2603,910601,37,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2604,910601,56,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2605,910601,36,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2606,910601,127,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2607,910601,602,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2608,910601,80,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2609,910601,190,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2611,910601,57,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2612,910601,74,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2613,910601,98,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2614,910601,65,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2615,910601,455,Unspecified,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2616,910601,28,Unspecified,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2617,910601,58,Unspecified,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2618,910601,806,Unspecified,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2619,910601,190,Unspecified,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2620,910601,66,Unspecified,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2622,910601,616, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2701,910601,69, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2702,910601,25, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2703,910601,395, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2704,910601,32, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2705,910601,224, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2706,910601,60, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2707,910601,148, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2708,910601,233, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2709,910601,39, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2710,910601,60, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2711,910601,94, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2712,910601,67, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2713,910601,55, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2714,910601,38, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2715,910601,54, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2716,910601,18, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2717,910601,60, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2718,910601,51, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2719,910601,20, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2720,910601,24, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2721,910601,26, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2722,910601,58, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2723,910601,184, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2724,910601,103, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2725,910601,33, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2801,910601,138, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2802,910601,36, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2803,910601,33, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2804,910601,38, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2805,910601,33, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2807,910601,34, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2808,910601,286, playing croquet ,,MALE,9,1939,London,MALE,9,1939,Home Counties,PS107,PS05X
2809,910601,26, playing croquet ,,MALE,9,1939,Home Counties,MALE,9,1939,London,PS05X,PS107
2813,910601,26,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1961,London,PS05X,PS103
2814,910601,96,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1961,London,PS05X,PS103
2901,910601,140,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2902,910601,329,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2903,910601,34,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2905,910601,260,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2907,910601,43,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2908,910601,82,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2910,910601,20,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2911,910601,46,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2912,910601,162,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2914,910601,409,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2915,910601,35,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2917,910601,74,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
2918,910601,64,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2921,910601,66,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2922,910601,173,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2923,910601,52,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
2925,910601,216,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
3002,910601,58,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
3005,910601,55,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
3006,910601,224,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
3007,910601,60,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
3008,910601,74,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
3009,910601,21,Unspecified,,MALE,9,1939,Home Counties,FEMALE,9,1939,London,PS05X,PS101
3011,910601,46,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
3012,910601,56,Unspecified,,FEMALE,9,1939,London,MALE,9,1939,Home Counties,PS101,PS05X
406,910517,59,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
408,910517,23,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
413,910517,35,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
415,910517,88,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1961,Central Northern England,PS0NJ,PS0NB
416,910517,42,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NJ
505,910517,47,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NJ
510,910517,340,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NJ
513,910517,43,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
601,910517,30,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0ND
607,910517,42,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,KDPPSUNK
611,920517,20,Unspecified,,MALE,9,1962,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0ND
613,920517,90,Unspecified,,MALE,9,1962,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
701,920518,58,Unspecified,,MALE,9,1962,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0ND
801,920518,103,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Central Northern England,PS0NC,PS0NB
803,920518,24,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Central Northern England,PS0NC,PS0NB
805,920518,39,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Central Northern England,PS0ND,PS0NB
808,920518,73,Unspecified,,MALE,9,1962,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
810,920518,12,Unspecified,,MALE,9,1962,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0ND
811,920518,156,Unspecified,,MALE,9,1962,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0ND
902,910518,30,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
904,910518,44,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
905,910518,14,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
906,910518,148,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NC
907,910518,484,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NE
908,910518,11,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NE
909,910518,16,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1961,Central Northern England,PS0NE,PS0NB
910,910518,70,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NE
911,910518,465,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NE
912,910518,57,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NE
913,910518,160,Unspecified,,MALE,9,1961,Central Northern England,UNKNOWN,9,1789,UNK,PS0NB,PS0NE
75801,920402,238, having tea ,,MALE,9,1962,Central Northern England,FEMALE,9,1962,Central Northern England,PS1CE,PS1CF
75802,920403,897, watching it rain and drinking tea ,,MALE,9,1962,Central Northern England,MALE,9,1962,Central Northern England,PS1CG,PS1CE
55402,920115,0, with housemates at home ,,FEMALE,9,1972,Home Counties,FEMALE,9,1972,Home Counties,PS0BK,PS0BL
55405,920113,0, talking ,,FEMALE,9,1972,Home Counties,FEMALE,9,1972,Home Counties,PS0BK,PS0BL
55406,920113,0, talking ,,FEMALE,9,1972,Home Counties,FEMALE,9,1972,Home Counties,PS0BK,PS0BL
51304,920113,0, eating ,,UNKNOWN,9,1789,UNK,MALE,9,1972,Midlands,KD6PSUNK,PS0KN
55601,920111,0, having breakfast ,,MALE,9,1962,Merseyside,FEMALE,9,1972,Central Northern England,PS0BA,PS0BB
55602,920111,0, travelling to work ,,MALE,9,1972,Midlands,MALE,9,1962,Merseyside,PS0BC,PS0BA
55603,920111,0, travelling to work ,,MALE,9,1972,Midlands,MALE,9,1962,Merseyside,PS0BC,PS0BA
55704,920113,0,Unspecified,,UNKNOWN,9,1789,UNK,MALE,9,1962,Merseyside,KC6PSUNK,PS0BA
67104,920207,93,  putting child tobed  ,,FEMALE,9,1962,Scottish,MALE,9,1982,Scottish,PS52U,PS52V
26503,920313,1245, in garden ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS065,PS066
26504,920313,396, in garden ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS065,PS066
26505,920314,346, in garden ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS065,PS066
26506,920314,1458, meal time in garden ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS065,PS066
26507,920314,679, doing crossword ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS065,PS066
26603,920319,449, getting information on property ,,MALE,9,1917,Lancashire,UNKNOWN,9,1789,UNK,PS065,KBPPSUNK
26606,920319,90, moving car ,,MALE,9,1917,Lancashire,FEMALE,9,1917,Lancashire,PS065,PS066
26607,920319,146, talking to car park attendant ,,UNKNOWN,9,1789,UNK,MALE,9,1917,Lancashire,KBPPSUNK,PS065
26608,920319,12, chatting ,,MALE,9,1917,Lancashire,UNKNOWN,9,1789,UNK,PS065,KBPPSUNK
26609,920319,45, talking ,,FEMALE,9,1917,Lancashire,MALE,9,1917,Lancashire,PS066,PS065
