17201,"(0,)",He wants to do this rap thing doesn 't he ?,"[He/PRP, wants/VBZ, to/TO, do/VB, this/DT, rap/NN, thing/NN, doesn/JJ, 't/PRP, he/PRP, ?/.]",(ROOT (S (NP (PRP He)) (VP (VBZ wants) (S (VP (TO to) (VP (VB do) (S (NP (NP (DT this) (NN rap) (NN thing)) (ADJP (JJ doesn) (NP (PRP 't)))) (NP (PRP he))))))) (. ?)))
17201,"(120,)","will it , so it 's all gotta","[will/MD, it/PRP, ,/,, so/IN, it/PRP, 's/VBZ, all/DT, gotta/NNP]","(ROOT (SINV (MD will) (NP (PRP it)) (VP (, ,) (SBAR (IN so) (S (NP (PRP it)) (VP (VBZ 's) (NP (DT all) (NNP gotta))))))))"
17201,"(121,)",No,[No/DT],(ROOT (FRAG (NP (DT No))))
17201,"(122,)",be done this year,"[be/VB, done/VBN, this/DT, year/NN]",(ROOT (S (VP (VB be) (VP (VBN done) (NP (DT this) (NN year))))))
17201,"(123, 124)",she 's  it could 've been saying,"[she/PRP, 's/VBZ, it/PRP, could/MD, 've/VB, been/VBN, saying/VBG]",(ROOT (S (NP (PRP she)) (VP (VBZ 's) (SBAR (S (NP (PRP it)) (VP (MD could) (VP (VB 've) (VP (VBN been) (VP (VBG saying))))))))))
17201,"(125, 126)","well it she could 've been done last year but  we 've not done this year , be gone .","[well/RB, it/PRP, she/PRP, could/MD, 've/VB, been/VBN, done/VBN, last/JJ, year/NN, but/CC, we/PRP, 've/VBP, not/RB, done/VBN, this/DT, year/NN, ,/,, be/VB, gone/VBN, ./.]","(ROOT (S (S (PP (RB well) (NP (PRP it))) (NP (PRP she)) (VP (MD could) (VP (VB 've) (VP (VBN been) (VP (VBN done) (NP (JJ last) (NN year))))))) (CC but) (S (NP (PRP we)) (VP (VBP 've) (RB not) (VP (VBN done) (NP (DT this) (NN year)) (, ,) (S (VP (VB be) (VP (VBN gone))))))) (. .)))"
17201,"(127, 128, 129)","No  it 's funny unle- I Mum says is it something that 's just been published this year  you know , like if someone just published  ","[No/DT, it/PRP, 's/VBZ, funny/JJ, unle-/NN, I/PRP, Mum/VBP, says/VBZ, is/VBZ, it/PRP, something/NN, that/WDT, 's/VBZ, just/RB, been/VBN, published/VBN, this/DT, year/NN, you/PRP, know/VBP, ,/,, like/IN, if/IN, someone/NN, just/RB, published/VBN]","(ROOT (S (NP (DT No) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (JJ funny) (NN unle-)) (SBAR (S (NP (PRP I)) (VP (VBP Mum) (SBAR (S (VP (VBZ says))))))))))) (VP (VBZ is) (NP (NP (PRP it) (NN something)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (ADVP (RB just)) (VP (VBN been) (VP (VBN published) (NP (DT this) (NN year)) (SBAR (S (NP (PRP you)) (VP (VBP know)))) (, ,) (PP (IN like) (SBAR (IN if) (S (NP (NN someone)) (VP (ADVP (RB just)) (VBN published))))))))))))))"
17201,"(130,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
17201,"(131,)","and everyone jumped on the bandwagon , or have they all made up their own ?","[and/CC, everyone/NN, jumped/VBD, on/IN, the/DT, bandwagon/NN, ,/,, or/CC, have/VBP, they/PRP, all/DT, made/VBD, up/RP, their/PRP$, own/JJ, ?/.]","(ROOT (FRAG (CC and) (NP (NP (NN everyone)) (SBAR (S (VP (VP (VBD jumped) (PP (IN on) (NP (DT the) (NN bandwagon)))) (, ,) (CC or) (VP (VBP have) (NP (PRP they))))))) (SBAR (S (NP (DT all)) (VP (VBD made) (PRT (RP up)) (NP (PRP$ their) (JJ own))))) (. ?)))"
17201,"(132, 133, 134, 135)",That is the whole  point of rap  they 're completely personal  it 's a personal rap .,"[That/DT, is/VBZ, the/DT, whole/JJ, point/NN, of/IN, rap/NN, they/PRP, 're/VBP, completely/RB, personal/JJ, it/PRP, 's/VBZ, a/DT, personal/JJ, rap/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ is) (NP (NP (DT the) (JJ whole) (NN point)) (PP (IN of) (NP (NN rap))) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADJP (RB completely) (JJ personal) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ personal) (NN rap))))))))))) (. .)))
17201,"(136,)","Well Michael says you haven 't been to a decent service for six weeks , till  > back .","[Well/RB, Michael/NNP, says/VBZ, you/PRP, haven/NN, 't/PRP, been/VBN, to/TO, a/DT, decent/JJ, service/NN, for/IN, six/CD, weeks/NNS, ,/,, till/IN, >/JJR, back/RB, ./.]","(ROOT (S (ADVP (RB Well)) (NP (NNP Michael)) (VP (VBZ says) (NP (PRP you)) (NP (NP (NN haven)) (SBAR (S (NP (PRP 't)) (VP (VBN been) (PP (TO to) (NP (NP (NP (DT a) (JJ decent) (NN service)) (PP (IN for) (NP (CD six) (NNS weeks)))) (, ,) (SBAR (IN till) (FRAG (ADJP (JJR >)))))) (ADVP (RB back))))))) (. .)))"
17201,"(137, 138)"," So we went so and so , that was dreadful !","[So/IN, we/PRP, went/VBD, so/RB, and/CC, so/RB, ,/,, that/DT, was/VBD, dreadful/JJ, !/.]","(ROOT (S (S (IN So) (NP (PRP we)) (VP (VBD went) (ADVP (RB so) (CC and) (RB so)))) (, ,) (NP (DT that)) (VP (VBD was) (ADJP (JJ dreadful))) (. !)))"
17201,"(139,)","We went so and so , that was dreadful !","[We/PRP, went/VBD, so/RB, and/CC, so/RB, ,/,, that/DT, was/VBD, dreadful/JJ, !/.]","(ROOT (S (S (NP (PRP We)) (VP (VBD went) (ADVP (RB so) (CC and) (RB so)))) (, ,) (NP (DT that)) (VP (VBD was) (ADJP (JJ dreadful))) (. !)))"
17201,"(140, 141, 142)"," can put your finger on it though ,it- it 's like  it 's not  what it used to be .","[can/MD, put/VB, your/PRP$, finger/NN, on/IN, it/PRP, though/IN, ,it-/JJ, it/PRP, 's/VBZ, like/IN, it/PRP, 's/VBZ, not/RB, what/WP, it/PRP, used/VBD, to/TO, be/VB, ./.]","(ROOT (S (S (VP (MD can) (VP (VB put) (NP (PRP$ your) (NN finger)) (PP (IN on) (NP (NP (PRP it)) (ADJP (IN though) (JJ ,it-))))))) (NP (PRP it)) (VP (VBZ 's) (SBAR (IN like) (S (NP (PRP it)) (VP (VBZ 's) (RB not) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBD used) (S (VP (TO to) (VP (VB be))))))))))) (. .)))"
17201,"(143, 144, 145, 146, 147, 148)","That 's it  well tha-  there 's Peggy says  I said oh well I 'm a bit erm  worried about taking them  and I said they have been known to get up and walk out , and   said , surely not !","[That/DT, 's/VBZ, it/PRP, well/RB, tha-/RB, there/EX, 's/VBZ, Peggy/NNP, says/VBZ, I/PRP, said/VBD, oh/UH, well/UH, I/PRP, 'm/VBP, a/DT, bit/NN, erm/NN, worried/VBN, about/IN, taking/VBG, them/PRP, and/CC, I/PRP, said/VBD, they/PRP, have/VBP, been/VBN, known/VBN, to/TO, get/VB, up/RB, and/CC, walk/VB, out/RP, ,/,, and/CC, said/VBD, ,/,, surely/RB, not/RB, !/.]","(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (PRP it)) (ADVP (RB well)) (ADJP (RB tha-) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NNP Peggy)) (SBAR (S (VP (VBZ says) (SBAR (S (NP (PRP I)) (VP (VBD said) (SBAR (S (S (INTJ (UH oh) (UH well)) (NP (PRP I)) (VP (VBP 'm) (NP (NP (DT a) (NN bit) (NN erm)) (VP (VBN worried) (PP (IN about) (S (VP (VBG taking) (NP (PRP them))))))))) (CC and) (S (NP (PRP I)) (VP (VP (VBD said) (SBAR (S (NP (PRP they)) (VP (VBP have) (VP (VBN been) (VP (VBN known) (S (VP (TO to) (VP (VP (VB get) (ADVP (RB up))) (CC and) (VP (VB walk) (PRT (RP out)))))))))))) (, ,) (CC and) (VP (VBD said))))))))))))) (, ,) (FRAG (ADVP (RB surely)) (RB not))))))) (. !)))"
17201,"(149, 150, 151, 152)","But Peggy says  well why shouldn 't they walk out , if they 're that old and they 're  don 't li- why shouldn 't they   get up and walk out   ?","[But/CC, Peggy/NNP, says/VBZ, well/RB, why/WRB, shouldn/NNP, 't/PRP, they/PRP, walk/VBP, out/RB, ,/,, if/IN, they/PRP, 're/VBP, that/IN, old/JJ, and/CC, they/PRP, 're/VBP, don/NNP, 't/PRP, li-/JJ, why/WRB, shouldn/NNP, 't/PRP, they/PRP, get/VBP, up/RB, and/CC, walk/VB, out/RP, ?/.]","(ROOT (S (CC But) (NP (NNP Peggy)) (VP (VBZ says) (SBAR (S (SBAR (WHADVP (RB well) (WRB why)) (S (S (NP (NP (NNP shouldn)) (NP (PRP 't))) (NP (PRP they)) (VP (VBP walk) (ADVP (RB out)) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP 're) (ADJP (IN that) (JJ old))))))) (CC and) (S (NP (PRP they)) (VP (VBP 're) (NP (NP (NNP don)) (ADJP (NP (PRP 't)) (JJ li-)) (SBAR (WHADVP (WRB why)) (S (NP (NNP shouldn)) (NP (PRP 't))))))))) (NP (PRP they)) (VP (VP (VBP get) (ADVP (RB up))) (CC and) (VP (VB walk) (PRT (RP out))))))) (. ?)))"
17201,"(153, 154)","I thought Peggy , I    ah .","[I/PRP, thought/VBD, Peggy/NNP, ,/,, I/PRP, ah/NN, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBD thought) (NP (NNP Peggy)))) (, ,) (S (NP (PRP I)) (NP (NN ah))) (. .)))"
17201,"(155,)","I don 't think they , they don 't walk out of we- of er er er er er Por-","[I/PRP, don/VBP, 't/PRP, think/VB, they/PRP, ,/,, they/PRP, don/VBP, 't/PRP, walk/VB, out/IN, of/IN, we-/NN, of/IN, er/NN, er/NN, er/NN, er/NN, er/NN, Por-/NN]","(ROOT (NP (S (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB think) (NP (PRP they)))))) (, ,) (NP (PRP they)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB walk) (PRT (IN out)) (PP (IN of) (NP (NP (NN we-)) (PP (IN of) (NP (NP (NN er) (NN er) (NN er)) (NP (NN er) (NN er) (NN Por-))))))))))))"
17201,"(156,)","They wouldn 't of  , no .","[They/PRP, wouldn/VBP, 't/PRP, of/IN, ,/,, no/DT, ./.]","(ROOT (S (NP (PRP They)) (VP (VBP wouldn) (NP (PRP 't)) (PP (IN of)) (, ,) (ADVP (DT no))) (. .)))"
17201,"(157,)",Portis Head there it 's too in- ten- tenuous   .,"[Portis/NN, Head/NN, there/RB, it/PRP, 's/VBZ, too/RB, in-/JJ, ten-/NN, tenuous/JJ, ./.]",(ROOT (S (NP (NN Portis)) (VP (NN Head) (S (ADVP (RB there)) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB too) (NP (JJ in-) (NN ten-))) (ADJP (JJ tenuous))))) (. .)))
17201,"(158, 159, 160, 161)","But in a way , I i- i- is it better for them to walk out than  seethe and  you know , I sa- are you putting a bit much on there ?","[But/CC, in/IN, a/DT, way/NN, ,/,, I/PRP, i-/VBP, i-/NN, is/VBZ, it/PRP, better/RBR, for/IN, them/PRP, to/TO, walk/VB, out/RB, than/IN, seethe/VB, and/CC, you/PRP, know/VBP, ,/,, I/PRP, sa-/VBP, are/VBP, you/PRP, putting/VBG, a/DT, bit/NN, much/JJ, on/IN, there/EX, ?/.]","(ROOT (S (CC But) (PP (IN in) (NP (DT a) (NN way))) (PRN (, ,) (S (NP (PRP I)) (VP (VBP i-) (SBAR (S (S (NP (NN i-)) (VP (VBZ is) (NP (PRP it)) (ADVP (ADVP (RBR better)) (SBAR (IN for) (S (NP (PRP them)) (VP (TO to) (VP (VB walk) (PP (RB out) (IN than) (VP (VB seethe)))))))))) (CC and) (S (NP (PRP you)) (VP (VBP know))))))) (, ,)) (NP (PRP I)) (VP (VBP sa-) (SBAR (S (VP (VBP are) (S (NP (PRP you)) (VP (VBG putting) (S (NP (DT a) (NN bit)) (ADJP (JJ much) (PP (IN on) (NP (EX there))))))))))) (. ?)))"
17201,"(162, 163)","Tricia says it 's not butter  Are we exchanging Christmas presents today , did you ascertain that off your Mum ?","[Tricia/NNP, says/VBZ, it/PRP, 's/VBZ, not/RB, butter/NN, Are/VBP, we/PRP, exchanging/VBG, Christmas/NNP, presents/VBZ, today/NN, ,/,, did/VBD, you/PRP, ascertain/VBP, that/IN, off/IN, your/PRP$, Mum/NN, ?/.]","(ROOT (SQ (S (NP (NNP Tricia)) (VP (VBZ says) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (RB not) (NP (NP (NN butter)) (SBAR (S (VP (VBP Are) (S (NP (PRP we)) (VP (VBG exchanging) (SBAR (S (NP (NNP Christmas)) (VP (VBZ presents) (NP (NN today)))))))))))))))) (, ,) (SQ (VBD did) (NP (PRP you)) (VP (VBP ascertain) (ADVP (IN that) (PP (IN off) (NP (PRP$ your) (NN Mum)))))) (. ?)))"
17201,"(164, 165)",I don 't know  not really .,"[I/PRP, don/VBP, 't/PRP, know/VB, not/RB, really/RB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know) (ADVP (RB not) (RB really))))) (. .)))
17201,"(166,)",I 've got them  ,"[I/PRP, 've/VBP, got/VBD, them/PRP]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBD got) (NP (PRP them))))))
17201,"(167,)",No I think sh-,"[No/DT, I/PRP, think/VBP, sh-/NN]",(ROOT (S (NP (DT No) (PRP I)) (VP (VBP think) (NP (NN sh-)))))
17201,"(168, 169)",We 've gotta give them to them today have we  Andy and Michelle ?,"[We/PRP, 've/VBP, gotta/NNP, give/VB, them/PRP, to/TO, them/PRP, today/NN, have/VBP, we/PRP, Andy/NNP, and/CC, Michelle/NNP, ?/.]",(ROOT (S (NP (PRP We)) (VP (VBP 've) (S (NP (NNP gotta)) (VP (VB give) (NP (PRP them)) (SBAR (TO to) (S (NP (PRP them)) (NP (NN today)) (VP (VBP have) (S (NP (PRP we)) (NP (NNP Andy) (CC and) (NNP Michelle))))))))) (. ?)))
17201,"(170, 171)",I seem to remember she says she 's gonna  do that on the fourteenth .,"[I/PRP, seem/VBP, to/TO, remember/VB, she/PRP, says/VBZ, she/PRP, 's/VBZ, gonna/NN, do/VBP, that/DT, on/IN, the/DT, fourteenth/JJ, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP seem) (S (VP (TO to) (VP (VB remember) (SBAR (S (NP (PRP she)) (VP (VBZ says) (SBAR (S (NP (PRP she)) (VP (VBZ 's) (NP (NP (NN gonna)) (SBAR (S (VP (VBP do) (NP (NP (DT that)) (PP (IN on) (NP (DT the) (JJ fourteenth)))))))))))))))))) (. .)))
17201,"(172,)","What Christmas presents , same time as the Golden Wedding ?","[What/WDT, Christmas/NNP, presents/VBZ, ,/,, same/JJ, time/NN, as/IN, the/DT, Golden/JJ, Wedding/NN, ?/.]","(ROOT (SBARQ (WHNP (WDT What) (NP (NNP Christmas))) (SQ (VP (VBZ presents) (NP (NP (, ,) (JJ same) (NN time)) (PP (IN as) (NP (DT the) (JJ Golden) (NN Wedding)))))) (. ?)))"
17201,"(173,)","Mm , think so .","[Mm/NN, ,/,, think/VBP, so/RB, ./.]","(ROOT (S (NP (NN Mm)) (, ,) (VP (VBP think) (ADVP (RB so))) (. .)))"
17201,"(174,)",What at her rap ?,"[What/WDT, at/IN, her/PRP$, rap/NN, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (PP (IN at) (NP (PRP$ her) (NN rap))) (. ?)))
17201,"(175, 176)","Suppose so  give them , I mean I don 't think they 're gonna be opened then .","[Suppose/VB, so/RB, give/VB, them/PRP, ,/,, I/PRP, mean/VBP, I/PRP, don/VB, 't/PRP, think/VB, they/PRP, 're/VBP, gonna/NNP, be/VB, opened/VBN, then/RB, ./.]","(ROOT (S (S (VP (VB Suppose) (RB so) (VP (VB give) (NP (PRP them))))) (, ,) (NP (PRP I)) (VP (VBP mean) (S (NP (PRP I)) (VP (VB don) (S (NP (PRP 't)) (VP (VB think) (SBAR (S (NP (PRP they)) (VP (VBP 're) (S (NP (NNP gonna)) (VP (VB be) (VP (VBN opened) (ADVP (RB then))))))))))))) (. .)))"
17201,"(177,)",Right .,"[Right/NN, ./.]",(ROOT (INTJ (NN Right) (. .)))
17201,"(178,)","As I said , If I remember right , I said well when are you gonna come and see us before ?","[As/IN, I/PRP, said/VBD, ,/,, If/IN, I/PRP, remember/VBP, right/RB, ,/,, I/PRP, said/VBD, well/RB, when/WRB, are/VBP, you/PRP, gonna/VB, come/VBN, and/CC, see/VB, us/PRP, before/IN, ?/.]","(ROOT (S (SBAR (IN As) (S (NP (PRP I)) (VP (VBD said)))) (, ,) (SBAR (IN If) (S (NP (PRP I)) (VP (VBP remember) (ADVP (RB right))))) (, ,) (NP (PRP I)) (VP (VBD said) (SBAR (SBARQ (WHADVP (RB well) (WRB when)) (SQ (VBP are) (NP (PRP you)) (VP (VP (VB gonna) (VP (VBN come))) (CC and) (VP (VB see) (NP (PRP us)) (PP (IN before))))) (. ?))))))"
17201,"(179,)","She said on the fourteenth , you know and give it to you then .","[She/PRP, said/VBD, on/IN, the/DT, fourteenth/JJ, ,/,, you/PRP, know/VBP, and/CC, give/VBP, it/PRP, to/TO, you/PRP, then/RB, ./.]","(ROOT (S (S (NP (PRP She)) (VP (VBD said) (PP (IN on) (NP (DT the) (JJ fourteenth))))) (, ,) (NP (PRP you)) (VP (VBP know) (CC and) (VBP give) (NP (NP (PRP it)) (PP (TO to) (NP (PRP you)))) (ADVP (RB then))) (. .)))"
17201,"(180, 181)",Well who 's gonna come and see us  eh ?,"[Well/RB, who/WP, 's/VBZ, gonna/NNP, come/VB, and/CC, see/VB, us/PRP, eh/UH, ?/.]",(ROOT (SBARQ (ADVP (RB Well)) (WHNP (WP who)) (SQ (VP (VBZ 's) (S (NP (NNP gonna)) (VP (VP (VB come)) (CC and) (VP (VB see) (NP (PRP us)) (FRAG (INTJ (UH eh)))))))) (. ?)))
17201,"(182, 183, 184)","Mum and  what 's it  and presumably , Michelle and Andy","[Mum/NN, and/CC, what/WP, 's/VBZ, it/PRP, and/CC, presumably/RB, ,/,, Michelle/NNP, and/CC, Andy/NNP]","(ROOT (UCP (NP (NN Mum)) (CC and) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (NP (NP (PRP it)) (CC and) (ADVP (RB presumably)) (, ,) (NP (NNP Michelle)) (CC and) (NP (NNP Andy))))))))"
17201,"(185,)",,[],X
17201,"(186,)","can give out presents that day as well , can 't they , cos they 'll be there .","[can/MD, give/VB, out/RP, presents/VBZ, that/DT, day/NN, as/RB, well/RB, ,/,, can/MD, 't/PRP, they/PRP, ,/,, cos/NNP, they/PRP, 'll/MD, be/VB, there/RB, ./.]","(ROOT (SINV (S (VP (MD can) (VP (VB give) (PRT (RP out))))) (VP (VP (VBZ presents) (NP (DT that) (NN day)) (ADVP (RB as) (RB well))) (, ,) (VP (MD can)) (NP (PRP 't))) (NP (NP (PRP they)) (, ,) (NP (NP (NNP cos)) (SBAR (S (NP (PRP they)) (VP (MD 'll) (VP (VB be) (ADVP (RB there)))))))) (. .)))"
17201,"(187,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
17201,"(188,)",Where do I put the ready ?,"[Where/WRB, do/VBP, I/PRP, put/VB, the/DT, ready/JJ, ?/.]",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBP do) (NP (PRP I)) (VP (VB put) (NP (DT the) (JJ ready)))) (. ?)))
17201,"(189, 190, 191)","Well I 'm gonna give Mutty that cake today    , just pile them up  Do you think twenty four 's enough to do to begin with ?","[Well/RB, I/PRP, 'm/VBP, gonna/NNS, give/VB, Mutty/NN, that/IN, cake/NN, today/NN, ,/,, just/RB, pile/VB, them/PRP, up/RP, Do/VBP, you/PRP, think/VB, twenty/CD, four/CD, 's/POS, enough/JJ, to/TO, do/VB, to/TO, begin/VB, with/IN, ?/.]","(ROOT (S (ADVP (RB Well)) (NP (PRP I)) (VP (VBP 'm) (S (NP (NNS gonna)) (VP (VB give) (NP (NN Mutty)) (SBAR (IN that) (S (NP (NP (NN cake) (NN today)) (, ,) (SBAR (RB just) (S (VP (VB pile) (NP (PRP them)) (PRT (RP up)))))) (VP (VBP Do) (S (NP (PRP you)) (VP (VB think) (NP (CD twenty)) (SBAR (S (NP (NP (CD four) (POS 's)) (JJ enough)) (VP (TO to) (VP (VB do) (S (VP (TO to) (VP (VB begin) (PP (IN with))))))))))))))))) (. ?)))"
17201,"(192,)",I think there is .,"[I/PRP, think/VBP, there/EX, is/VBZ, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (EX there)) (VP (VBZ is))))) (. .)))
17201,"(193,)",There is ?,"[There/EX, is/VBZ, ?/.]",(ROOT (S (NP (EX There)) (VP (VBZ is)) (. ?)))
17201,"(194,)",Ju- oh .,"[Ju-/NNP, oh/UH, ./.]",(ROOT (S (VP (PP (NNP Ju-) (NP (UH oh)))) (. .)))
17201,"(195,)",For twelve people .,"[For/IN, twelve/CD, people/NNS, ./.]",(ROOT (FRAG (PP (IN For) (NP (CD twelve) (NNS people))) (. .)))
17201,"(196,)",Pile them up .,"[Pile/VB, them/PRP, up/RP, ./.]",(ROOT (S (VP (VB Pile) (NP (PRP them)) (PRT (RP up))) (. .)))
17201,"(197,)","Do twelve egg ones , please .","[Do/VB, twelve/NNP, egg/NNP, ones/NNS, ,/,, please/UH, ./.]","(ROOT (S (VP (VB Do) (NP (NNP twelve) (NNP egg) (NNS ones)) (, ,) (NP (UH please))) (. .)))"
17201,"(198,)",Should never have told Bill .,"[Should/MD, never/RB, have/VB, told/VBN, Bill/NN, ./.]",(ROOT (S (VP (MD Should) (ADVP (RB never)) (VP (VB have) (VP (VBN told) (NP (NN Bill))))) (. .)))
17201,"(199, 200, 201)", was coming with clingfilm  but stick the rest in there  What are you eating ?,"[was/VBD, coming/VBG, with/IN, clingfilm/NN, but/CC, stick/VB, the/DT, rest/NN, in/IN, there/EX, What/WP, are/VBP, you/PRP, eating/VBG, ?/.]",(ROOT (S (VP (VP (VBD was) (VP (VBG coming) (PP (IN with) (NP (NN clingfilm))))) (CC but) (VP (VB stick) (NP (NP (DT the) (NN rest)) (PP (IN in) (NP (EX there))) (SBAR (WHNP (WP What)) (S (VP (VBP are) (NP (NP (PRP you)) (VP (VBG eating))))))))) (. ?)))
17201,"(202,)","Gotta take box to school   and I can 't be bothered , cos you 've got the car tomorrow haven 't you ?","[Gotta/NNP, take/VB, box/NN, to/TO, school/NN, and/CC, I/PRP, can/MD, 't/PRP, be/VB, bothered/VBN, ,/,, cos/NNP, you/PRP, 've/VBP, got/VBD, the/DT, car/NN, tomorrow/NN, haven/NN, 't/PRP, you/PRP, ?/.]","(ROOT (SINV (S (S (NP (NNP Gotta)) (VP (VB take) (NP (NN box)) (PP (TO to) (NP (NN school))))) (CC and) (S (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB be) (VP (VBN bothered) (, ,) (NP (NP (NNP cos)) (SBAR (S (NP (PRP you)) (VP (VBP 've))))))))))) (VP (VBD got) (S (NP (DT the) (NN car) (NN tomorrow) (NN haven)) (NP (PRP 't)))) (NP (PRP you)) (. ?)))"
17201,"(203, 204)",Mhm  a three day week .,"[Mhm/NNP, a/DT, three/CD, day/NN, week/NN, ./.]",(ROOT (NP (NP (NNP Mhm)) (NP (DT a) (CD three) (NN day) (NN week)) (. .)))
17201,"(205, 206)","You 've got the car Friday , and you got the car  Wednesday ?","[You/PRP, 've/VBP, got/VBD, the/DT, car/NN, Friday/NNP, ,/,, and/CC, you/PRP, got/VBD, the/DT, car/NN, Wednesday/NNP, ?/.]","(ROOT (S (S (NP (PRP You)) (VP (VBP 've) (VP (VBD got) (NP (DT the) (NN car)) (NP (NNP Friday))))) (, ,) (CC and) (S (NP (PRP you)) (VP (VBD got) (NP (DT the) (NN car)) (NP (NNP Wednesday)))) (. ?)))"
17201,"(207,)", this butter 's  ,"[this/DT, butter/NN, 's/POS]",(ROOT (NP (DT this) (NN butter) (POS 's)))
17201,"(208,)",Cos you 're going down to   aren 't you on Wednesday ?,"[Cos/NNP, you/PRP, 're/VBP, going/VBG, down/RB, to/TO, aren/NNP, 't/PRP, you/PRP, on/IN, Wednesday/NNP, ?/.]",(ROOT (S (NP (NNP Cos) (PRP you)) (VP (VBP 're) (VP (VBG going) (ADVP (RB down) (PP (TO to) (NP (NNP aren)))) (NP (PRP 't)) (PP (NP (PRP you)) (IN on) (NP (NNP Wednesday))))) (. ?)))
17201,"(209,)",Oh yes .,"[Oh/UH, yes/UH, ./.]",(ROOT (FRAG (UH Oh) (INTJ (UH yes)) (. .)))
17201,"(210,)",Or are you not ?,"[Or/CC, are/VBP, you/PRP, not/RB, ?/.]",(ROOT (S (CC Or) (VP (VBP are) (NP (PRP you)) (ADVP (RB not))) (. ?)))
17201,"(211,)",Have you sent Val a postcard ?,"[Have/VB, you/PRP, sent/VBN, Val/NN, a/DT, postcard/NN, ?/.]",(ROOT (SQ (VP (VB Have) (NP (PRP you)) (VP (VBN sent) (NP (NN Val)) (NP (DT a) (NN postcard)))) (. ?)))
17201,"(212,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
17201,"(213,)",Are you going to   or not ?,"[Are/VBP, you/PRP, going/VBG, to/TO, or/CC, not/RB, ?/.]",(ROOT (SQ (VBP Are) (NP (PRP you)) (VP (VBG going) (ADVP (TO to) (CC or) (RB not))) (. ?)))
17201,"(214,)",I didn 't say I 'd come and see him,"[I/PRP, didn/VBP, 't/PRP, say/VB, I/PRP, 'd/MD, come/VB, and/CC, see/VB, him/PRP]",(ROOT (S (NP (PRP I)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB say) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB come) (CC and) (VB see) (NP (PRP him)))))))))))
17201,"(215,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
17201,"(216,)",on Wednesday,"[on/IN, Wednesday/NNP]",(ROOT (PP (IN on) (NP (NNP Wednesday))))
17201,"(217,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
17201,"(218, 219)","But I did say , I 'd come and say on the  the Christmas show so","[But/CC, I/PRP, did/VBD, say/VB, ,/,, I/PRP, 'd/MD, come/VB, and/CC, say/VB, on/IN, the/DT, the/DT, Christmas/NNP, show/NN, so/IN]","(ROOT (S (CC But) (NP (PRP I)) (VP (VBD did) (S (VP (VB say) (, ,) (S (NP (PRP I)) (VP (MD 'd) (VP (VB come) (CC and) (VB say) (PP (IN on) (NP (DT the) (DT the) (NNP Christmas) (NN show))) (ADVP (IN so))))))))))"
17201,"(220, 221)",Well have you sorted out your  holiday ?,"[Well/RB, have/VBP, you/PRP, sorted/VBN, out/RP, your/PRP$, holiday/NN, ?/.]",(ROOT (SINV (ADVP (RB Well)) (VBP have) (NP (PRP you)) (VP (VBN sorted) (PRT (RP out)) (NP (PRP$ your) (NN holiday))) (. ?)))
