39616,"(0,)",Good gracious !,"[Good/JJ, gracious/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Good) (JJ gracious)) (. !)))
39616,"(100,)","I mean , in the trees as well aren 't they ?","[I/PRP, mean/VBP, ,/,, in/IN, the/DT, trees/NNS, as/RB, well/RB, aren/IN, 't/PRP, they/PRP, ?/.]","(ROOT (S (NP (PRP I)) (VP (VBP mean) (, ,) (PP (IN in) (NP (DT the) (NNS trees))) (ADVP (ADVP (RB as) (RB well)) (SBAR (IN aren) (S (NP (PRP 't)) (NP (PRP they)))))) (. ?)))"
39616,"(101,)",They 're always,"[They/PRP, 're/VBP, always/RB]",(ROOT (S (NP (PRP They)) (VP (VBP 're) (ADVP (RB always)))))
39616,"(102,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(103,)",Perhaps may- it is because we 've got all these trees I mean,"[Perhaps/RB, may-/VB, it/PRP, is/VBZ, because/IN, we/PRP, 've/VBP, got/VBD, all/PDT, these/DT, trees/NNS, I/PRP, mean/VBP]",(ROOT (S (ADVP (RB Perhaps)) (VP (VB may-) (SBAR (S (NP (PRP it)) (VP (VBZ is) (SBAR (IN because) (S (NP (PRP we)) (VP (VBP 've) (VP (VBD got) (NP (PDT all) (DT these) (NNS trees)) (SBAR (S (NP (PRP I)) (VP (VBP mean))))))))))))))
39616,"(104,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(105, 106)", was saying when she lived out at erm    cos I mean there were trees about there where their hou-,"[was/VBD, saying/VBG, when/WRB, she/PRP, lived/VBD, out/RP, at/IN, erm/NNP, cos/NNP, I/PRP, mean/VBP, there/EX, were/VBD, trees/NNS, about/IN, there/EX, where/WRB, their/PRP$, hou-/NN]",(ROOT (SINV (VP (VBD was) (VP (VBG saying) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (VP (VBD lived) (PRT (RP out)) (PP (IN at) (NP (NP (NNP erm) (NNP cos)) (SBAR (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (EX there)) (VP (VBD were) (NP (NP (NNS trees)) (PP (IN about) (NP (NP (EX there)) (FRAG (WHADVP (WRB where))))))))))))))))))) (NP (PRP$ their) (NN hou-))))
39616,"(107,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
39616,"(108,)",But the nuts didn 't come to her house .,"[But/CC, the/DT, nuts/NNS, didn/VBP, 't/PRP, come/VB, to/TO, her/PRP$, house/NN, ./.]",(ROOT (S (CC But) (NP (DT the) (NNS nuts)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB come) (PP (TO to) (NP (PRP$ her) (NN house)))))) (. .)))
39616,"(109,)",Where has that come from ?,"[Where/WRB, has/VBZ, that/DT, come/VBN, from/IN, ?/.]",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBZ has) (NP (DT that)) (VP (VBN come) (PP (IN from)))) (. ?)))
39616,"(110,)",Where 's what come from ?,"[Where/WRB, 's/POS, what/WDT, come/VBP, from/IN, ?/.]",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VP (POS 's) (SBAR (WHNP (WDT what)) (S (VP (VBP come) (PP (IN from))))))) (. ?)))
39616,"(111,)",I 'll put it on there .,"[I/PRP, 'll/MD, put/VB, it/PRP, on/IN, there/EX, ./.]",(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB put) (NP (PRP it)) (PP (IN on) (NP (EX there))))) (. .)))
39616,"(112,)",I can put it on there .,"[I/PRP, can/MD, put/VB, it/PRP, on/IN, there/EX, ./.]",(ROOT (S (NP (PRP I)) (VP (MD can) (VP (VB put) (NP (PRP it)) (PP (IN on) (NP (EX there))))) (. .)))
39616,"(113,)",It 's alright !,"[It/PRP, 's/VBZ, alright/JJ, !/.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (JJ alright))) (. !)))
39616,"(114, 115)", Well I knew I had caps on all the others .,"[Well/RB, I/PRP, knew/VBD, I/PRP, had/VBD, caps/NNS, on/IN, all/PDT, the/DT, others/NNS, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP I)) (VP (VBD knew) (SBAR (S (NP (PRP I)) (VP (VBD had) (NP (NP (NNS caps)) (PP (IN on) (NP (PDT all) (DT the) (NNS others)))))))) (. .)))
39616,"(116,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
39616,"(117,)","But I had one over , as it were .","[But/CC, I/PRP, had/VBD, one/CD, over/IN, ,/,, as/IN, it/PRP, were/VBD, ./.]","(ROOT (S (CC But) (NP (PRP I)) (VP (VBD had) (NP (CD one)) (PP (IN over)) (, ,) (SBAR (IN as) (S (NP (PRP it)) (VP (VBD were))))) (. .)))"
39616,"(118,)","Suppose I mustn 't really , I 'm reading this morning .","[Suppose/VB, I/PRP, mustn/JJ, 't/PRP, really/RB, ,/,, I/PRP, 'm/VBP, reading/VBG, this/DT, morning/NN, ./.]","(ROOT (S (S (VP (VB Suppose) (S (NP (PRP I)) (ADJP (JJ mustn) (NP (PRP 't))) (ADVP (RB really))))) (, ,) (NP (PRP I)) (VP (VBP 'm) (VP (VBG reading) (NP (DT this) (NN morning)))) (. .)))"
39616,"(119,)",Let 's have a look at that .,"[Let/VB, 's/PRP, have/VB, a/DT, look/NN, at/IN, that/DT, ./.]",(ROOT (S (VP (VB Let) (S (NP (PRP 's)) (VP (VB have) (NP (NP (DT a) (NN look)) (PP (IN at) (NP (DT that))))))) (. .)))
39616,"(120, 121)",Well you always thought about going to the Beefeater a- bu- really I suppose it might be better to go today than tomorrow .,"[Well/RB, you/PRP, always/RB, thought/VBD, about/IN, going/VBG, to/TO, the/DT, Beefeater/NNP, a-/NN, bu-/NN, really/RB, I/PRP, suppose/VBP, it/PRP, might/MD, be/VB, better/JJR, to/TO, go/VB, today/NN, than/IN, tomorrow/NN, ./.]",(ROOT (S (S (INTJ (RB Well)) (NP (PRP you)) (VP (ADVP (RB always)) (VBD thought) (PP (IN about) (S (VP (VBG going) (PP (TO to) (NP (DT the) (NNP Beefeater) (NN a-) (NN bu-))) (ADVP (RB really))))))) (NP (PRP I)) (VP (VBP suppose) (SBAR (S (NP (PRP it)) (VP (MD might) (VP (VB be) (ADJP (JJR better)) (S (VP (TO to) (VP (VB go) (ADVP (NN today) (IN than)) (NP (NN tomorrow)))))))))) (. .)))
39616,"(122, 123, 124, 125)",Cos today  Lucy will be here but  tomorrow  might be more difficult .,"[Cos/NNP, today/NNP, Lucy/NNP, will/MD, be/VB, here/RB, but/CC, tomorrow/NN, might/MD, be/VB, more/RBR, difficult/JJ, ./.]",(ROOT (S (S (NP (NNP Cos) (NNP today) (NNP Lucy)) (VP (MD will) (VP (VB be) (ADVP (RB here))))) (CC but) (S (NP (NN tomorrow)) (VP (MD might) (VP (VB be) (ADJP (RBR more) (JJ difficult))))) (. .)))
39616,"(126,)",Well,[Well/RB],(ROOT (INTJ (RB Well)))
39616,"(127, 128, 129)",Erm  because I wouldn 't sort of finished till  quarter pa-,"[Erm/NN, because/IN, I/PRP, wouldn/VBP, 't/PRP, sort/NN, of/IN, finished/VBN, till/IN, quarter/NN, pa-/NN]",(ROOT (FRAG (NP (NN Erm)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP wouldn) (S (NP (PRP 't)) (VP (ADVP (NN sort) (IN of)) (VBN finished) (PP (IN till) (NP (NN quarter) (NN pa-))))))))))
