7201,"(0,)",Can you read this one ?,"[Can/MD, you/PRP, read/VB, this/DT, one/CD, ?/.]",(ROOT (SQ (MD Can) (NP (PRP you)) (VP (VB read) (NP (DT this) (CD one))) (. ?)))
7201,"(59,)",Mrs Bird has fallen in love with a very rich man who has lots of servants and keeps birds said Paddington .,"[Mrs/NNP, Bird/NN, has/VBZ, fallen/VBN, in/IN, love/NN, with/IN, a/DT, very/RB, rich/JJ, man/NN, who/WP, has/VBZ, lots/NNS, of/IN, servants/NNS, and/CC, keeps/VBZ, birds/NNS, said/VBD, Paddington/NN, ./.]",(ROOT (S (NP (NNP Mrs) (NN Bird)) (VP (VBZ has) (VP (VBN fallen) (PP (IN in) (NP (NN love))) (PP (IN with) (NP (NP (DT a) (ADJP (RB very) (JJ rich)) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VP (VBZ has) (NP (NP (NNS lots)) (PP (IN of) (NP (NNS servants))))) (CC and) (VP (VBZ keeps) (SBAR (S (NP (NNS birds)) (VP (VBD said) (NP (NN Paddington))))))))))))) (. .)))
7201,"(60,)",He sent all sorts of Christmas presents but as fast as they arrive they disappear .,"[He/PRP, sent/VBD, all/DT, sorts/NNS, of/IN, Christmas/NNP, presents/NNS, but/CC, as/IN, fast/JJ, as/IN, they/PRP, arrive/VBP, they/PRP, disappear/VB, ./.]",(ROOT (S (NP (PRP He)) (VP (VBD sent) (NP (NP (DT all) (NNS sorts)) (PP (IN of) (NP (NNP Christmas) (NNS presents)))) (PRN (CC but) (ADVP (IN as)) (ADVP (JJ fast))) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP arrive) (S (NP (PRP they)) (VP (VB disappear))))))) (. .)))
7201,"(61,)",Mr Grover listened carefully as Paddington told him the story .,"[Mr/NNP, Grover/NNP, listened/VBD, carefully/RB, as/IN, Paddington/NN, told/VBD, him/PRP, the/DT, story/NN, ./.]",(ROOT (S (NP (NNP Mr) (NNP Grover)) (VP (VBD listened) (ADVP (RB carefully)) (SBAR (IN as) (S (NP (NN Paddington)) (VP (VBD told) (S (NP (PRP him)) (NP (DT the) (NN story))))))) (. .)))
7201,"(62,)",I think Mr Brown he said at last if you go back to number thirty two Windsor Gardens you 'll probably find that he has sent eleven   as well .,"[I/PRP, think/VBP, Mr/NNP, Brown/NNP, he/PRP, said/VBD, at/IN, last/JJ, if/IN, you/PRP, go/VBP, back/RB, to/TO, number/NN, thirty/CD, two/CD, Windsor/NNP, Gardens/NNP, you/PRP, 'll/MD, probably/RB, find/VB, that/IN, he/PRP, has/VBZ, sent/VBN, eleven/NNS, as/RB, well/RB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (NNP Mr) (NNP Brown)) (SBAR (S (NP (PRP he)) (VP (VBD said) (PP (IN at) (NP (JJ last))) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP go) (ADVP (RB back)) (PP (TO to) (NP (NP (NN number) (CD thirty) (CD two) (NNP Windsor) (NNP Gardens)) (SBAR (S (NP (PRP you)) (VP (MD 'll) (ADVP (RB probably)) (VP (VB find) (SBAR (IN that) (S (NP (PRP he)) (VP (VBZ has) (VP (VBN sent) (NP (NNS eleven)) (ADVP (RB as) (RB well)))))))))))))))))))) (. .)))
7201,"(63,)",Paddington gazed at Mr Grover in astonishment .,"[Paddington/NNP, gazed/VBD, at/IN, Mr/NNP, Grover/NNP, in/IN, astonishment/NN, ./.]",(ROOT (S (NP (NNP Paddington)) (VP (VBD gazed) (PP (IN at) (NP (NNP Mr) (NNP Grover))) (PP (IN in) (NP (NN astonishment)))) (. .)))
7201,"(64,)",He was used to his friends knowing the answers to his problems but this was the fastest ever .,"[He/PRP, was/VBD, used/VBN, to/TO, his/PRP$, friends/NNS, knowing/VBG, the/DT, answers/NNS, to/TO, his/PRP$, problems/NNS, but/CC, this/DT, was/VBD, the/DT, fastest/JJS, ever/RB, ./.]",(ROOT (S (S (NP (PRP He)) (VP (VBD was) (VP (VBN used) (PP (TO to) (NP (PRP$ his) (NNS friends))) (S (VP (VBG knowing) (NP (DT the) (NNS answers)) (PP (TO to) (NP (PRP$ his) (NNS problems)))))))) (CC but) (S (NP (DT this)) (VP (VBD was) (NP (DT the) (JJS fastest)) (ADVP (RB ever)))) (. .)))
7201,"(65, 66)",He finished his cocoa as quickly as possible and he was about to leave when  to his surprise Mr Grover began pulling the blind down over his shop door .,"[He/PRP, finished/VBD, his/PRP$, cocoa/NN, as/RB, quickly/RB, as/IN, possible/JJ, and/CC, he/PRP, was/VBD, about/RB, to/TO, leave/VB, when/WRB, to/TO, his/PRP$, surprise/NN, Mr/NN, Grover/NNP, began/VBD, pulling/VBG, the/DT, blind/JJ, down/RB, over/IN, his/PRP$, shop/NN, door/NN, ./.]",(ROOT (S (S (NP (PRP He)) (VP (VBD finished) (NP (PRP$ his) (NN cocoa)) (ADVP (ADVP (RB as) (RB quickly)) (PP (IN as) (ADJP (JJ possible)))))) (CC and) (S (NP (PRP he)) (VP (VBD was) (ADJP (RB about) (S (VP (TO to) (VP (VB leave) (SBAR (WHADVP (WRB when) (PP (TO to) (NP (PRP$ his) (NN surprise) (NN Mr)))) (S (NP (NNP Grover)) (VP (VBD began) (S (VP (VBG pulling) (NP (DT the) (JJ blind)) (ADVP (RB down) (PP (IN over) (NP (PRP$ his) (NN shop) (NN door))))))))))))))) (. .)))
7201,"(67,)",You see Mr Brown he explained they haven 't really been getting presents .,"[You/PRP, see/VBP, Mr/NNP, Brown/NNP, he/PRP, explained/VBD, they/PRP, haven/NN, 't/PRP, really/RB, been/VBN, getting/VBG, presents/NNS, ./.]",(ROOT (S (NP (PRP You)) (VP (VBP see) (NP (NP (NNP Mr) (NNP Brown)) (SBAR (S (NP (PRP he)) (VP (VBD explained) (NP (PRP they)) (NP (NP (NN haven)) (SBAR (S (NP (PRP 't)) (ADVP (RB really)) (VP (VBN been) (VP (VBG getting) (NP (NNS presents)))))))))))) (. .)))
7201,"(68,)",They 've all been joining in singing a Christmas carol but you have given me an idea for your present but you 'll have to hurry though -it 's Christmas Eve .,"[They/PRP, 've/VBP, all/RB, been/VBN, joining/VBG, in/IN, singing/VBG, a/DT, Christmas/NNP, carol/NNP, but/CC, you/PRP, have/VBP, given/VBN, me/PRP, an/DT, idea/NN, for/IN, your/PRP$, present/JJ, but/CC, you/PRP, 'll/MD, have/VB, to/TO, hurry/VB, though/IN, -it/NN, 's/POS, Christmas/NNP, Eve/NN, ./.]",(ROOT (S (S (NP (PRP They)) (VP (VBP 've) (RB all) (VP (VBN been) (VP (VBG joining) (PP (IN in) (S (VP (VBG singing) (NP (DT a) (NNP Christmas) (NNP carol))))))))) (CC but) (S (S (NP (PRP you)) (VP (VBP have) (VP (VBN given) (NP (PRP me)) (NP (NP (DT an) (NN idea)) (PP (IN for) (NP (PRP$ your) (JJ present))))))) (CC but) (S (NP (PRP you)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB hurry) (ADVP (IN though)) (NP (NP (NN -it) (POS 's)) (NNP Christmas) (NN Eve))))))))) (. .)))
7201,"(69,)",A lot of the shops will be closing early .,"[A/DT, lot/NN, of/IN, the/DT, shops/NNS, will/MD, be/VB, closing/VBG, early/RB, ./.]",(ROOT (S (NP (NP (DT A) (NN lot)) (PP (IN of) (NP (DT the) (NNS shops)))) (VP (MD will) (VP (VB be) (VP (VBG closing) (ADVP (RB early))))) (. .)))
7201,"(70,)",Paddington trying to keep up with him Mr Grover lead the way along Portabello Road,"[Paddington/NNP, trying/VBG, to/TO, keep/VB, up/RP, with/IN, him/PRP, Mr/NN, Grover/NNP, lead/VB, the/DT, way/NN, along/IN, Portabello/NN, Road/NN]",(ROOT (FRAG (NP (NNP Paddington)) (S (VP (VBG trying) (S (VP (TO to) (VP (VB keep) (PRT (RP up)) (SBAR (IN with) (S (NP (PRP him)) (VP (NN Mr) (S (NP (NNP Grover)) (VP (VB lead) (NP (NP (DT the) (NN way)) (PP (IN along) (NP (NN Portabello) (NN Road))))))))))))))))
7201,"(71,)",Who 's that Mummy ?,"[Who/WP, 's/VBZ, that/DT, Mummy/NN, ?/.]",(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBZ 's) (NP (DT that) (NN Mummy))) (. ?)))
7201,"(72,)",That 's Mr Grover .,"[That/DT, 's/VBZ, Mr/NN, Grover/NNP, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN Mr) (NNP Grover))) (. .)))
7201,"(73,)",And as they weaved their way from the stores lining the streets he explained what he had in mind .,"[And/CC, as/IN, they/PRP, weaved/VBD, their/PRP$, way/NN, from/IN, the/DT, stores/NNS, lining/VBG, the/DT, streets/NNS, he/PRP, explained/VBD, what/WP, he/PRP, had/VBD, in/IN, mind/NN, ./.]",(ROOT (S (CC And) (SBAR (IN as) (S (NP (PRP they)) (VP (VBD weaved) (NP (PRP$ their) (NN way)) (PP (IN from) (NP (DT the) (NNS stores))) (S (VP (VBG lining) (NP (DT the) (NNS streets))))))) (NP (PRP he)) (VP (VBD explained) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD had) (PP (IN in) (NP (NN mind))))))) (. .)))
7201,"(74,)",Paddington grew more and more excited as he listened .,"[Paddington/NN, grew/VBD, more/RBR, and/CC, more/RBR, excited/JJ, as/IN, he/PRP, listened/VBD, ./.]",(ROOT (S (NP (NN Paddington)) (VP (VBD grew) (ADJP (ADVP (RBR more) (CC and) (RBR more)) (JJ excited)) (SBAR (IN as) (S (NP (PRP he)) (VP (VBD listened))))) (. .)))
7201,"(75,)",I don ' think I shall sleep very much tonight Mr Grover he said .,"[I/PRP, don/VBP, '/'', think/VBP, I/PRP, shall/MD, sleep/VB, very/RB, much/JJ, tonight/NN, Mr/NN, Grover/NNP, he/PRP, said/VBD, ./.]",(ROOT (S (S (NP (PRP I)) (VP (VBP don))) ('' ') (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD shall) (VP (VB sleep) (NP (RB very) (JJ much) (NN tonight)) (NP (NP (NN Mr) (NNP Grover)) (SBAR (S (NP (PRP he)) (VP (VBD said)))))))))) (. .)))
7201,"(76,)",Just leave it to me said Mr Grover I think between us and with the help of some of our friends in the market we shall be able to give everybody a Christmas to remember .,"[Just/RB, leave/VB, it/PRP, to/TO, me/PRP, said/VBD, Mr/NNP, Grover/NNP, I/PRP, think/VBP, between/IN, us/PRP, and/CC, with/IN, the/DT, help/NN, of/IN, some/DT, of/IN, our/PRP$, friends/NNS, in/IN, the/DT, market/NN, we/PRP, shall/MD, be/VB, able/JJ, to/TO, give/VB, everybody/NN, a/DT, Christmas/NNP, to/TO, remember/VB, ./.]",(ROOT (S (SBAR (RB Just) (S (S (VP (VB leave) (NP (PRP it)) (PP (TO to) (NP (PRP me))))) (VP (VBD said) (NP (NP (NNP Mr) (NNP Grover)) (SBAR (S (NP (PRP I)) (VP (VBP think) (PP (PP (IN between) (NP (PRP us))) (CC and) (PP (IN with) (NP (NP (DT the) (NN help)) (PP (IN of) (NP (NP (DT some)) (PP (IN of) (NP (PRP$ our) (NNS friends)))))))) (PP (IN in) (NP (DT the) (NN market)))))))))) (NP (PRP we)) (VP (MD shall) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB give) (NP (NN everybody)) (NP (DT a) (NNP Christmas)) (S (VP (TO to) (VP (VB remember)))))))))) (. .)))
7201,"(77,)",Mr Grover was as good as his word and on Christmas morning soon after breakfast a very strange procession began making its way from the market .,"[Mr/NNP, Grover/NNP, was/VBD, as/RB, good/JJ, as/IN, his/PRP$, word/NN, and/CC, on/IN, Christmas/NNP, morning/NN, soon/RB, after/IN, breakfast/NN, a/DT, very/RB, strange/JJ, procession/NN, began/VBD, making/VBG, its/PRP$, way/NN, from/IN, the/DT, market/NN, ./.]",(ROOT (S (NP (NNP Mr) (NNP Grover)) (VP (VBD was) (ADJP (RB as) (JJ good)) (PP (PP (IN as) (NP (PRP$ his) (NN word))) (CC and) (PP (IN on) (NP (NNP Christmas)))) (NP (NN morning)) (SBAR (RB soon) (IN after) (S (NP (NP (NN breakfast)) (NP (DT a) (RB very) (JJ strange) (NN procession))) (VP (VBD began) (S (VP (VBG making) (NP (PRP$ its) (NN way)) (PP (IN from) (NP (DT the) (NN market))))))))) (. .)))
7201,"(78,)",Where 's which 's Mr Grover ?,"[Where/WRB, 's/POS, which/WDT, 's/POS, Mr/NN, Grover/NNP, ?/.]",(ROOT (FRAG (SBAR (WHADVP (WRB Where)) (S (NP (POS 's)) (VP (WDT which) (S (NP (POS 's)) (VP (NN Mr) (NP (NNP Grover))))))) (. ?)))
7201,"(79,)",We 'll find him in a moment .,"[We/PRP, 'll/MD, find/VB, him/PRP, in/IN, a/DT, moment/NN, ./.]",(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB find) (NP (PRP him)) (PP (IN in) (NP (DT a) (NN moment))))) (. .)))
7201,"(80,)",Towards number thirty two Windsor Gardens .,"[Towards/IN, number/NN, thirty/CD, two/CD, Windsor/NNP, Gardens/NNP, ./.]",(ROOT (FRAG (PP (IN Towards) (NP (NP (NN number)) (NP (CD thirty) (CD two) (NNP Windsor) (NNP Gardens)))) (. .)))
7201,"(81,)",On the twelfth day of Christmas my true love sent to me twelve drummers drumming eleven pipers piping ten lords a leaping nine ladies dancing eight maids a milking seven swans a swimming six geese are laying five gold rings four calling birds three french hens two turtle dove and a partridge in a pear tree .,"[On/IN, the/DT, twelfth/JJ, day/NN, of/IN, Christmas/NNP, my/PRP$, true/JJ, love/NN, sent/VBN, to/TO, me/PRP, twelve/CD, drummers/NNS, drumming/VBG, eleven/CD, pipers/NNS, piping/NN, ten/CD, lords/NNS, a/DT, leaping/VBG, nine/CD, ladies/NNS, dancing/VBG, eight/CD, maids/NNS, a/DT, milking/VBG, seven/CD, swans/NNS, a/DT, swimming/NN, six/CD, geese/NNS, are/VBP, laying/VBG, five/CD, gold/NN, rings/NNS, four/CD, calling/VBG, birds/NNS, three/CD, french/JJ, hens/NNS, two/CD, turtle/NN, dove/NN, and/CC, a/DT, partridge/NN, in/IN, a/DT, pear/NN, tree/NN, ./.]",(ROOT (S (PP (IN On) (NP (NP (DT the) (JJ twelfth) (NN day)) (PP (IN of) (NP (NNP Christmas))) (NP (NP (PRP$ my) (JJ true) (NN love)) (VP (VBN sent) (PP (TO to) (NP (PRP me))))))) (NP (NP (CD twelve) (NNS drummers)) (VP (VBG drumming) (NP (NP (NP (CD eleven) (NNS pipers)) (NN piping) (NP (CD ten) (NNS lords))) (SBAR (WHNP (DT a)) (S (VP (VBG leaping) (NP (NP (CD nine) (NNS ladies)) (VP (VBG dancing) (NP (CD eight) (NNS maids)) (S (NP (DT a) (VBG milking) (CD seven) (NNS swans))))))))) (NP (NP (DT a) (NN swimming)) (NP (CD six) (NNS geese))))) (VP (VBP are) (VP (VBG laying) (NP (CD five) (NN gold) (NNS rings)) (NP (NP (CD four)) (VP (VBG calling) (NP (NNS birds)) (NP (NP (NP (CD three) (JJ french) (NNS hens)) (NP (CD two) (NN turtle) (NN dove))) (CC and) (NP (NP (DT a) (NN partridge)) (PP (IN in) (NP (DT a) (NN pear) (NN tree))))))))) (. .)))
7201,"(82,)",If you ask me said Mrs Bird as she invited every one in for a hot mince pies fresh from the oven that 's the nicest start to a Christmas day any one can possibly wish for but then she added and with general agreement with a bear like Paddington about the house life is always full of surprises .,"[If/IN, you/PRP, ask/VBP, me/PRP, said/VBD, Mrs/NNP, Bird/NN, as/IN, she/PRP, invited/VBD, every/DT, one/CD, in/IN, for/IN, a/DT, hot/JJ, mince/VB, pies/NNS, fresh/JJ, from/IN, the/DT, oven/NN, that/WDT, 's/VBZ, the/DT, nicest/JJS, start/NN, to/TO, a/DT, Christmas/NNP, day/NNP, any/DT, one/CD, can/MD, possibly/RB, wish/VB, for/IN, but/CC, then/RB, she/PRP, added/VBD, and/CC, with/IN, general/JJ, agreement/NN, with/IN, a/DT, bear/NNP, like/IN, Paddington/NNP, about/IN, the/DT, house/NNP, life/NN, is/VBZ, always/RB, full/JJ, of/IN, surprises/NNS, ./.]",(ROOT (S (SBAR (IN If) (S (NP (PRP you)) (VP (VBP ask) (SBAR (S (NP (PRP me)) (VP (VBD said) (NP (NNP Mrs) (NN Bird)) (SBAR (IN as) (S (NP (PRP she)) (VP (VBD invited) (NP (QP (DT every) (CD one))) (PP (IN in) (PP (IN for) (NP (DT a) (JJ hot))))))))))))) (VP (VB mince) (S (NP (NNS pies)) (ADJP (JJ fresh) (PP (IN from) (NP (NP (DT the) (NN oven)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (NP (NP (DT the) (JJS nicest) (NN start)) (PP (TO to) (NP (DT a) (NNP Christmas) (NNP day))) (SBAR (S (NP (DT any) (CD one)) (VP (MD can) (ADVP (RB possibly)) (VP (VB wish) (SBAR (IN for) (S (S (CC but) (ADVP (RB then)) (NP (PRP she)) (VP (VBD added))) (CC and) (S (NP (NP (IN with) (JJ general) (NN agreement)) (PP (IN with) (NP (NP (DT a) (NNP bear)) (PP (IN like) (NP (NP (NNP Paddington)) (PP (IN about) (NP (DT the) (NNP house) (NN life)))))))) (VP (VBZ is) (ADVP (RB always)) (ADJP (JJ full) (PP (IN of) (NP (NNS surprises))))))))))))))))))))) (. .)))
7201,"(83,)",Hm .,"[Hm/NNS, ./.]",(ROOT (NP (NNS Hm) (. .)))
7201,"(84,)",Right let 's get you a drink now and some nice cereal shall we ?,"[Right/RB, let/VB, 's/POS, get/VB, you/PRP, a/DT, drink/NN, now/RB, and/CC, some/DT, nice/JJ, cereal/NN, shall/MD, we/PRP, ?/.]",(ROOT (X (ADVP (RB Right) (S (VP (VB let) (S (NP (POS 's)) (VP (VB get) (S (NP (PRP you)) (UCP (NP (NP (DT a) (NN drink)) (NP (RB now))) (CC and) (S (NP (DT some) (JJ nice) (NN cereal)) (VP (MD shall) (VP (NP (PRP we))))) (. ?))))))))))
7201,"(85,)",You read ,"[You/PRP, read/VBP]",(ROOT (S (NP (PRP You)) (VP (VBP read))))
7201,"(86,)",In a moment yes I will .,"[In/IN, a/DT, moment/NN, yes/RB, I/PRP, will/MD, ./.]",(ROOT (S (PP (IN In) (NP (DT a) (NN moment) (RB yes))) (NP (PRP I)) (VP (MD will)) (. .)))
